ID	Text	Extra	Code	Source	Tags
functional_interface-cloze-001	In Java, the functional interface {{c1::Predicate<T>}} is used to test a condition on a single input and returns a boolean value.	Its abstract method is `boolean test(T t)`. It features default methods like `and()`, `or()`, and `negate()` for logical composition.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-002	In Java, the functional interface {{c1::Function<T, R>}} transforms a single argument of type T into a result of type R.	Its abstract method is `R apply(T t)`. Chaining methods include `andThen()` and `compose()`.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-003	In Java, the functional interface {{c1::Consumer<T>}} accepts a single argument of type T and performs side effects, returning void.	Its abstract method is `void accept(T t)`. It can be chained using the `andThen()` default method.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-004	In Java, the functional interface {{c1::Supplier<T>}} takes no arguments and returns a result of type T.	Its abstract method is `T get()`. It is useful for lazy instantiation or generating dynamic values.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-005	In Java, the functional interface {{c1::UnaryOperator<T>}} is a specialized Function where the single input and output share the same type T.	Its abstract method is `T apply(T t)`. It is commonly used in `List.replaceAll()`.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-006	In Java, the functional interface {{c1::BinaryOperator<T>}} is a specialized BiFunction where both inputs and the output share the same type T.	Its abstract method is `T apply(T t1, T t2)`. It is commonly used in `Stream.reduce()`.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-007	In Java, the functional interface {{c1::BiPredicate<T, U>}} accepts two inputs of types T and U and returns a boolean result.	Its abstract method is `boolean test(T t, U u)`. It is used to compare or relate two objects.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-008	In Java, the functional interface {{c1::BiFunction<T, U, R>}} accepts two inputs of types T and U and returns a result of type R.	Its abstract method is `R apply(T t, U u)`. It is used to combine two different objects.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-009	In Java, the functional interface {{c1::BiConsumer<T, U>}} accepts two inputs of types T and U and performs side effects, returning void.	Its abstract method is `void accept(T t, U u)`. It is commonly used in `Map.forEach()`.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-010	"Analyzing {{c1::""What is the input?""}} requires checking both the number of arguments and whether they are objects or primitive types."	This determines whether standard generic interfaces (e.g. `Consumer<T>`) or primitive variants (e.g. `IntConsumer`) should be used.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-011	"Analyzing {{c1::""What is the output?""}} determines if the method returns void, boolean, or a generic/primitive value."	Returning a wrapper type from a lambda to a primitive functional interface (like `IntSupplier`) can throw a `NullPointerException` due to unboxing.		22-functional-interface/theory/02-what-is-the-output-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-cloze-012	"When deciding {{c1::""When to use which interface?""}}, one maps the inputs and outputs to a standard functional interface type or primitive variant."	Write custom interfaces only when standard ones do not fit the method signature or parameter count.		22-functional-interface/theory/02-what-is-the-output-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
