ID	Front	Back	Extra	Source	Tags
security_basic-extra-001	Explain `Basic secure coding` deeply enough for review.	Basic secure coding in Java involves writing code that resists attacks by validating input, protecting memory, and using strong cryptography.	Example: Avoiding plain text password storage and using parameterized SQL queries.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-002	Explain `Hashing` deeply enough for review.	Hashing is a one-way cryptographic function mapping variable-size inputs to fixed-size unique digests (e.g. SHA-256).	Example: \n```java\nMessageDigest.getInstance("SHA-256").digest(input.getBytes());\n```	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-003	Explain `MessageDigest` deeply enough for review.	MessageDigest is the Java API used to generate cryptographic hash digests (like SHA-256, SHA-512).	Example: \n```java\nMessageDigest md = MessageDigest.getInstance("SHA-256");\n```	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-004	Explain `SHA-256` deeply enough for review.	SHA-256 is a secure cryptographic hash function producing a 256-bit (32-byte) hash value, commonly used for data integrity verification.	Example: `MessageDigest.getInstance("SHA-256")`	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-005	Explain `Base64` deeply enough for review.	Base64 is a binary-to-text encoding scheme used to represent binary data in an ASCII string format.	Example: \n```java\nString encoded = Base64.getEncoder().encodeToString(bytes);\n```	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-006	What confusion should you avoid with `Base64`?	Do not treat `Base64` as just a memorized word.	Tip: Base64 is only an encoding scheme, NOT encryption. Anyone can decode it easily, so it provides zero security.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-007	Explain `Basic encryption/decryption` deeply enough for review.	Encryption converts plaintext to ciphertext using a key; decryption reverses the process. Both use the `Cipher` API.	Example: \n```java\nCipher cipher = Cipher.getInstance("AES/CBC/PKCS5Padding");\ncipher.init(Cipher.ENCRYPT_MODE, key);\n```	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-008	Explain `KeyStore` deeply enough for review.	KeyStore is a storage facility for cryptographic keys and certificates, protecting them with passwords.	Example: \n```java\nKeyStore ks = KeyStore.getInstance("PKCS12");\nks.load(stream, password);\n```	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-009	What confusion should you avoid with `KeyStore`?	Do not treat `KeyStore` as just a memorized word.	Tip: KeyStore files should be secured with strong passwords and stored outside the public directory.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-010	Explain `Basic SSL/TLS` deeply enough for review.	SSL/TLS secures network communication over TCP through encryption, server authentication (via certificates), and data integrity.	Example: HttpsURLConnection or modular HttpClient with SSLContext.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-011	Explain `Input validation` deeply enough for review.	Input validation ensures all incoming data matches expected formats, lengths, and contents before processing.	Example: Rejecting email fields that don't match standard regex.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-012	Explain `Avoid SQL Injection` deeply enough for review.	Avoid SQL Injection by using PreparedStatement with placeholders (?) instead of concatenating raw user input into SQL strings.	Example: Using parameter binding instead of string concatenation.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-extra-013	Explain `Avoid insecure deserialization` deeply enough for review.	Avoid insecure deserialization by validating untrusted byte streams and using class whitelists via ObjectInputFilter.	Example: Using ObjectInputFilter to restrict classes instantiated during readObject().	36-security-basic/theory/02-avoid-insecure-deserialization-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
