ID	Question	Code	Answer	Explanation	Source	Tags
jvm_advanced-code-001	What does the following program print when executed?	package theory;\n\npublic class ClDemo {\n    public static final int CONST = 42;\n    static {\n        System.out.println("Init");\n    }\n    public static void main(String[] args) {\n        System.out.println(ClDemo.CONST);\n    }\n}	42	Accessing a public static final primitive constant that is resolved at compile time does not trigger class initialization. Thus, the static block is not executed, and only 42 is printed.	no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced java::code
jvm_advanced-code-002	What prints first when ClDemo is executed?	package theory;\n\npublic class ClDemo {\n    public static int VAL = 42;\n    static {\n        System.out.println("Init");\n    }\n    public static void main(String[] args) {\n        System.out.println(ClDemo.VAL);\n    }\n}	Init	Accessing a mutable static field triggers class initialization, which runs the static block. Thus, Init is printed before 42 is printed.	no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced java::code
jvm_advanced-code-003	What is the printed output of this program?	package theory;\n\npublic class PrepDemo {\n    public static int x = y + 1;\n    public static int y = 5;\n    public static void main(String[] args) {\n        System.out.println("x=" + x + ", y=" + y);\n    }\n}	x=1, y=5	During the Preparation phase, both x and y are allocated and set to default value 0. During the Initialization phase, static initializers run in textual order: x is assigned y + 1 (which is 0 + 1 = 1), and then y is assigned 5.	no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced java::code
jvm_advanced-code-004	What is the output of this code which queries memory parameters?	Runtime rt = Runtime.getRuntime();\nlong maxMem = rt.maxMemory();\nSystem.out.println(maxMem == Long.MAX_VALUE ? "Unlimited" : "Bounded");	Bounded	The maxMemory() method returns the maximum amount of memory the JVM will attempt to use, which is bounded by -Xmx or default JVM heap limits, and is not unlimited.	no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced java::code
jvm_advanced-code-005	Provide the correct command line options to configure both the initial heap to 512MB and the maximum heap to 1GB.	java <OPTIONS> -jar app.jar	-Xms512m -Xmx1g	-Xms sets the initial/minimum heap size, and -Xmx sets the maximum heap size. Use suffixes like m for megabytes or g for gigabytes.	no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced java::code
jvm_advanced-code-006	What command line option enables diagnostic options for JVM debugging?	java <OPTION> -XX:+PrintDiagnosticVMOptions -jar app.jar	-XX:+UnlockDiagnosticVMOptions	Diagnostic options are locked by default to prevent accidental configuration in production. They must be explicitly unlocked using the -XX:+UnlockDiagnosticVMOptions flag.	no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced java::code
jvm_advanced-code-007	What happens when the following command is executed in a shell where PID 9999 does not exist?	jstack 9999	No such process	The jstack tool requires a running JVM process ID. If PID 9999 does not exist or belongs to a process that is not a JVM, the tool fails to attach and outputs an error.	no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced java::code
jvm_advanced-code-008	What CLI command creates a heap dump file in binary format?	jmap <OPTION> 1234	-dump:format=b,file=heap.hprof	The -dump option with format=b creates a binary dump file that can be parsed by heap analysis tools like Eclipse MAT.	no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced java::code
jvm_advanced-code-009	What is the output of the following garbage collection request?	System.gc();\nSystem.out.println("Requested");	Requested	System.gc() is a suggestion to the JVM that the Garbage Collector should run, but the JVM is free to ignore it, so only the print statement is guaranteed.	no37_jvm_advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/	java::core::jvm-advanced java::code
jvm_advanced-code-010	What flag triggers the JVM to use the Shenandoah low-pause garbage collector?	java <OPTIONS> -jar app.jar	-XX:+UnlockExperimentalVMOptions -XX:+UseShenandoahGC	Shenandoah GC is an experimental option in some HotSpot builds and must be enabled using -XX:+UseShenandoahGC after unlocking experimental VM options.	no37_jvm_advanced/theory/04-shenandoah-concepts.md | https://openjdk.org/jeps/189	java::core::jvm-advanced java::code
jvm_advanced-code-011	Under tiered compilation, what command line options unlock compilation print logs?	java <OPTION> -jar app.jar	-XX:+PrintCompilation	The -XX:+PrintCompilation flag logs dynamic information about methods as they are being compiled by the C1 and C2 compiler threads.	no37_jvm_advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/	java::core::jvm-advanced java::code
jvm_advanced-code-012	Specify the JVM flag that sets the ratio between the Eden and survivor spaces to 6:1:1.	java <OPTION> -jar app.jar	-XX:SurvivorRatio=6	The -XX:SurvivorRatio=N sets the ratio of Eden to a single Survivor space to N. E.g., 6 means Eden is 6 times the size of one Survivor space, making the layout 6:1:1.	no37_jvm_advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/factors-affecting-garbage-collection-performance.html	java::core::jvm-advanced java::code
