ID	Text	Extra	Code	Source	Tags
var-cloze-001	A {{c1::local variable}} is declared inside a method, constructor, or block.	Local variables must be assigned before use.		no04_variables_constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-002	An {{c1::instance variable}} belongs to an object.	Each object has its own instance field values.		no04_variables_constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-003	A {{c1::static variable}} belongs to the class, not an individual object.	Static state is shared at the class level.		no04_variables_constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-004	`final` means a variable can be assigned {{c1::only once}}.	After assignment, reassignment is not allowed.		no04_variables_constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-005	For reference variables, `final` prevents {{c1::reassignment}}, not necessarily object mutation.	A mutable object can still change internally.		no04_variables_constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::interview
var-cloze-006	Java constants are often declared as {{c1::static final}}.	Static for class-level sharing, final for no reassignment.		no04_variables_constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-007	Constants usually use {{c1::UPPER_SNAKE_CASE}}.	Example: `MAX_RETRY_COUNT`.		no04_variables_constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-008	A {{c1::magic number}} is a literal number used directly without a name explaining its meaning.	Named constants reduce this problem.		no04_variables_constants/terms/01-variable-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::term
var-cloze-009	Local variables do {{c1::not}} receive usable automatic default values.	They must be assigned before use.		no04_variables_constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-010	Reference fields default to {{c1::null}}.	Numeric fields default to zero-like values, boolean fields to false.		no04_variables_constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-011	{{c1::Scope}} is the region of code where a name can be accessed.	Scope is not lifetime.		no04_variables_constants/terms/01-variable-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::term
var-cloze-012	{{c1::Lifetime}} is how long a variable or object exists.	Lifetime helps explain local variables, objects, and static state.		no04_variables_constants/terms/01-variable-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::term
var-cloze-013	A local variable exists while its {{c1::method or block}} is executing.	After the block/method ends, the local variable is gone.		no04_variables_constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-014	An instance variable exists as long as its {{c1::object}} exists.	It is part of object state.		no04_variables_constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-015	A static variable exists as long as the {{c1::class is loaded}}.	It is class-level state.		no04_variables_constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-016	`var` was introduced in Java {{c1::10}} for local variable type inference.	`var` is not dynamic typing.		no04_variables_constants/theory/04-var-type-inference.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-017	`var` can be used for {{c1::local variables}}, not fields.	It requires an initializer.		no04_variables_constants/theory/04-var-type-inference.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-018	`var` requires an {{c1::initializer}} so the compiler can infer the type.	`var x;` is invalid.		no04_variables_constants/theory/04-var-type-inference.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-019	Local variables are stored on the {{c1::Stack}}, whereas objects are stored on the {{c2::Heap}}.	Stack holds transient frame data; Heap holds dynamic object instances.		no04_variables_constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-4.html#jls-4.12.3	java::core::variables
var-cloze-020	Class variables (static fields) are stored in the {{c1::Metaspace}} (or Method Area) of JVM memory.	They are shared by all instances and survive as long as the class remains loaded.		no04_variables_constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-4.html#jls-4.12.3	java::core::variables
var-cloze-021	Compiler optimizations like {{c1::constant folding}} and {{c2::constant inlining}} are enabled by marking variables as `final`.	Since the compiler knows final values won't change, it pre-computes expressions and directly inserts literal values.		no04_variables_constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-4.html#jls-4.12.4	java::core::variables java::interview
var-cloze-022	While the JVM automatically zero-initializes fields, stack variables require compile-time {{c1::definite assignment}} analysis to ensure safety without runtime overhead.	Zero-initializing stack frames at runtime is too slow, so Java enforces initialization statically at compile-time instead.		no04_variables_constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-16.html	java::core::variables java::interview

