ID	Text	Extra	Code	Source	Tags
best_practices-cloze-001	In Best Practices in Java, {{c1::Name variables, functions, and classes clearly}} is a concept you should define, apply, and connect to common mistakes.	It matters because modern Java APIs use function-style pipelines heavily. A common confusion is forgetting which operations are lazy and which operation actually triggers execution.		41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-002	In Best Practices in Java, {{c1::Code according to convention}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-003	In Best Practices in Java, {{c1::Do not overuse static}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-004	In Best Practices in Java, {{c1::Do not overuse inheritance}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-005	In Best Practices in Java, {{c1::Prefer composition over inheritance}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-006	In Best Practices in Java, {{c1::Override equals/hashCode correctly}} is a concept you should define, apply, and connect to common mistakes.	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.		41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-007	In Best Practices in Java, {{c1::Use StringBuilder when concatenating strings many times}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-008	In Best Practices in Java, {{c1::Use BigDecimal for money}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-009	In Best Practices in Java, {{c1::Use try-with-resources}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-010	In Best Practices in Java, {{c1::Do not catch overly broad Exception if unnecessary}} is a concept you should define, apply, and connect to common mistakes.	It matters because exception behavior decides whether failures are handled locally, propagated, or allowed to stop the program. A common confusion is treating every exception the same instead of separating recoverable conditions from programming bugs.		41-best-practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-011	In Best Practices in Java, {{c1::Do not swallow exceptions}} is a concept you should define, apply, and connect to common mistakes.	It matters because exception behavior decides whether failures are handled locally, propagated, or allowed to stop the program. A common confusion is treating every exception the same instead of separating recoverable conditions from programming bugs.		41-best-practices/theory/02-do-not-swallow-exceptions-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-012	In Best Practices in Java, {{c1::Use interface type when declaring Collection:}} is a concept you should define, apply, and connect to common mistakes.	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.		41-best-practices/theory/02-do-not-swallow-exceptions-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-013	In Best Practices in Java, {{c1::List<String> list = new ArrayList<>();}} is a concept you should define, apply, and connect to common mistakes.	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.		41-best-practices/theory/02-do-not-swallow-exceptions-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-014	In Best Practices in Java, {{c1::Avoid raw type}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/02-do-not-swallow-exceptions-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-015	In Best Practices in Java, {{c1::Avoid null when possible}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/02-do-not-swallow-exceptions-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-016	In Best Practices in Java, {{c1::Write testable code}} is a concept you should define, apply, and connect to common mistakes.	It matters because tests protect behavior during change. A common confusion is testing implementation details instead of observable behavior.		41-best-practices/theory/02-do-not-swallow-exceptions-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-017	In Best Practices in Java, {{c1::Separate class/method responsibilities}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/02-do-not-swallow-exceptions-concepts.md | https://dev.java/learn/	java::core::best-practices
best_practices-cloze-018	In Best Practices in Java, {{c1::Immutability when appropriate}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		41-best-practices/theory/02-do-not-swallow-exceptions-concepts.md | https://dev.java/learn/	java::core::best-practices
