ID	Question	Code	Answer	Explanation	Source	Tags
networking-code-001	What does this code print when a TCP client connects?	ServerSocket server = new ServerSocket(8080);\nSocket client = server.accept();\nSystem.out.println("Connected: " + client.getRemoteSocketAddress());	Prints the remote IP and port of the connected client (e.g., `/127.0.0.1:54321`)	`accept()` blocks until a client performs the TCP handshake. It returns a Socket whose `getRemoteSocketAddress()` returns the client's IP:port pair.	35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/ServerSocket.html	java::core::networking java::code
networking-code-002	What is the output behavior difference between these two sends?	// Option A: TCP\ntry (Socket s = new Socket("localhost", 8080)) {\n    s.getOutputStream().write("hello".getBytes());\n}\n// Option B: UDP\ntry (DatagramSocket ds = new DatagramSocket()) {\n    byte[] buf = "hello".getBytes();\n    DatagramPacket p = new DatagramPacket(buf, buf.length, InetAddress.getLocalHost(), 9090);\n    ds.send(p);\n}	Option A: TCP guarantees delivery in order if server is listening. Option B: UDP sends the packet regardless; if nobody is listening on port 9090, the packet is silently dropped.	TCP uses a connection (handshake confirms server is ready). UDP is fire-and-forget with no acknowledgment.	35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/javase/tutorial/networking/	java::core::networking java::code
networking-code-003	What is wrong with this server code?	public static void main(String[] args) throws Exception {\n    ServerSocket server = new ServerSocket(8080);\n    while (true) {\n        Socket client = server.accept();\n        handleClient(client); // handleClient does blocking reads\n    }\n}	`handleClient()` blocks the main thread while processing one client, preventing any further `accept()` calls. Other clients wait indefinitely.	Solution: offload `handleClient(client)` to a thread pool via `executorService.submit(() -> handleClient(client))`.	35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/javase/tutorial/networking/sockets/index.html	java::core::networking java::code
networking-code-004	What exception is thrown, and why?	Socket socket = new Socket("localhost", 8080);\nInputStream in = socket.getInputStream();\n// ... use socket ...\n// (socket is never closed)	No exception now, but over time: `SocketException: Too many open files` when the process exhausts its OS file descriptor limit.	Every open socket holds an OS file descriptor. If not closed, they accumulate until the OS rejects new socket creation.	35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/Socket.html	java::core::networking java::code
networking-code-005	What is the problem with this URL creation, and how do you fix it?	// Java 20+ code\nURL url = new URL("https://api.github.com/users/octocat"); // ← problem\nHttpURLConnection conn = (HttpURLConnection) url.openConnection();	`new URL(String)` is deprecated in Java 20 because it triggers a DNS lookup during construction.	Fix: `URL url = URI.create("https://api.github.com/users/octocat").toURL();`	35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/URI.html	java::core::networking java::code
networking-code-006	What is the output order of this async HTTP code?	HttpClient client = HttpClient.newHttpClient();\nHttpRequest request = HttpRequest.newBuilder()\n    .uri(URI.create("https://api.github.com"))\n    .build();\nSystem.out.println("A: Before sendAsync");\nclient.sendAsync(request, HttpResponse.BodyHandlers.ofString())\n    .thenAccept(r -> System.out.println("B: Status=" + r.statusCode()));\nSystem.out.println("C: After sendAsync");	Output order is: A → C → B (B fires asynchronously after the response arrives)	`sendAsync()` returns immediately (non-blocking). "C" prints before the HTTP response completes. "B" runs in the callback when data arrives.	35-networking/theory/02-httpurlconnection-concepts.md | https://openjdk.org/jeps/321	java::core::networking java::code
networking-code-007	How do you configure `HttpURLConnection` to avoid infinite blocking?	HttpURLConnection conn = (HttpURLConnection) url.openConnection();\n// Add configuration here	conn.setConnectTimeout(5000);\nconn.setReadTimeout(5000);	`setConnectTimeout(ms)` limits time for the TCP connection. `setReadTimeout(ms)` limits time for data read from the server. Both default to 0 (infinite) if not set.	35-networking/theory/02-httpurlconnection-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/HttpURLConnection.html	java::core::networking java::code
networking-code-008	How do you send a UDP packet to `localhost:9090`?	DatagramSocket socket = new DatagramSocket();\nbyte[] buf = "ping".getBytes();\n// Complete the send	InetAddress addr = InetAddress.getByName("localhost");\nDatagramPacket packet = new DatagramPacket(buf, buf.length, addr, 9090);\nsocket.send(packet);	`DatagramSocket` needs no connect before sending. You provide the destination address and port directly in the `DatagramPacket`.	35-networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/DatagramSocket.html	java::core::networking java::code
networking-code-009	What does this `HttpClient` builder configuration do?	HttpClient client = HttpClient.newBuilder()\n    .version(HttpClient.Version.HTTP_2)\n    .connectTimeout(Duration.ofSeconds(10))\n    .executor(Executors.newFixedThreadPool(4))\n    .build();	Configures a reusable `HttpClient` that prefers HTTP/2 (auto-fallback to HTTP/1.1), limits connection establishment to 10 seconds, and uses a custom thread pool of 4 threads for async callbacks.	`HttpClient` is immutable after `build()`. The same instance should be reused across the entire application lifecycle.	35-networking/theory/02-httpurlconnection-concepts.md | https://openjdk.org/jeps/321	java::core::networking java::code
networking-code-010	What are the two things wrong with this `HttpURLConnection` code?	URL url = URI.create("https://api.github.com").toURL();\nHttpURLConnection conn = (HttpURLConnection) url.openConnection();\nconn.setRequestMethod("GET");\nint code = conn.getResponseCode();\n// End of method — no disconnect, no timeout set	1) No `conn.setConnectTimeout()` or `conn.setReadTimeout()` — risk of infinite block. 2) No `conn.disconnect()` — TCP connection may not be released back to the OS.	For streams, try-with-resources handles closure. But `HttpURLConnection` itself requires an explicit `disconnect()` call.	35-networking/theory/02-httpurlconnection-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/HttpURLConnection.html	java::core::networking java::code java::interview
