ID	Text	Extra	Code	Source	Tags
design-principles-cloze-001	The {{c1::Single Responsibility Principle}} states that a class should have only one reason to change, promoting high {{c2::cohesion}}.	A cohesive class keeps related variables and logic together. By focusing on a single task, it communicates via well-defined boundaries.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-002	The {{c1::Open/Closed Principle}} states that software entities should be open for {{c2::extension}} but closed for {{c3::modification}}.	Extensibility is achieved via polymorphism, interfaces, and abstract classes. This keeps the original, verified bytecode untouched.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-003	The {{c1::Liskov Substitution Principle}} requires that subtypes must be substitutable for their {{c2::parent types}} without altering program correctness.	Subclasses must not strengthen preconditions (like throwing new checked exceptions) or weaken postconditions (like returning null).		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-004	Under LSP, a subclass must not {{c1::strengthen}} preconditions or {{c2::weaken}} postconditions.	Violations cause runtime crashes when a client attempts to use a subclass through a parent reference.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-005	The {{c1::Interface Segregation Principle}} states that clients should not be forced to depend on methods they do not {{c2::use}}.	This prevents "fat" interfaces from coupling unrelated components and causing compile-time ripple effects.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-006	The {{c1::Dependency Inversion Principle}} requires that high-level modules depend on {{c2::abstractions}} rather than concrete implementations.	Abstractions decouple the compile-time relationship, enabling easy mock substitution for unit testing.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-007	{{c1::Dependency Injection}} is the technique of passing concrete implementations into a class, typically via the {{c2::constructor}}.	Passing dependencies from the outside decouples class instantiation from class behavior and facilitates mocking.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-008	{{c1::DRY}} stands for Don't Repeat Yourself, which asserts that every piece of system logic must have a {{c2::single, authoritative}} representation.	Preventing duplicate code blocks ensures that bug fixes and changes only need to be applied in one place.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-009	{{c1::YAGNI}} is a principle suggesting that you should not add functionality until it is {{c2::necessary}}.	Speculative coding wastes developer time and locks the design into incorrect assumptions.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-010	{{c1::Coupling}} measures class interdependence, whereas {{c2::cohesion}} measures class focus on a single responsibility.	The goal is loose coupling and high cohesion to keep systems maintainable.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-011	Reusing behavior by enclosing instance variables rather than extending classes is known as {{c1::composition over inheritance}}.	Composition is a "has-a" relationship, which prevents the subclass from being coupled to base class internals.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-cloze-012	Validating parameters at method boundaries using `Objects.requireNonNull()` is an example of {{c1::defensive programming}} and is a {{c2::fail-fast}} approach.	Catching invalid inputs early prevents corrupted states or cryptic exceptions deep within the execution stack.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
