ID	Question	Code	Answer	Explanation	Source	Tags
memory_management-code-question-001	What is the output of the following Java code?	public class PrimitiveAllocationDemo {\n    public static void main(String[] args) {\n        int localPrimitive = 100;\n        System.out.println(localPrimitive);\n    }\n}	100	The local primitive variable 'localPrimitive' is allocated directly inside main's stack frame on the Stack. Its value 100 is printed.	13-memory-management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-code-question-002	What is the output of this code demonstrating Java's pass-by-value behavior?	public class Demo {\n    public static void main(String[] args) {\n        int val = 10;\n        changeVal(val);\n        System.out.println(val);\n    }\n    static void changeVal(int x) {\n        x = 20;\n    }\n}	10	Java copies primitive values directly when passing them. Modifying the parameter x inside changeVal() only changes the local copy on changeVal's stack frame, leaving the caller's 'val' unaffected.	13-memory-management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-code-question-003	Predict the output of the following code:	class Person { String name; Person(String n) { name = n; } }\npublic class Demo {\n    public static void main(String[] args) {\n        Person p = new Person("Alice");\n        reassign(p);\n        System.out.println(p.name);\n    }\n    static void reassign(Person person) {\n        person = new Person("Bob");\n    }\n}	Alice	Passing an object reference to reassign() copies the pointer address. Overwriting the local parameter variable 'person' to a new object only changes the copied pointer inside reassign's stack frame. The caller's reference 'p' still points to the original object.	13-memory-management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-code-question-004	Predict the output of this code that mutates a passed object reference:	class Person { String name; Person(String n) { name = n; } }\npublic class Demo {\n    public static void main(String[] args) {\n        Person p = new Person("Alice");\n        mutate(p);\n        System.out.println(p.name);\n    }\n    static void mutate(Person person) {\n        person.name = "Bob";\n    }\n}	Bob	Since both the caller's variable 'p' and the copied parameter 'person' point to the exact same object location on the Heap, modifying a field (person.name = "Bob") changes the shared heap state.	13-memory-management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-code-question-005	What will this code print after proposing Garbage Collection?	import java.lang.ref.WeakReference;\npublic class Demo {\n    public static void main(String[] args) {\n        String ref = new String("KeepMe");\n        WeakReference<String> weakRef = new WeakReference<>(ref);\n        ref = null;\n        System.gc();\n        System.out.println(weakRef.get());\n    }\n}	null	Setting 'ref' to null leaves the String object only weakly reachable. When System.gc() runs, the object is reclaimed, causing weakRef.get() to return null.	13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-code-question-006	What is the output of the following WeakReference check?	import java.lang.ref.WeakReference;\npublic class Demo {\n    public static void main(String[] args) {\n        String ref = new String("KeepMe");\n        WeakReference<String> weakRef = new WeakReference<>(ref);\n        System.gc();\n        System.out.println(weakRef.get() != null);\n    }\n}	true	The strong reference variable 'ref' is still active on main's stack frame. Therefore, the object is strongly reachable and survives the GC cycle; weakRef.get() returns the object, printing true.	13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-code-question-007	Predict the output of the following code:	import java.lang.ref.SoftReference;\npublic class Demo {\n    public static void main(String[] args) {\n        String ref = new String("Cached");\n        SoftReference<String> softRef = new SoftReference<>(ref);\n        ref = null;\n        System.gc();\n        System.out.println(softRef.get() != null);\n    }\n}	true	Softly reachable objects survive standard GC runs. Since the JVM's heap memory is not exhausted, the softly referenced String survives the System.gc() call, and softRef.get() is not null.	13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-code-question-008	Predict the output of this code utilizing PhantomReference:	import java.lang.ref.*;\npublic class Demo {\n    public static void main(String[] args) {\n        Object obj = new Object();\n        ReferenceQueue<Object> queue = new ReferenceQueue<>();\n        PhantomReference<Object> phantom = new PhantomReference<>(obj, queue);\n        System.out.println(phantom.get());\n    }\n}	null	PhantomReference's get() method is hardcoded to always return null. This is designed to prevent resurrected access to the referent during post-mortem cleanup.	13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-code-question-009	What exception/error is thrown when the following code is executed?	public class InfiniteRecursion {\n    public static void main(String[] args) {\n        callSelf();\n    }\n    static void callSelf() {\n        callSelf();\n    }\n}	java.lang.StackOverflowError	Infinite recursion pushes method frames onto the thread stack continuously until all stack space allocated for the thread is exhausted.	13-memory-management/theory/03-outofmemoryerror-concepts.md	java::core::memory-management
memory_management-code-question-010	What is the cleanup message output by the following try-with-resources block?	class Resource implements AutoCloseable {\n    public void close() { System.out.println("Cleaned"); }\n}\npublic class Demo {\n    public static void main(String[] args) {\n        try (Resource r = new Resource()) {\n            System.out.println("Active");\n        }\n    }\n}	Active\nCleaned	The try-with-resources statement guarantees that r.close() is called automatically as the program exits the try block.	13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-code-question-011	Predict the output of the following island of isolation code:	class Node {\n    Node next;\n}\npublic class Demo {\n    public static void main(String[] args) {\n        Node first = new Node();\n        Node second = new Node();\n        first.next = second;\n        second.next = first;\n        first = null;\n        System.out.println(second.next != null);\n    }\n}	true	Setting first to null severs one reference. However, the first node is still reachable from the stack via second.next, so second.next is not null.	13-memory-management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-code-question-012	Predict the output of this unboxing code with a null wrapper:	public class Demo {\n    public static void main(String[] args) {\n        Integer val = null;\n        try {\n            int prim = val;\n        } catch (NullPointerException e) {\n            System.out.println("NPE");\n        }\n    }\n}	NPE	Unboxing a null wrapper variable (e.g., Integer val = null) to a primitive type (int) internally calls val.intValue(), which throws a NullPointerException.	13-memory-management/theory/01-stack-concepts.md	java::core::memory-management
