ID	Text	Extra	Source	Tags
operator-cloze-001	Java integer division happens when {{c1::both operands are integer types}}.	The receiving variable type does not change the expression result after the expression has already been evaluated.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-cloze-002	`7 / 3` with `int` operands evaluates to {{c1::2}}.	The fractional part is discarded.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-cloze-003	`17 % 5` evaluates to {{c1::2}}.	`17 = 5 * 3 + 2`.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-cloze-004	If either operand of `+` is a `String`, Java performs {{c1::string concatenation}}.	The other operand is converted to text.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-cloze-005	`=` means {{c1::assignment}}, while `==` means {{c2::comparison}}.	Mixing these is a common beginner bug.	05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-cloze-006	Comparison operators produce a {{c1::boolean}} result.	They do not produce `0` or `1` in Java.	05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-cloze-007	For object references, `==` checks {{c1::reference equality}}.	It asks whether both references point to the same object.	05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-cloze-008	For `String` content equality, usually use {{c1::.equals()}}.	`==` is not content comparison for objects.	05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-cloze-009	`&&` short-circuits when the left-hand side is {{c1::false}}.	False AND anything is false.	05-operators/theory/04-precedence-short-circuit.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-cloze-010	`||` short-circuits when the left-hand side is {{c1::true}}.	True OR anything is true.	05-operators/theory/04-precedence-short-circuit.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
operator-cloze-011	Boolean `&` and `|` evaluate {{c1::both sides}}.	They do not short-circuit.	05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators
