ID	Front	Back	Code	Source	Tags
multithreading-basic-101	How does a process differ from a thread regarding virtual memory and resource isolation?	A process has its own isolated memory space, file descriptors, and security context allocated by the OS. A thread is a lightweight execution unit inside a process that shares the parent process's heap memory and metaspace, enabling fast communication but requiring synchronization.		no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
multithreading-basic-102	Which memory areas in the JVM are allocated privately per thread, and which are shared?	The Stack (for local variables and frames) and the Program Counter (PC) Register (tracking execution instructions) are private to each thread. The Heap (objects) and Metaspace (class metadata) are shared among all threads in the process.		no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
multithreading-basic-103	Why does extending the Thread class limit your design options in Java?	Java has a single class inheritance constraint. If a class extends Thread, it cannot extend any other base class (such as database or network service helper classes), consuming the class's single inheritance slot.		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-basic-104	What is the benefit of task decoupling via Runnable or Callable interfaces?	Implementing these interfaces separates the task logic (run() or call()) from the execution mechanism (Thread objects or thread pools). This allows tasks to be reused, pooled in an ExecutorService, and unit-tested in isolation.		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-basic-105	What happens if you call run() directly on a Java Thread object?	It executes synchronously as a normal method invocation in the call stack of the calling thread. No new thread is spawned by the OS, and execution blocks the caller.		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-basic-106	What does the native start() method do on a JVM thread under the hood?	It performs state checks (verifying the thread is in the NEW state), invokes native start0(), requests the OS thread scheduler to allocate platform resources, creates a new execution stack, and executes run() asynchronously on the new stack.		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-basic-107	What is the underlying wait/notify mechanism used by thread.join()?	Thread A (caller) enters a synchronized block on the target thread object threadB and loops calling threadB.wait() while threadB.isAlive() is true. When threadB terminates, the JVM natively invokes notifyAll() on threadB's monitor to wake up Thread A.		no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-basic-108	What triggers a race condition in multithreaded applications?	When multiple threads concurrently perform interleaved read-modify-write operations on shared mutable state without proper synchronization, causing intermediate state updates to overwrite or corrupt each other.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-basic-109	Why do data visibility issues occur at the hardware level in modern CPUs?	CPU cores store copies of shared variables in local L1/L2/L3 caches and registers for efficiency. Without synchronization barriers (like volatile), updates by one core may not be immediately flushed to main memory, keeping them hidden from other cores.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-basic-110	What does it mean for a class or operation to be thread-safe in Java?	It guarantees that the class maintains its internal invariants and behaves correctly under any arbitrary thread interleaving, without requiring additional external synchronization from the calling code.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-basic-111	Why does Thread.sleep() not release monitors or locks held by the sleeping thread?	Sleep() only yields CPU scheduling time, transitioning the thread to the TIMED_WAITING state. The thread retains all lock ownerships, which can cause severe lock contention if it sleeps inside a synchronized block.		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-basic-112	What is a daemon thread in Java?	A background thread that provides auxiliary services (e.g., GC). The JVM does not wait for daemon threads to complete and will exit immediately once all user (non-daemon) threads have finished execution.		no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-basic-113	Why must setDaemon(true) be called before starting a thread?	Changing a thread's daemon status is only permitted while it is in the NEW state. Calling setDaemon() after start() throws an IllegalThreadStateException at runtime.		no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-basic-114	What is the consequence of swallowing InterruptedException in a catch block?	It clears the thread's interrupt status flag. Higher-level callers or frameworks will not be aware that the thread was requested to stop, potentially causing infinite loops or preventing correct shutdown.		no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-basic-115	How do you properly handle InterruptedException if you cannot rethrow it?	You must restore the thread's interrupted status flag by invoking Thread.currentThread().interrupt(). This ensures that subsequent blocking calls or caller loops can observe and act on the interrupt signal.		no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-basic-116	What are the three properties required to make a Java class fully immutable?	1. Declare the class final to prevent subclassing.\n2. Make all fields private and final.\n3. Perform defensive copying when receiving or returning references to mutable objects (e.g., Lists).		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-basic-117	Why does the volatile keyword not make compound operations like count++ thread-safe?	Volatile only guarantees instruction ordering and visibility (flushing to main RAM). It does not guarantee atomicity; the read-modify-write step of count++ remains non-atomic and prone to race conditions.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-basic-118	What is "word tearing" in JVM variable operations, and how do you prevent it?	In 32-bit JVMs, reads/writes to 64-bit primitives (long and double) can be split into two 32-bit operations, resulting in corrupted intermediate values. Declaring the variables as volatile guarantees 64-bit atomic reads/writes.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
