ID	Text	Extra	Source	Tags
inner_nested_class-cloze-001	In Inner Class and Nested Class, {{c1::Nested class}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-cloze-002	In Inner Class and Nested Class, {{c1::Static nested class}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-cloze-003	In Inner Class and Nested Class, {{c1::Inner class}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-cloze-004	In Inner Class and Nested Class, {{c1::Local inner class}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-cloze-005	In Inner Class and Nested Class, {{c1::Anonymous inner class}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-cloze-006	In Inner Class and Nested Class, {{c1::Access variables outside the class}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-cloze-007	In Inner Class and Nested Class, {{c1::Use case of inner class}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-cloze-008	In Inner Class and Nested Class, {{c1::Anonymous class in event handler, thread, comparator}} is a concept you should define, apply, and connect to common mistakes.	It matters because concurrent code can look correct in single-thread tests but fail under timing pressure. A common confusion is assuming visibility, ordering, and atomicity are the same guarantee.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner-nested-class-aug-cloze-001	{{c1::Nested class}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class
inner-nested-class-aug-cloze-002	{{c1::Static nested class}}: Static means the member belongs to the class rather than to one particular object	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class
