ID	Text	Extra	Source	Tags
memory_management-cloze-001	In Java Memory Management, {{c1::Stack}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-002	A strong review of {{c1::Stack}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Stack` change, allow, reject, or clarify?	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-003	In Java Memory Management, {{c1::Heap}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-004	A strong review of {{c1::Heap}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Heap` change, allow, reject, or clarify?	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-005	In Java Memory Management, {{c1::Method Area / Metaspace}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-006	A strong review of {{c1::Method Area / Metaspace}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Method Area / Metaspace` change, allow, reject, or clarify?	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-007	In Java Memory Management, {{c1::PC Register}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-008	A strong review of {{c1::PC Register}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `PC Register` change, allow, reject, or clarify?	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-009	In Java Memory Management, {{c1::Native Method Stack}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-010	A strong review of {{c1::Native Method Stack}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Native Method Stack` change, allow, reject, or clarify?	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-011	In Java Memory Management, {{c1::Object lifecycle}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-012	A strong review of {{c1::Object lifecycle}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Object lifecycle` change, allow, reject, or clarify?	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-013	In Java Memory Management, {{c1::Reference variable}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-014	A strong review of {{c1::Reference variable}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Reference variable` change, allow, reject, or clarify?	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-015	In Java Memory Management, {{c1::Strong reference}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
memory_management-cloze-016	A strong review of {{c1::Strong reference}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Strong reference` change, allow, reject, or clarify?	13-memory-management/theory/01-stack-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/introduction-garbage-collection-tuning.html	java::core::memory-management
