ID	Front	Back	Code	Source	Tags
io-basic-001	What does a `java.io.File` object represent in Java?	An abstract representation of a file or directory path name, not the actual file contents.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-002	"Does creating a `new File(""example.txt"")` instantiate a file on disk?"	No, it only creates a path representation in memory. The file on disk is not created until you call a write stream or createNewFile().		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-003	What does `File.createNewFile()` do, and what does it return?	It atomically creates a new empty file if it doesn't exist, returning true. If the file already exists, it returns false.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-004	What exception must be handled when calling `File.createNewFile()`?	java.io.IOException		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-005	What is the behavior of `File.delete()` when called on a non-empty directory?	It fails and returns false. The directory must be completely empty to be deleted.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-006	How does `File.delete()` indicate success or failure?	It returns a boolean (true if deleted successfully, false otherwise), rather than throwing an exception.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-007	What is the purpose of `File.exists()`?	It checks if the file or directory represented by the path exists on disk.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-008	How can you check if a `File` path refers specifically to a file rather than a directory?	By calling the file.isFile() method.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-009	What does `File.length()` return for a directory or a non-existent file?	It returns 0L.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-010	What does `File.length()` return for a regular file?	The size of the file in bytes.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-011	What is the difference between `File.mkdir()` and `File.mkdirs()`?	mkdir() fails if parent directories don't exist; mkdirs() creates all necessary parent directories recursively.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-012	What does `File.getAbsolutePath()` return?	The absolute path string of the file or directory, starting from the root directory.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-013	How are byte streams hierarchically represented at the base level in Java?	They are represented by the base abstract classes java.io.InputStream (for reading raw 8-bit binary data) and java.io.OutputStream (for writing raw 8-bit data).		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-014	What unit of data is read or written by `InputStream` and `OutputStream`?	Bytes (8-bit binary data).		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-015	What does `InputStream.read()` return when it reaches the end of the stream?	-1		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-016	Why is it critical to close I/O streams?	To release underlying operating system resources like file descriptors and locks.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-017	What is the try-with-resources statement used for in Java I/O?	To automatically close classes implementing AutoCloseable at the end of the block, preventing resource leaks.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-018	What does `FileOutputStream` do by default if the target file already exists?	It overwrites the existing file contents unless the constructor append flag is set to true.		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-019	How do you open a `FileOutputStream` in append mode?	By passing true as the second argument to its constructor: new FileOutputStream(file, true).		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-020	What exception is thrown if you try to open a `FileInputStream` on a non-existent file?	java.io.FileNotFoundException		no26_io/theory/01-file-concepts.md	java::core::io
io-basic-021	What is the primary purpose of `BufferedInputStream`?	To read bytes in large blocks (default 8KB) into memory, reducing the number of expensive OS system calls.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-022	What pattern does `BufferedInputStream` use when wrapping a `FileInputStream`?	The Decorator pattern.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-023	Why must you flush or close a `BufferedOutputStream`?	To ensure all buffered data is written out to the underlying file, as some data may still reside in the memory buffer.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-024	How do you manually force a buffered output stream to write its contents to disk?	Call the flush() method.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-025	How are character streams hierarchically represented at the base level in Java?	They are represented by the base abstract classes java.io.Reader (for reading 16-bit character data) and java.io.Writer (for writing 16-bit character data).		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-026	What is the data unit read or written by character streams?	Characters (16-bit Unicode char elements).		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-027	Why should character streams be used instead of byte streams for text files?	They handle character encoding translation (like UTF-8) automatically.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-028	Why should you avoid using character streams to copy binary files like images?	The encoding translation will alter invalid byte sequences into Unicode replacement characters, corrupting the binary data.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-029	What does `FileReader` use for character encoding prior to Java 11?	The platform's default charset, making the code non-portable.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-030	How does `BufferedReader` improve text-reading efficiency?	It buffers characters and provides readLine() to read text line-by-line.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-031	What does `BufferedReader.readLine()` return at the end of a file?	null		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-032	How does `BufferedWriter.newLine()` differ from writing `\n` directly?	It writes the platform-specific line separator, ensuring compatibility across different operating systems.		no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io
io-basic-033	What is serialization in Java?	The process of converting an object's state into a byte stream.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-034	What is deserialization in Java?	The process of reconstructing an object from a serialized byte stream.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-035	What interface must a class implement to be serializable?	java.io.Serializable		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-036	Why is `Serializable` called a marker interface?	Because it has no methods or fields; it simply signals to the JVM that the class is eligible for serialization.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-037	What happens if you try to serialize an object of a class that does not implement `Serializable`?	It throws java.io.NotSerializableException at runtime.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-038	Are static fields serialized in Java?	No, static fields belong to the class, not to any individual instance, and are not serialized.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-039	What is the purpose of `serialVersionUID`?	To verify that the sender and receiver of a serialized object have loaded compatible classes.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-040	What happens if there is a `serialVersionUID` mismatch during deserialization?	It throws java.io.InvalidClassException at runtime.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-041	What is the compiler behavior if you do not explicitly define a `serialVersionUID` in a serializable class?	The compiler generates one automatically, but it is highly sensitive to class changes, which can easily cause deserialization failures.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-042	What does the `transient` keyword do?	It prevents a instance variable from being serialized.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-043	What value is assigned to a `transient` reference field during deserialization?	null		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-044	What value is assigned to a `transient int` field during deserialization?	0		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-045	If a subclass is serializable but its parent class is not, what requirement must the parent class meet?	The parent class must define an accessible no-argument constructor so its state can be initialized during deserialization.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-046	What classes are used to serialize and deserialize objects?	java.io.ObjectOutputStream and java.io.ObjectInputStream		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-047	How can a class customize its serialization and deserialization processes?	By defining private writeObject(ObjectOutputStream) and readObject(ObjectInputStream) methods.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-048	What is `java.util.Scanner` primarily used for?	For parsing primitive types and strings from text using regular expressions.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-049	What does closing a `Scanner` wrapped around `System.in` do?	It closes the scanner and also closes the underlying System.in stream.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-050	What happens if you try to read from `System.in` after closing a scanner wrapped around it?	It throws java.util.NoSuchElementException because the stream is closed and cannot be reopened.		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-051	What class does `System.in` instantiate?	java.io.InputStream		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-052	What class do `System.out` and `System.err` instantiate?	java.io.PrintStream		no26_io/theory/03-serialization-concepts.md	java::core::io
io-basic-053	What is the difference between `System.out` and `System.err`?	System.out is standard output (often buffered), while System.err is standard error (unbuffered, flushing immediately).		no26_io/theory/03-serialization-concepts.md	java::core::io
