ID	Front	Back	Extra	Code	Source	Tags
datatype-basic-extra-001	Why is `String` considered a reference type even though it is easy to write?	Because a `String` variable stores a reference to a `String` object, not a primitive value.	"String has special literal syntax but is still an object. Concrete consequence: `String a = ""Hi""; String b = a;` — both `a` and `b` point to the same object. Mistake prevented: using `==` to compare String content instead of `.equals()`, which compares references rather than characters."		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype java::interview
datatype-basic-extra-002	Why should money usually not be stored with `float` or `double`?	Floating-point types can have rounding errors and are not exact decimal types.	"`System.out.println(0.1 + 0.2)` prints `0.30000000000000004`, not `0.3`. Accumulated errors in monetary calculations cause wrong totals. Use `BigDecimal(""0.10"").add(new BigDecimal(""0.20""))` for exact arithmetic. Mistake prevented: charging customers the wrong amount due to floating-point drift."		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-003	What happens in integer division such as `5 / 2`?	Java performs integer division and returns `2`.	Rule: when both operands are `int`, the fractional part is discarded. `System.out.println(5 / 2)` → `2`. To get `2.5`, write `5 / 2.0` or `(double) 5 / 2`. Mistake prevented: expecting a fractional result from integer operands and getting silently wrong calculations.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-004	Why can narrowing casting lose data?	The target type may not be able to represent all values or precision from the source type.	Two kinds of loss: (1) decimal truncation — `(int) 9.8` → `9`, not `10`; (2) value wrap — `(byte) 130` → `-126` because `byte` range is -128..127 and 130 mod 256 wraps to -126. Always validate the value range before narrowing. Mistake prevented: assuming a cast is a safe conversion.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-005	Why does `byte c = a + b` fail when `a` and `b` are bytes?	Java promotes small integer operands to `int` during arithmetic operations.	Rule: `byte`, `short`, and `char` operands are promoted to `int` before any arithmetic. So `a + b` has type `int`, not `byte`. Fix: `int c = a + b;` or `byte c = (byte)(a + b);`. Mistake prevented: expecting small-type arithmetic to stay in the small type.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-006	Why can `Integer boxed = null; int value = boxed;` fail?	Java tries to unbox `boxed`, but unboxing `null` causes `NullPointerException`.	The compiler rewrites `int value = boxed` as `int value = boxed.intValue()`. Calling `.intValue()` on `null` throws NPE at runtime. Always check `if (boxed != null)` before unboxing a wrapper that may be null. Mistake prevented: assuming autoboxing/unboxing is always safe.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype java::interview
datatype-basic-extra-007	What is the difference between `int` and `Integer`?	`int` is a primitive type; `Integer` is a wrapper class and reference type.	"Key differences: (1) `int` cannot be `null`; `Integer` can. (2) `int` cannot be used in generics (`List<int>` is invalid); use `List<Integer>`. (3) `Integer` has utility methods like `Integer.parseInt(""42"")`. Mistake prevented: using `int` where a reference type is needed or unboxing a null `Integer`."		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype java::interview
datatype-basic-extra-008	"Why is `""Java"".equals(text)` often safer than `text.equals(""Java"")`?"	"If `text` is null, `""Java"".equals(text)` returns false, but `text.equals(""Java"")` throws `NullPointerException`."	"Yoda condition: place the known non-null value on the left. `""Java"".equals(text)` — if `text == null`, `equals` receives `null` as its argument and returns `false` safely. By contrast, `text.equals(""Java"")` dereferences `text` first, causing NPE when null. Mistake prevented: NPE on string comparisons in conditionals."		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-009	Why should wrapper objects usually not be compared with `==`?	`==` compares object references, not numeric value, for wrappers.	Java caches `Integer` objects for values -128 to 127, so `Integer a = 100; Integer b = 100; a == b` is `true` (same cached object). But `Integer a = 200; Integer b = 200; a == b` is `false` (different objects). Always use `a.equals(b)` for value comparison. Mistake prevented: code that works for small values but silently breaks for large values.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype java::interview
datatype-basic-extra-010	Why is `List<int>` invalid in Java?	Generics require reference types, so collections use wrapper classes such as `Integer`.	Java generics work with reference types only; primitives are erased to `Object` at runtime and `int` has no class representation in generics. Use `List<Integer>` and rely on autoboxing when adding `int` values. Mistake prevented: compile error when trying to parameterize a collection with a primitive type.		03-data-types/README.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-011	Why is `double` the default choice for decimal literals?	Java treats decimal literals such as `9.99` as `double` unless marked with `F`.	`float price = 9.99;` is a compile error because `9.99` is a `double` literal and assigning `double` to `float` is a narrowing conversion — requires explicit cast or `F` suffix. Fix: `float price = 9.99F;`. Mistake prevented: forgetting the `F` suffix and getting a compile error that looks puzzling at first.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-012	"Why is `char c = ""A"";` invalid?"	"`""A""` is a String literal, not a char literal."	Double quotes always produce a `String` object; `String` cannot be assigned to `char`. Single quotes produce a `char` literal: `char c = 'A';`. Additionally, a `char` can only hold exactly one character — `char c = 'AB';` is also a compile error. Mistake prevented: confusing string literal syntax with char literal syntax.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-013	Why is `boolean valid = 1;` invalid in Java?	Java does not convert `1` to `true` or `0` to `false`.	Unlike C/C++, Java booleans are a distinct type with only two values: `true` and `false`. No numeric type can be implicitly or explicitly cast to `boolean`. You must write a comparison: `boolean valid = (x == 1);`. Mistake prevented: C-style boolean arithmetic silently compiling and running incorrectly.		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-014	Why can fields have default values while local variables cannot be used unassigned?	Fields are initialized by Java defaults, but local variables must be definitely assigned before use.	"Field defaults: `int` → `0`, `boolean` → `false`, reference → `null`. A local variable like `int x; System.out.println(x);` is a compile error: ""variable x might not have been initialized"". Mistake prevented: accidentally reading garbage values from uninitialized local variables."		03-data-types/theory/01-primitive-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-015	Why can changing an object through one reference affect another reference?	Both references may point to the same object.	Example: `int[] a = {1, 2, 3}; int[] b = a; b[0] = 99; System.out.println(a[0]);` prints `99` because `a` and `b` reference the same array. Primitive assignment copies the value; reference assignment copies the address. Mistake prevented: expecting that assigning a reference creates an independent copy of the object.		03-data-types/theory/02-reference-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-016	Why is an array considered a reference type even if it stores primitives?	The array itself is an object, and the variable stores a reference to that array object.	`int[] a = {1,2,3}; int[] b = a;` — `b` is not a copy; both point to the same array object. Modifying `b[0]` changes `a[0]` too. The `.length` property is accessible because the array is an object. Mistake prevented: thinking `int[]` is a primitive and expecting independent copy semantics.		03-data-types/theory/02-reference-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-017	Why does `name.length()` fail if `name` is null?	There is no String object to call the method on.	`name.length()` is compiled as a virtual dispatch on the object reference stored in `name`. If `name` is `null`, the JVM cannot dispatch to any object and throws `NullPointerException` at runtime — not at compile time. Guard with `if (name != null)` or use `Objects.requireNonNull(name)`. Mistake prevented: forgetting null checks before method calls on reference variables.		03-data-types/theory/02-reference-types.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
datatype-basic-extra-018	Why does `(int) 9.8` become `9` instead of rounding to `10`?	Narrowing from `double` to `int` truncates the decimal part.	Java narrowing conversion always truncates toward zero: `(int) 9.8` → `9`, `(int) -9.8` → `-9`. To round to nearest integer use `Math.round(9.8)` which gives `10L`. Mistake prevented: assuming a cast rounds like `Math.round` — it does not.		03-data-types/theory/03-literals-casting-numeric-behavior.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html	java::core::datatype
