ID	Front	Back	Code	Source	Tags
optional-basic-001	What should you know about `What is Optional<T>?` in Optional?	It is an immutable container object that wraps a single non-null value or represents absence.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-002	Why does `What is Optional<T>?` matter in Java?	It makes the potential absence of a value explicit in method signatures, forcing callers to handle the empty state and reducing NullPointerExceptions.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-003	What should you know about `Avoid NullPointerException` in Optional?	Optional represents absence cleanly instead of returning null references which can cause unexpected runtime exceptions.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional java::interview
optional-basic-004	Why does `Avoid NullPointerException` matter in Java?	It changes checks from dangerous runtime failures to structured compiler-guided verification (using map, orElse, etc.) before dereferencing.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional java::interview
optional-basic-005	What should you know about `Optional.of` in Optional?	It is a factory method that returns an Optional containing the specified non-null value.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-006	Why does `Optional.of` matter in Java?	It throws a NullPointerException immediately if the value is null, acting as a fail-fast validation mechanism.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-007	What should you know about `Optional.ofNullable` in Optional?	It is a factory method that returns an Optional describing the value if non-null, otherwise returns an empty Optional.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-008	Why does `Optional.ofNullable` matter in Java?	It safely wraps a possibly-null reference without throwing NullPointerException, converting null into Optional.empty().		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-009	What should you know about `Optional.empty` in Optional?	It is a static factory method that returns an empty Optional instance.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-010	Why does `Optional.empty` matter in Java?	It returns a cached, shared empty singleton instance, avoiding unnecessary object allocations for representing absence.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-011	What should you know about `isPresent`in Optional?	It is a state query method that returns true if a non-null value is present, and false if empty.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-012	Why does `isPresent` matter in Java?	While it checks for presence, using it with get() mimics traditional null checks; functional alternatives like ifPresent or orElse are preferred.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-013	What should you know about `ifPresent`in Optional?	It is a consumer method that executes a Consumer lambda with the value if it is present, doing nothing if empty.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-014	Why does `ifPresent` matter in Java?	It enables side-effect consumption of the wrapped value safely without manual verification or unwrapping.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-015	What should you know about `orElse`in Optional?	It is an unwrapping method that returns the value if present, or evaluates and returns the provided default value if empty.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-016	Why does `orElse` matter in Java?	Its default value argument is evaluated eagerly, which can cause performance penalties or side-effects even when the Optional is not empty.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-017	What should you know about `orElseGet`in Optional?	It is an unwrapping method that returns the value if present, or evaluates and returns the result of a Supplier if empty.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-018	Why does `orElseGet` matter in Java?	It evaluates the fallback value lazily, invoking the Supplier only if the Optional is actually empty, saving execution overhead.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-019	What should you know about `orElseThrow` in Optional?	It is an unwrapping method that returns the value if present, or throws a NoSuchElementException or custom exception if empty.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-020	Why does `orElseThrow` matter in Java?	It is the preferred alternative to get(), explicitly indicating that an exception is expected and thrown if the value is absent.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-021	What should you know about `map` in Optional?	It is an intermediate method that applies a mapper function to the value if present, wrapping the result in a new Optional.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-022	Why does `map` matter in Java?	It transforms the wrapped value without manual checks, returning an empty Optional if the mapping function returns null or if the source is empty.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-023	What should you know about `flatMap` in Optional?	It is an intermediate method that applies a mapper function returning an Optional, returning that Optional directly without double wrapping.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-024	Why does `flatMap` matter in Java?	It prevents nested Optional structures (Optional<Optional<T>>) when chaining multiple methods that return Optional.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-025	What should you know about `filter`in Optional?	It returns the Optional if it contains a value matching a predicate, otherwise returns an empty Optional.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-026	Why does `filter` matter in Java?	It allows discarding values conditionally in a fluent chain without manual if-statement blocks.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-027	What should you know about `Do not overuse Optional` in Optional?	Optional should not be used for class fields, method parameters, or wrapped collections due to memory overhead, serialization issues, and API design principles.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-028	Why does `Do not overuse Optional` matter in Java?	Using Optional incorrectly degrades performance, breaks Java serialization, and creates unnecessary wrapper allocations in high-throughput applications.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-029	What should you know about `Optional in return type` in Optional?	Optional is designed specifically to represent missing return values, alerting the caller to handle absence.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-030	Why does `Optional in return type` matter in Java?	It forces caller APIs to explicitly deal with the empty case, but returning null instead of Optional.empty() throws NPE and breaks safety.		no24_optional/theory/02-map-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-031	Why does using `orElse` instead of `orElseGet` with a method call argument degrade performance?	Because `orElse` evaluates its argument eagerly at call time, executing the method and wasting resources even if the Optional is not empty.		no24_optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html#orElse(T)	java::core::optional
