ID	Front	Back	Extra	Source	Tags
inner_nested_class-extra-001	Explain `Nested class` deeply enough for review.	Nested class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Nested class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Nested class` change, allow, reject, or clarify?	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-extra-002	Explain `Static nested class` deeply enough for review.	Static means the member belongs to the class rather than to one particular object.	Meaning: Static means the member belongs to the class rather than to one particular object. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: `ClassName.member` accesses a class-level member.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-extra-003	Explain `Inner class` deeply enough for review.	Inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Inner class` change, allow, reject, or clarify?	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-extra-004	Explain `Local inner class` deeply enough for review.	Local inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Local inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Local inner class` change, allow, reject, or clarify?	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-extra-005	Explain `Anonymous inner class` deeply enough for review.	Anonymous inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Anonymous inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Anonymous inner class` change, allow, reject, or clarify?	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-extra-006	Explain `Access variables outside the class` deeply enough for review.	Access variables outside the class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Access variables outside the class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Access variables outside the class` change, allow, reject, or clarify?	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-extra-007	Explain `Use case of inner class` deeply enough for review.	Use case of inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Use case of inner class is a specific concept in Inner Class and Nested Class; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Use case of inner class` change, allow, reject, or clarify?	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-extra-008	Explain `Anonymous class in event handler, thread, comparator` deeply enough for review.	Comparator defines external custom ordering for objects.	Meaning: Comparator defines external custom ordering for objects. Why it matters: It matters because concurrent code can look correct in single-thread tests but fail under timing pressure. A common confusion is assuming visibility, ordering, and atomicity are the same guarantee. Example: `new Thread(task).start()` starts work on another thread.	15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner-nested-class-aug-extra-001	What should you understand deeply about `Nested class`?	Tiny example or mental model:	Review it as a rule you can apply, not just a term. Ask what code it allows, rejects, or makes easier to reason about. Then connect it to one realistic Java mistake. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class
inner-nested-class-aug-extra-002	What should you understand deeply about `Static nested class`?	Static means the member belongs to the class rather than to one particular object.	Review it as a rule you can apply, not just a term. Ask what code it allows, rejects, or makes easier to reason about. Then connect it to one realistic Java mistake. Source: /home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md	/home/fhu_thjen/projects/learning-java/15-inner-nested-class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner_nested_class
