ID	Front	Back	Source	Tags
overview-basic-001	What is Java?	Java is a general-purpose, object-oriented programming language that runs through compiled bytecode on the JVM.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-basic-002	What kinds of applications is Java commonly used for?	Java is commonly used for backend systems, Android apps, enterprise applications, command-line tools, distributed systems, financial systems, and long-running server applications.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-basic-003	Why is Java more than just a programming language?	Java often refers to the language plus the compiler, JVM, standard library, build tools, frameworks, and ecosystem.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-basic-004	What is the Java compiler responsible for?	The Java compiler translates `.java` source code into `.class` bytecode.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-basic-005	What is the JVM responsible for at the simplest level?	The JVM loads and executes Java bytecode.	01-overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::jvm
overview-basic-006	What is the Java standard library?	The Java standard library is the built-in set of APIs that come with Java, such as collections, IO, exceptions, dates, and concurrency utilities.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-basic-007	Why did Java become popular?	Java became popular because it combined clear syntax, OOP, automatic memory management, a large library ecosystem, cross-platform execution, and enterprise stability.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview
overview-basic-008	What does object-oriented mean in Java?	It means Java programs are largely organized around classes and objects that combine data and behavior.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::oop
overview-basic-009	What is a class in the beginner Java mental model?	A class is a blueprint that describes data and behavior for objects.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::oop
overview-basic-010	What is an object in the beginner Java mental model?	An object is a concrete instance created from a class.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::core::oop
