ID	Text	Extra	Code	Source	Tags
best_practices-cloze-001	Descriptive naming improves codebase maintainability by choosing intent-revealing names to prevent {{c1::cognitive overload}} during development.	Obscure variable names require constant lookups and mental tracking. Clean names explain themselves, saving developer time.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices java::term
best_practices-cloze-002	Primitive and String public static final constants are optimized at compile-time via {{c1::constant inlining}} by the Java compiler.	The javac compiler inserts the literal constant value directly into the consuming class's bytecode, avoiding runtime getstatic lookup instructions.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices
best_practices-cloze-003	The guard-clause pattern relies on early returns or throwing exceptions to maintain a {{c1::flat control flow}} structure in methods.	Rather than nesting business logic inside nested if-else statements, guard clauses handle invalid parameters first, keeping the happy path linear.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices java::term
best_practices-cloze-004	Swallowing exceptions by using empty catch blocks breaks the JVM's stack-unwinding mechanism and discards the {{c1::diagnostic context}} of the error.	Halting the exception propagation without logging or wrapping it hides developer bugs and leaves the system in an unstable state.		no41_best_practices/theory/02-do-not-swallow-exceptions-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::best-practices java::interview
best_practices-cloze-005	Custom exceptions should extend {{c1::RuntimeException}} if they represent unrecoverable programmer errors that callers cannot resolve.	Extending RuntimeException creates an unchecked exception, which does not require compile-time throws clauses or try-catch blocks.		no41_best_practices/theory/02-do-not-swallow-exceptions-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::best-practices java::term java::interview
best_practices-cloze-006	Custom exceptions should extend {{c1::Exception}} if they represent recoverable business conditions that the caller must handle.	Checked exceptions are verified at compile-time. The compiler requires callers to handle them or declare them in their method signature.		no41_best_practices/theory/02-do-not-swallow-exceptions-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::best-practices java::term java::interview
best_practices-cloze-007	The strict contract states that if two objects are equal under equals(), they must return the {{c1::same hashCode}} value.	If they do not, hash-based collections like HashMap and HashSet will fail to retrieve or store the objects correctly.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices java::interview
best_practices-cloze-008	To avoid heap allocations and $O(N^2)$ time complexity, loop string concatenation should use {{c1::StringBuilder}} instead of the `+` operator.	Strings are immutable in Java. Every plus operator concatenation in a loop generates a new String instance on the heap.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices
best_practices-cloze-009	For monetary arithmetic, Java developers should use {{c1::BigDecimal}} with its String constructor to prevent IEEE 754 floating-point rounding errors.	Primitives like double and float represent numbers in binary scientific notation, which cannot represent base-10 fractions (like 0.1) exactly.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices java::term
best_practices-cloze-010	The try-with-resources statement automatically closes resources that implement the {{c1::AutoCloseable}} interface.	This guarantees that system resources such as file handles and sockets are safely closed even if runtime exceptions occur.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices
best_practices-cloze-011	Composition is preferred over class inheritance because it avoids the {{c1::Fragile Base Class}} coupling problem.	Inheritance creates a tight compile-time link between subclasses and parent classes. Changes in parent methods can break subclasses.		no41_best_practices/theory/01-name-variables-functions-and-classes-clearly-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/index.html	java::core::best-practices java::term
best_practices-cloze-012	Using raw types instead of generic parameterized collections disables {{c1::compile-time type safety}} checking.	Raw types are generic types used without type parameters. They cause compiler warnings and risk runtime ClassCastExceptions.		no41_best_practices/theory/02-do-not-swallow-exceptions-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::best-practices
