ID	Front	Back	Source	Tags
optional-basic-001	What should you know about `What is Optional<T>?` in Optional?	Optional is a container that may or may not hold a non-null value.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-002	Why does `What is Optional<T>?` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-003	What should you know about `Avoid NullPointerException` in Optional?	An exception represents an abnormal condition that a program may catch or propagate.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional java::interview
optional-basic-004	Why does `Avoid NullPointerException` matter in Java?	It matters because exception behavior decides whether failures are handled locally, propagated, or allowed to stop the program. A common confusion is treating every exception the same instead of separating recoverable conditions from programming bugs.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional java::interview
optional-basic-005	What should you know about `Optional.of` in Optional?	Optional is a container that may or may not hold a non-null value.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-006	Why does `Optional.of` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-007	What should you know about `Optional.ofNullable` in Optional?	Optional is a container that may or may not hold a non-null value.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-008	Why does `Optional.ofNullable` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-009	What should you know about `Optional.empty` in Optional?	Optional is a container that may or may not hold a non-null value.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-010	Why does `Optional.empty` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
optional-basic-011	What should you know about `isPresent`in Optional?	isPresent is a specific concept in Optional; learn its Java rule, valid use cases, and failure mode rather than only its name.	24-optional/theory/01-what-is-optional-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html	java::core::optional
