ID	Front	Back	Extra	Code	Source	Tags
module_system-extra-001	Explain `What is a module?` deeply enough for review.	What is a module is a key question for understanding Java Module System.		// A module is a self-describing collection of code and data (packages).	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-002	Explain `module-info.java` deeply enough for review.	module-info.java is a specific concept in Java Module System; learn its Java rule, valid use cases, and failure mode rather than only its name.		module my.module {\n    exports com.my.package;\n}	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-003	What confusion should you avoid with `module-info.java`?	Do not treat `module-info.java` as just a memorized word.	Tip: It must be placed at the root of the source directory, not inside package folders.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-004	Explain `requires` deeply enough for review.	requires is a specific concept in Java Module System; learn its Java rule, valid use cases, and failure mode rather than only its name.		module my.module {\n    requires java.logging;\n}	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-005	What confusion should you avoid with `requires`?	Do not treat `requires` as just a memorized word.	Tip: `requires` specifies dependency on a module name, not a package name.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-006	Explain `exports` deeply enough for review.	exports is a specific concept in Java Module System; learn its Java rule, valid use cases, and failure mode rather than only its name.		module my.module {\n    exports com.my.publicapi;\n}	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-007	What confusion should you avoid with `exports`?	Do not treat `exports` as just a memorized word.	Tip: `exports` makes package contents visible at both compile-time and runtime.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-008	Explain `opens` deeply enough for review.	opens is a specific concept in Java Module System; learn its Java rule, valid use cases, and failure mode rather than only its name.		module my.module {\n    opens com.my.internal to spring.core;\n}	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-009	What confusion should you avoid with `opens`?	Do not treat `opens` as just a memorized word.	Tip: `opens` allows runtime reflection access (even to private elements) but not compile-time access.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-010	Explain `Named module` deeply enough for review.	Named module is a specific concept in Java Module System; learn its Java rule, valid use cases, and failure mode rather than only its name.	Example: A standard modular JAR with a module-info.class at its root.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-011	Explain `Unnamed module` deeply enough for review.	Unnamed module is a specific concept in Java Module System; learn its Java rule, valid use cases, and failure mode rather than only its name.	Example: Legacy classes loaded from the classpath are automatically placed in the unnamed module.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-012	Explain `Automatic module` deeply enough for review.	Automatic module is a specific concept in Java Module System; learn its Java rule, valid use cases, and failure mode rather than only its name.	Example: A legacy non-modular JAR placed on the module path. Its name is derived from the filename or MANIFEST.MF.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-013	Explain `Module-level encapsulation` deeply enough for review.	Module-level encapsulation is a specific concept in Java Module System; learn its Java rule, valid use cases, and failure mode rather than only its name.	Tip: Public classes in non-exported packages are not accessible outside the module.		33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
module_system-extra-014	Explain `Module path vs Classpath` deeply enough for review.	Classpath tells the JVM and compiler where to find classes and JARs.		# classpath\njava -cp app.jar com.foo.Main\n# module path\njava -p app.jar -m my.module/com.foo.Main	33-module-system/theory/01-what-is-a-module-concepts.md | https://dev.java/learn/modules/	java::core::module-system
