ID	Front	Back	Code	Source	Tags
design-principles-basic-001	What is the main objective of the Single Responsibility Principle (SRP) in Java OOP?	A class should have only one reason to change, meaning it must focus entirely on a single piece of functionality to maintain high cohesion and prevent cross-domain side effects.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-002	How does high cohesion in a Java class help reduce overall system coupling?	A cohesive class keeps related variables and logic together. By focusing on a single task, it communicates via well-defined boundaries, preventing unrelated modules from interacting with its internal state.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-003	What does the Open/Closed Principle (OCP) state regarding class changes?	Software entities should be open for extension (adding new implementations/classes) but closed for modification (not editing existing, tested, and verified source code).		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-004	Which Java language features enable developers to achieve the Open/Closed Principle (OCP)?	Subtype polymorphism, interfaces, and abstract classes. These allow introducing new behavior by writing new implementing classes, which the JVM resolves dynamically at runtime.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-005	What is the fundamental rule of the Liskov Substitution Principle (LSP)?	Subclasses must be substitutable for their parent classes or interfaces without breaking the correctness of the program or violating the parent's behavioral contract.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-006	How can a subclass violate the behavioral contract of its parent under LSP in Java?	By strengthening preconditions (e.g. throwing new checked exceptions, restricting input ranges) or weakening postconditions (e.g. returning null where the parent guaranteed an object).		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-007	What design problem does the Interface Segregation Principle (ISP) address?	"Fat" or bloated interfaces that couple unrelated clients. Implementing classes are forced to write dummy methods throwing exceptions, coupling components together at compile-time.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-008	How does Interface Segregation (ISP) protect Java classes from compile-time ripple effects?	By splitting bloated interfaces into small, client-specific ones, modifying a method signature only impacts implementing classes that actually use it, preventing global recompilation.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-009	What is the core rule of the Dependency Inversion Principle (DIP)?	High-level modules should not depend on low-level concrete classes; both must depend on abstractions (interfaces). Abstractions should not depend on details; details must depend on abstractions.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-010	How does Dependency Injection (DI) relate to the Dependency Inversion Principle (DIP)?	DIP is the design goal (coding to interfaces to decouple layers). DI is the mechanism to supply concrete instances to dependencies, binding them at runtime via constructors/setters.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-011	What is the goal of DRY ("Don't Repeat Yourself")?	To ensure that every piece of system knowledge or logic has a single, unambiguous, authoritative representation within the codebase, preventing duplicated maintenance points.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-012	When can strict application of DRY lead to poor Java design (the "over-DRY" anti-pattern)?	When code blocks are deduplicated even though they belong to separate business domains. If their business requirements diverge, the shared code gets cluttered with complex flag checks.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-013	How does the KISS ("Keep It Simple, Stupid") principle improve code maintainability?	It reduces cognitive load by avoiding premature complexity, deep class hierarchies, and unnecessary design patterns, making bugs easier to locate and code easier to refactor.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-014	What does YAGNI ("You Aren't Gonna Need It") recommend regarding feature development?	Do not implement features, abstractions, or utility logic based on speculative future requirements. Implement them only when there is an immediate, concrete need.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-015	What is coupling, and why is loose coupling a key goal in Java class design?	Coupling measures the degree of interdependence between classes. Loose coupling ensures that changes to the implementation details of class A do not break class B.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-basic-016	What is cohesion, and why is high cohesion desirable in classes?	Cohesion measures how focused a class's methods and variables are on a single task. High cohesion keeps classes simple, readable, and easy to test and reuse.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
