ID	Front	Back	Code	Source	Tags
annotation-basic-001	What should you know about `What is an annotation?` in Annotation?	An annotation is a metadata tag attached to Java declarations (classes, methods, fields) that doesn't change program execution directly but is readable by compilers or tools.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-basic-002	Why does `What is an annotation?` matter in Java?	It replaces boilerplate XML configuration files, powers modern frameworks (like Spring, Jackson, Hibernate), and enables extra compile-time checks.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-basic-003	What should you know about `Built-in annotations:` in Annotation?	Java has standard pre-defined annotations for compilation checks (@Override, @Deprecated, @SuppressWarnings, @SafeVarargs, @FunctionalInterface) and meta-annotations (@Target, @Retention).		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-basic-004	Why does `Built-in annotations:` matter in Java?	They provide compiler-level safety guarantees, mark outdated elements, suppress unwanted warning logs, and configure custom annotations.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-basic-005	What should you know about `@Override` in Annotation?	It marks a method that overrides a superclass method or implements an interface method, prompting the compiler to verify its signature.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-basic-006	Why does `@Override` matter in Java?	It prevents bugs caused by spelling mistakes or signature mismatches (e.g. incorrect parameter types) in overridden methods by throwing a compiler error.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-basic-007	What should you know about `@Deprecated` in Annotation?	It marks a program element as obsolete, signaling that developers should avoid using it because it may be removed in future versions.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-basic-008	Why does `@Deprecated` matter in Java?	It guides developers away from old code and controls API deprecation lifecycles using elements like 'since' and 'forRemoval'.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-basic-009	What should you know about `@SuppressWarnings` in Annotation?	It instructs the compiler to suppress specified warnings (like unchecked, deprecation, or rawtypes) for the annotated element and its members.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-basic-010	Why does `@SuppressWarnings` matter in Java?	It keeps build logs clean by hiding known, safe compiler warnings so that developers can focus on genuine compilation issues.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
