ID	Front	Back	Source	Tags
date_time_api-basic-001	Why is legacy `java.util.Date` considered a poorly designed API?	It is mutable (allowing state corruption), month indexing is 0-indexed (0 is January), and years are offset by 1900 (e.g., year 126 is 2026).	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-002	How does the mutability of `java.util.Date` cause issues in multi-threaded environments?	Multiple threads sharing a `Date` reference can modify its state concurrently (e.g. via `setTime`), leading to data races and variable corruption.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-003	Why is the legacy `java.util.Calendar` class not type-safe?	It relies on arbitrary integer constants (like `Calendar.MONTH` or `Calendar.YEAR`) for accessing and modifying fields, rather than type-safe enums.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-004	What is the month indexing scheme in the legacy `java.util.Calendar` class?	Months are 0-indexed; `Calendar.JANUARY` is 0, and `Calendar.DECEMBER` is 11.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-005	Why is `java.text.SimpleDateFormat` unsafe to share across threads or use as a static variable?	It is not thread-safe. It internally maintains mutable state in a shared `Calendar` instance during format and parse operations, causing date corruption or exceptions under concurrency.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-006	What is the modern, thread-safe replacement for `SimpleDateFormat`?	java.time.format.DateTimeFormatter	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-007	What does `LocalDate` represent in Java?	A date without a time or a timezone context (e.g., `2026-06-12`) in the ISO-8601 calendar system.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-008	How does month indexing in modern `java.time.LocalDate` differ from legacy `java.util.Date`?	LocalDate uses standard 1-indexed months (1 = January, 12 = December), unlike legacy Date which is 0-indexed (0 = January).	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-009	What does `LocalTime` represent in Java?	A time of day without a date or a timezone context (e.g., `13:45:00`) with nanosecond precision.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-010	What does `LocalDateTime` represent in Java?	A combination of date and time without a timezone context (e.g., `2026-06-12T13:45:00`).	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-011	Why is `LocalDateTime` insufficient for representing a specific moment on the global timeline?	It has no timezone offset information, meaning it represents only a local wall-clock time which corresponds to different actual moments depending on region.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-012	What does `ZonedDateTime` represent in Java?	A date and time with a full geographical timezone context (e.g., `2026-06-12T13:45:00+09:00[Asia/Tokyo]`) containing DST and offset transition rules.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-013	How does `ZonedDateTime` resolve transitions during Daylight Saving Time (DST) changes?	It uses the rules of the target `ZoneId` to automatically adjust the offset (e.g. from -04:00 to -05:00) depending on the calendar date.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-014	What does `OffsetDateTime` represent in Java?	A date and time with a fixed UTC offset (e.g., `2026-06-12T13:45:00+09:00`), but without daylight saving time or regional rules.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-015	When is `OffsetDateTime` typically preferred over `ZonedDateTime`?	For database serialization, XML/JSON APIs, and network protocols where exact offsets are required without regional timezone logic.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-016	What does `Instant` represent in the Java Date-Time API?	An instantaneous point on the UTC timeline, measured in seconds and nanoseconds from the Unix Epoch (1970-01-01T00:00:00Z).	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-017	What timezone is used when printing an `Instant` object directly using `toString()`?	The UTC timezone, indicated by a trailing 'Z' (e.g., `2026-06-12T13:45:00Z`).	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-018	Why does `Instant` matter in Java?	It provides a completely standardized, UTC-based epoch offset for logging, serialization, and high-precision execution duration measurements.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-019	What does `Duration` represent in Java?	A time-based amount of time measured in seconds and nanoseconds (e.g., '3 hours' or '45 seconds').	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-020	What types of temporal classes can be passed to `Duration.between()`?	Time-based temporal classes like `Instant`, `LocalTime`, and `LocalDateTime`.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-021	Why does passing a `LocalDate` to `Duration.between()` fail?	Because `LocalDate` has no time component (no seconds or nanoseconds), which are required by the time-based `Duration` class.	25-date-time-api/theory/01-date-concepts.md	java::core::date-time-api
date_time_api-basic-022	What does `Period` represent in Java?	A date-based amount of time measured in years, months, and days (e.g., '1 year, 2 months, and 3 days').	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-023	What string format is used when printing a `Period` object?	The ISO-8601 period format: `PnYnMnD` (e.g., `P1Y2M3D` represents 1 year, 2 months, and 3 days).	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-024	Why is chaining static factory methods on `Period` (e.g., `Period.ofYears(1).ofDays(5)`) a trap?	Because static factory methods do not accumulate; the last call overrides the previous ones, so `Period.ofYears(1).ofDays(5)` represents only 5 days.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-025	How do you correctly construct a `Period` containing years, months, and days together?	Use the multi-argument factory method: `Period.of(years, months, days)`.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-026	How do you parse a custom date string into a `LocalDate` object?	Use the static method `LocalDate.parse(text, formatter)`, passing the date string and a matching `DateTimeFormatter`.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-027	What exception is thrown when parsing a string that does not match the `DateTimeFormatter` pattern?	java.time.format.DateTimeParseException (which is a subclass of DateTimeException).	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-028	Why are all classes in the `java.time` package inherently thread-safe?	They are immutable. Modifying operations do not change the state of the existing object; they return a new instance representing the modified value.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-029	What is the effect of calling `date.plusDays(5)` on an existing `LocalDate` variable without assignment?	It has no effect on the original variable because `LocalDate` is immutable. The returned new instance is discarded.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-030	What is the difference between `isEqual()` and `equals()` when comparing two `ZonedDateTime` objects?	isEqual() compares only the chronological timeline position (instant), whereas equals() also compares class type, timezone, and calendar system.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-031	What is a `TemporalAdjuster` used for in Java?	For executing complex, custom date adjustments, such as finding the next Monday, the last day of the month, or the first Tuesday of next year.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-032	How do you find the last day of the current month using `LocalDate`?	By calling `date.with(TemporalAdjusters.lastDayOfMonth())`.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-033	What does `ZoneOffset` represent in the Java Date-Time API?	A fixed offset difference from UTC/Greenwich time, represented by hours, minutes, and seconds (e.g., `+05:30`).	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-034	How does `ZoneId` differ from `ZoneOffset`?	ZoneId represents a full geographical region (like `Asia/Tokyo`) and includes rules for Daylight Saving Time; ZoneOffset is a simple, fixed difference from UTC.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-035	How do you convert a `ZonedDateTime` object to a different timezone while preserving the exact same instant on the timeline?	By calling `zonedDateTime.withZoneSameInstant(targetZoneId)`.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
date_time_api-basic-036	What is the effect of calling `withZoneSameLocal(ZoneId)` on a `ZonedDateTime` object?	It shifts the timezone of the object but retains the local date-time digits, which changes the represented instant on the global timeline.	25-date-time-api/theory/02-period-concepts.md	java::core::date-time-api
