ID	Text	Extra	Code	Source	Tags
date_time_api-cloze-001	Legacy `java.util.Date` months are {{c1::0-indexed}} (0 = January), whereas modern `java.time.LocalDate` months are {{c2::1-indexed}} (1 = January).	In java.util.Date and Calendar, months range from 0 to 11. In the java.time package, they range from 1 to 12.		no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api
date_time_api-cloze-002	Legacy `java.util.Date` constructor expects the year argument to be {{c1::year minus 1900}} (e.g., 126 represents the year 2026).	This subtraction makes legacy Date creation extremely error-prone and hard to read.		no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api
date_time_api-cloze-003	SimpleDateFormat is not thread-safe because it internally maintains mutable state in a shared {{c1::Calendar}} instance.	If shared across multiple threads, format() and parse() operations will overwrite each other's data, causing garbage output or exceptions.		no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api
date_time_api-cloze-004	Modern Java date-time classes (like `LocalDate`) are {{c1::immutable}} and thread-safe, meaning modification methods return new instances.	Because they are immutable, they can be shared freely across threads without synchronization, preventing shared state bugs.		no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api
date_time_api-cloze-005	LocalDate represents a date without time or timezone, while LocalTime represents time without date or timezone, both formatted using the {{c1::ISO-8601}} calendar system.	The default format is yyyy-MM-dd for LocalDate and HH:mm:ss for LocalTime.		no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api
date_time_api-cloze-006	LocalDateTime combines date and time but lacks a {{c1::timezone offset}}, so it does not represent a unique instant on the global timeline.	Without an offset or zone, '10:00 AM' represents a different absolute point in time in New York compared to Tokyo.		no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api
date_time_api-cloze-007	ZonedDateTime contains a date, time, offset, and a regional {{c1::ZoneId}} (e.g. `America/New_York`) to automatically handle DST rules.	This class is optimal for user-facing applications that need to dynamically resolve transitions like Daylight Saving Time.		no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api
date_time_api-cloze-008	OffsetDateTime contains date, time, and a fixed offset (represented by {{c1::ZoneOffset}}), but does not have regional timezone rules.	Because it has a fixed offset without DST rules, it is widely used for system integration, databases, and network serializations.		no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api
date_time_api-cloze-009	Instant represents a point on the timeline measured in seconds and nanoseconds relative to the {{c1::Unix Epoch}} (January 1, 1970 UTC).	It acts as a timezone-neutral UTC timestamp. Its toString() representation always appends 'Z'.		no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api
date_time_api-cloze-010	Passing LocalDate to `Duration.between()` throws {{c1::UnsupportedTemporalTypeException}} because LocalDate lacks time-based units like seconds.	Duration only operates on time-based objects (Instant, LocalTime, LocalDateTime). Use Period.between() for date-based objects.		no25_date_time_api/theory/01-date-concepts.md | https://docs.oracle.com/javase/tutorial/datetime/	java::core::date-time-api
