ID	Front	Back	Extra	Code	Source	Tags
functional_interface-extra-001	Explain `Predicate<T>` deeply enough for review.	Predicate<T> is a single-argument functional interface that tests a condition and returns a boolean.	Functional method: `boolean test(T t)`. Used for filtering collections or streams. It provides default methods like `and()`, `or()`, and `negate()` for chaining conditions. Primitive variants like `IntPredicate` avoid autoboxing overhead.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-002	Explain `Function<T, R>` deeply enough for review.	Function<T, R> is a functional interface that accepts one argument of type T and produces a result of type R.	Functional method: `R apply(T t)`. Used for mapping or transforming values. Chaining is supported via `andThen()` and `compose()`. Specialized primitive versions (e.g., `ToIntFunction`, `DoubleFunction`) prevent boxing/unboxing overhead.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-003	Explain `Consumer<T>` deeply enough for review.	Consumer<T> is a functional interface that accepts one argument of type T and returns no result (void).	Functional method: `void accept(T t)`. Used for side-effects (e.g., printing or writing to a database). Supports chaining via `andThen()`. Has primitive variants like `IntConsumer`, `DoubleConsumer`.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-004	Explain `Supplier<T>` deeply enough for review.	Supplier<T> is a functional interface that takes no arguments and returns a result of type T.	Functional method: `T get()`. Often used for lazy generation of values, factories, or default values. Has primitive variants like `IntSupplier` and `BooleanSupplier`.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-005	Explain `UnaryOperator<T>` deeply enough for review.	UnaryOperator<T> is a specialized Function<T, T> where the input and output share the same type T.	Functional method: `T apply(T t)`. Inherits from `Function<T, T>`. Used for modifying values in-place (e.g., `List.replaceAll`). Has primitive variants like `IntUnaryOperator`.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-006	Explain `BinaryOperator<T>` deeply enough for review.	BinaryOperator<T> is a specialized BiFunction<T, T, T> where both inputs and the output share the same type T.	Functional method: `T apply(T t1, T t2)`. Inherits from `BiFunction<T, T, T>`. Used for reductions/aggregations. Includes static helpers like `minBy()` and `maxBy()`.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-007	Explain `BiPredicate<T, U>` deeply enough for review.	BiPredicate<T, U> is a functional interface that accepts two arguments of types T and U and returns a boolean.	Functional method: `boolean test(T t, U u)`. Used to check relationships or match conditions between two different objects. Supports default chaining methods `and()`, `or()`, and `negate()`.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-008	Explain `BiFunction<T, U, R>` deeply enough for review.	BiFunction<T, U, R> is a functional interface that accepts two arguments of types T and U and produces a result of type R.	Functional method: `R apply(T t, U u)`. Used to combine two different objects into a third type. Supports chaining via `andThen()`.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-009	Explain `BiConsumer<T, U>` deeply enough for review.	BiConsumer<T, U> is a functional interface that accepts two arguments of types T and U and returns no result (void).	Functional method: `void accept(T t, U u)`. Used for side-effects involving two inputs (e.g., iterating a map with `Map.forEach(BiConsumer)`).		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-010	Explain `What is the input?` deeply enough for review.	Analyze the quantity (0, 1, or 2) and types (generic objects vs. primitive types like int, double, long) of the parameters.	Selecting primitive variants (like `IntConsumer` instead of `Consumer<Integer>`) is crucial to avoid autoboxing performance penalties in high-frequency operations.		22-functional-interface/theory/01-predicate-t-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-011	Explain `What is the output?` deeply enough for review.	Analyze the return type: void (Consumer), boolean (Predicate), or a value (Function, Supplier).	Ensure the return type matches the expected result. A mismatch (e.g. returning `null` from a lambda assigned to a primitive interface like `IntSupplier`) compiles but causes `NullPointerException` at runtime.		22-functional-interface/theory/02-what-is-the-output-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
functional_interface-extra-012	Explain `When to use which interface?` deeply enough for review.	Choose based on inputs and outputs: Supplier for 0-in/1-out; Consumer for 1-in/0-out; Predicate for 1-in/boolean-out; Function for 1-in/1-out; Operators when types match.	If inputs are primitives, use primitive-specialized interfaces (e.g., `LongConsumer`). If there are 2 inputs, use Bi-variants (e.g., `BiFunction`). Use custom interfaces only if you need a specific name or non-standard signature/chaining.		22-functional-interface/theory/02-what-is-the-output-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/function/package-summary.html	java::core::functional-interface
