ID	Front	Back	Extra	Code	Source	Tags
lambda_expression-extra-001	Explain `What is a lambda?` deeply enough for review.	A lambda expression is a compact, anonymous function-like block of code that implements a functional interface.	It allows treating functionality as a method argument, or code as data. Why it matters: Modern Java heavily uses functional interfaces and streams, making lambdas essential for writing clean, readable, and concise code. Example: `(int x, int y) -> x + y` is a lambda implementing an interface like `BinaryOperator<Integer>`.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-extra-002	Explain `Lambda syntax` deeply enough for review.	Lambda syntax consists of parameters, the arrow token (->), and a body.	"Syntax variations:\n1. Zero parameters: `() -> System.out.println(""Hi"")`\n2. Single parameter (parentheses optional if no type declared): `x -> x * 2`\n3. Multiple parameters: `(x, y) -> x + y`\n4. Multi-line body (requires curly braces and explicit return if non-void): `(x, y) -> { int sum = x + y; return sum; }`"		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-extra-003	Explain `Functional interface` deeply enough for review.	A functional interface is an interface that contains exactly one abstract method.	It can contain any number of default or static methods, as well as public methods overridden from `java.lang.Object` (like `equals()` or `toString()`), but it must have exactly one abstract method to serve as the target type for a lambda. Examples include `Runnable` (with `run()`) and `Predicate` (with `test(T)`).		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-extra-004	Explain `@FunctionalInterface` deeply enough for review.	`@FunctionalInterface` is an optional annotation used to declare that an interface is intended to be a functional interface.	The Java compiler uses this annotation to verify that the annotated interface has exactly one abstract method. If it does not (e.g., zero or multiple abstract methods), a compile-time error is raised. This prevents accidental addition of abstract methods to functional interfaces in the future.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-extra-005	Explain `Method reference:` deeply enough for review.	A method reference is a compact, easy-to-read lambda expression shorthand for calling an existing method.	Syntax: `Receiver::methodName`. It is categorized into static method references (`Class::staticMethod`), bound instance method references (`object::instanceMethod`), unbound instance method references (`Class::instanceMethod`), and constructor references (`Class::new`).		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-extra-006	Explain `static method reference` deeply enough for review.	A static method reference points to a static method of a class using the syntax `ClassName::staticMethod`.	Example: `(x) -> Math.abs(x)` becomes `Math::abs`. The compiler matches the functional interface method parameters directly to the arguments of the static method. Example context: `Function<Double, Double> f = Math::abs;`		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-extra-007	Explain `instance method reference` deeply enough for review.	Instance method references can refer to an instance method of a specific object or an arbitrary object of a particular type.	1. Bound (specific object): `instance::methodName`. Example: `list::add` is equivalent to `x -> list.add(x)`.\n2. Unbound (arbitrary object of type): `ClassName::methodName`. Example: `String::length` is equivalent to `(String s) -> s.length()`. The first parameter of the functional interface is the target object on which the method is called.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-extra-008	Explain `constructor reference` deeply enough for review.	A constructor reference points to a class constructor using the syntax `ClassName::new`.	The compiler resolves this reference by matching the functional interface method's signature to one of the class's constructors. Example: `Supplier<List<String>> s = ArrayList::new;` resolves to `new ArrayList()`. `Function<Integer, List<String>> f = ArrayList::new;` resolves to `new ArrayList(initialCapacity)`.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-extra-009	Explain `Variable capture` deeply enough for review.	Variable capture is the capability of a lambda expression to access local variables from its enclosing scope.	Unlike instance/static variables, local variables captured by lambdas must be final or effectively final. The JVM captures a copy of the local variable because the lambda may execute after the enclosing method has returned and its stack frame is destroyed.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-extra-010	Explain `Effectively final` deeply enough for review.	An effectively final variable is a local variable whose value is never changed after it is initialized.	Even if the final keyword is omitted, a variable is effectively final if the compiler allows you to add 'final' without errors. Lambdas can only capture variables that are final or effectively final; attempting to reassign a captured variable inside or outside the lambda causes a compile-time error.		21-lambda-expression/theory/01-what-is-a-lambda-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
lambda_expression-extra-011	Explain `Lambda with Collection` deeply enough for review.	Java Collections use lambdas to perform inline operations like filtering, replacement, and iteration.	Key collection methods accepting functional interfaces:\n- `forEach(Consumer<T>)`: iterates elements\n- `removeIf(Predicate<T>)`: filters out elements\n- `replaceAll(UnaryOperator<T>)`: replaces all elements with a computed value\n- `Map.computeIfAbsent(K, Function)`: lazily computes map values.		21-lambda-expression/theory/02-lambda-with-collection-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/lambdaexpressions.html	java::core::lambda-expression
