ID	Front	Back	Extra	Code	Source	Tags
modern_java_concepts-extra-001	What is the main purpose of `var` in local variable declarations and what constraint applies to it?	`var` allows type inference for local variables, meaning the compiler infers the static type from the initializer. Constraint: It must have an initializer (e.g. `var x = 10;`), cannot be initialized to null directly, and cannot be used for fields or parameters.	"Reassigning to an incompatible type is a compilation error: `var num = 5; num = ""str""; // Error`"	var list = new ArrayList<String>(); // Inferred as ArrayList<String>	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-002	What is a `record` class, and what fields does the compiler automatically generate?	A `record` is a compact class format introduced in Java 16 to represent immutable data carriers. The compiler automatically generates private final fields, accessor methods, a canonical constructor, `equals()`, `hashCode()`, and `toString()`.	Accessors are called without `get` prefix: `user.name()` (not `user.getName()`).	public record User(String name, int age) {}	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-003	What is the purpose of a `sealed` class or interface in Java 17?	A `sealed` class or interface restricts which other classes or interfaces may extend or implement it using the `permits` clause.	Subclasses of sealed classes must be explicitly declared as `final`, `sealed`, or `non-sealed` (e.g., `public final class Circle extends Shape {}`).		40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-004	How does pattern matching for `instanceof` simplify type checking and casting?	It combines checking the type and declaring a target binding variable of that type in a single step, eliminating the need for explicit type casting inside the block.		if (obj instanceof String s) {\n    System.out.println(s.toLowerCase()); // s is automatically cast\n}	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-005	What are two key benefits of using switch expressions over standard switch statements?	1. They can return a value directly.\n2. They use the arrow syntax (`->`) which prevents fall-through, eliminating the need for explicit `break` statements.	Switch expressions must be exhaustive (usually needing a `default` case).	"int length = switch(str) { case ""a"" -> 1; default -> 0; };"	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-006	What is a Text Block in Java, and what is its opening delimiter requirement?	"A Text Block is a multi-line string literal delimited by three double quotes (`""""""`) that preserves layout formatting. Requirement: The opening `""""""` must be immediately followed by a newline."		"String json = """"""\n    { ""name"": ""Alice"" }\n    """""";"	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-007	What is the benefit of the JVM's Enhanced NullPointerException messages introduced in Java 14?	The JVM analyzes bytecode to precisely detail which variable or method call returned null, showing exactly what caused the `NullPointerException`.	"If `person.getAddress().getCity()` fails because `getAddress()` is null, the NPE message states: `""Cannot invoke Address.getCity() because the return value of Person.getAddress() is null""`."		40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-008	What are Virtual Threads, and what blocking pitfall must you avoid with them?	Virtual threads are lightweight JVM-managed threads designed for high-concurrency blocking I/O workloads. Pitfall: Operating blocking calls inside `synchronized` blocks pins the carrier thread, blocking others.	Mitigation: Replace `synchronized` blocks with `ReentrantLock` to prevent virtual threads from pinning their carrier thread. Do not pool virtual threads.		40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-009	What is Structured Concurrency in Java, and how does it organize concurrent subtasks?	Structured Concurrency treats related concurrent tasks running in different threads as a single unit of work (a transaction), coordinating their lifecycle, cancellation, and error handling.	Using `dTaskScope`:	try (var scope = new StructuredTaskScope.ShutdownOnFailure()) {\n    Subtask<String> task = scope.fork(() -> fetchData());\n    scope.join().throwIfFailed();\n}	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-010	How does pattern matching for `switch` enhance branch selection in Java 21?	It allows matching patterns on types directly inside case labels, and supports conditional guards using the `when` clause to filter type matches.		switch (obj) {\n    case Integer i -> i * 2;\n    case String s when s.length() > 5 -> s.toLowerCase();\n    default -> 0;\n}	40-modern-java-concepts/theory/01-var-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-011	What are Sequenced Collections in Java 21, and what uniform API do they offer?	Sequenced Collections represent collection types with a defined encounter order. They offer a uniform API to access/modify first and last elements, and get reverse-order views.	Key methods: `getFirst()`, `getLast()`, `addFirst()`, `addLast()`, and `reversed()` (returns a live O(1) view, not a copy).		40-modern-java-concepts/theory/02-sequenced-collections-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
modern_java_concepts-extra-012	"What is the current status of String Templates (e.g. `STR.""...""`) in modern Java releases?"	String Templates were introduced as a preview feature in Java 21 but were subsequently removed in later releases. They should not be used in stable code.	"Standard safe alternatives include string concatenation, `String.format()`, or the `formatted()` instance method (e.g. `""Hello %s"".formatted(name)`)."		40-modern-java-concepts/theory/02-sequenced-collections-concepts.md | https://dev.java/learn/	java::core::modern-java-concepts
