ID	Front	Back	Code	Source	Tags
inner_nested_class-basic-001	What is a nested class in Java?	A nested class is a class defined within another enclosing class.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-002	What are the two main categories of nested classes in Java?	Static nested classes (declared with static) and inner classes (non-static nested classes).		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-003	What is a static nested class?	A nested class declared with the static modifier; it is not bound to any instance of the outer class.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-004	What is the main restriction on member access in a static nested class?	It cannot access instance variables or methods of the enclosing class directly; it must instantiate the enclosing class first.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-005	What is an inner class (non-static nested class) in Java?	A nested class declared without static, meaning each instance is implicitly associated with an instance of the outer class.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-006	How does an inner class instance maintain its connection to the outer class instance?	It retains an implicit reference to the outer instance, accessible via Outer.this, which prevents the outer instance from being garbage collected.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-007	What is a local inner class?	A class defined within a block of code, such as a method body, whose scope is restricted to that block.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-008	What is the key restriction on method-local variables accessed by a local inner class?	The local variables must be final or effectively final (their values must not change after initialization).		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-009	What is an anonymous inner class?	An inner class without a name that is declared and instantiated at the same time in a single expression.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-010	What is the main structural limitation of an anonymous inner class?	It cannot define a constructor because it has no name (though it can use instance initializers).		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-011	How can an inner class reference the current instance of its enclosing outer class?	By using the explicit syntax: OuterClassName.this (e.g., Outer.this).		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-012	What is an effectively final variable in Java?	A local variable whose value is never changed after initialization, allowing it to be accessed inside local or anonymous classes.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-013	Give three common use cases of anonymous classes.	Implementing event handlers, creating new threads (Runnable), and defining custom sorting orders (Comparator).		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-014	Prior to Java 16, could non-static inner classes declare static members?	No, they could not define static members unless they were compile-time constant variables (static final).		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-015	How does a lambda expression differ from an anonymous class regarding the this reference?	"In an anonymous class, ""this"" refers to the anonymous class instance. In a lambda, ""this"" refers to the enclosing outer class instance (lexical scope)."		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-016	How do lambdas differ from anonymous classes in terms of generated class files and loading overhead?	Anonymous classes generate a separate .class file at compile time. Lambdas use the invokedynamic opcode to generate the call site dynamically at runtime.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class
inner_nested_class-basic-017	Why does the Java compiler generate synthetic accessor methods (like access$000) for nested classes accessing private members of their enclosing class?	Because the JVM does not natively understand nesting; it compiles Outer and Outer$Inner into separate class files. To allow private access across these boundaries, the compiler generates package-private static helper methods inside the target class.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-4.html#jvms-4.7.6	java::core::inner-nested-class
inner_nested_class-basic-018	Why must local and anonymous classes only access method-local variables that are final or effectively final?	Because local variables live on the Stack (destroyed when the method returns), whereas class instances live on the Heap and may survive longer. The compiler copies the variables into hidden fields; making them final prevents stack/heap value inconsistency.		no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-8.html#jls-8.1.3	java::core::inner-nested-class
