ID	Text	Extra	Code	Source	Tags
utility_apis-cloze-001	The standard Math class methods do not check for overflow, but Java 8 introduced {{c1::Math.addExact()}} to throw an exception on overflow.	Exact math operations prevent silent numeric wrapping bugs.		no39_utility_apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Math.html#addExact(int,int)	java::core::utility-apis
utility_apis-cloze-002	To avoid thread contention when generating random numbers in concurrent applications, use {{c1::ThreadLocalRandom.current()::ThreadLocalRandom}}.	It keeps a separate seed per thread to avoid CAS loop overhead.		no39_utility_apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/concurrent/ThreadLocalRandom.html	java::core::utility-apis
utility_apis-cloze-003	For security-sensitive operations such as password generation, use {{c1::SecureRandom}} instead of java.util.Random.	SecureRandom uses cryptographically strong CSPRNG algorithms.		no39_utility_apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/SecureRandom.html	java::core::utility-apis
utility_apis-cloze-004	java.util.Random is built on the {{c1::Linear Congruential Generator::LCG}} algorithm, which is predictable and not cryptographically secure.	LCG is mathematically simple and deterministic if the seed is known.		no39_utility_apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Random.html	java::core::utility-apis
utility_apis-cloze-005	In BigDecimal, the internal value is represented by an unscaledValue and a {{c1::scale}}, which is a 32-bit integer representing the power of ten.	Scale controls the decimal point placement.		no39_utility_apis/theory/01-math-concepts.md	java::core::utility-apis
utility_apis-cloze-006	A BigDecimal value is mathematically calculated as {{c1::unscaledValue * 10^-scale}}.	Formula: unscaledValue * 10^(-scale).		no39_utility_apis/theory/01-math-concepts.md	java::core::utility-apis
utility_apis-cloze-007	Using the constructor {{c1::new BigDecimal(0.1)}} is a common mistake because double literals introduce binary representation noise.	0.1 double is imprecise under IEEE 754.		no39_utility_apis/theory/01-math-concepts.md	java::core::utility-apis
utility_apis-cloze-008	To safely initialize a BigDecimal with a decimal value, use the constructor taking a {{c1::String}} or the static method valueOf().	Using String or valueOf() ensures the exact decimal value is represented.		no39_utility_apis/theory/01-math-concepts.md	java::core::utility-apis
utility_apis-cloze-009	The class java.lang.Runtime is implemented using the {{c1::Singleton}} design pattern, and its instance is accessed via getRuntime().	Only one Runtime instance represents the JVM.		no39_utility_apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Runtime.html	java::core::utility-apis
utility_apis-cloze-010	The method {{c1::System.exit()}} is a convenience wrapper that delegates directly to Runtime.getRuntime().exit().	It provides static access to JVM shutdown.		no39_utility_apis/theory/01-math-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/System.html#exit(int)	java::core::utility-apis
utility_apis-cloze-011	Spawning an external process without consuming its stdout or stderr stream can cause the process to {{c1::hang::block indefinitely}} because the OS buffer fills up.	Use inheritIO() or read from process.getInputStream().		no39_utility_apis/theory/01-math-concepts.md	java::core::utility-apis
utility_apis-cloze-012	Direct Map manipulation on java.util.Properties is a violation of the {{c1::Liskov Substitution Principle::LSP}}.	Properties inherits Hashtable<Object,Object> instead of composing it.		no39_utility_apis/theory/02-properties-concepts.md	java::core::utility-apis
utility_apis-cloze-013	Calling store() on a Properties object containing a non-String value throws a runtime {{c1::ClassCastException}}.	The serialization logic expects only String keys and values.		no39_utility_apis/theory/02-properties-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Properties.html#store(java.io.Writer,java.lang.String)	java::core::utility-apis
utility_apis-cloze-014	The nextLine() pitfall in Scanner occurs because token-based methods like nextInt() do not consume the trailing {{c1::newline character::\n}}.	The subsequent nextLine() immediately consumes the leftover \n.		no39_utility_apis/theory/02-properties-concepts.md	java::core::utility-apis
utility_apis-cloze-015	If a base resource bundle properties file is missing from the classpath, the JVM throws a runtime {{c1::MissingResourceException}}.	Always provide a fallback base translation file.		no39_utility_apis/theory/02-properties-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/ResourceBundle.html	java::core::utility-apis
utility_apis-cloze-016	Creating a locale using new Locale("en_US") is a bug because the constructor expects the language and country as {{c1::separate arguments}}.	Use Locale.forLanguageTag("en-US") or separate constructor arguments.		no39_utility_apis/theory/02-properties-concepts.md	java::core::utility-apis

