ID	Front	Back	Extra	Code	Source	Tags
comparable_comparator-extra-001	Explain `Comparable` deeply enough for review.	Comparable defines natural ordering inside the class being compared.	It requires implementing Comparable<T> and overriding compareTo(T o). Objects of this type can then be sorted automatically via Collections.sort(list) or Arrays.sort(arr), and function as keys in TreeSet/TreeMap. A common mistake is sorting non-Comparable elements, which results in ClassCastException.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-extra-002	Explain `compareTo` deeply enough for review.	compareTo returns an integer comparing this object to a target parameter.	"Contract: returns <0 if this < other, 0 if this == other, >0 if this > other. Must throw NullPointerException if argument is null. A major gotcha is the integer subtraction bug: ""this.id - other.id"" can overflow; always use ""Integer.compare(this.id, other.id)""."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-extra-003	What confusion should you avoid with `compareTo`?	Do not assume `x.compareTo(y) == 0` behaves identically to `x.equals(y)` by default, or that subtraction is safe.	"Although recommended, consistency between compareTo and equals is not strictly enforced. For example, BigDecimal(""1.0"").equals(BigDecimal(""1.00"")) is false, but compareTo returns 0. If placed in a TreeSet, they are treated as duplicates. Also, subtraction can cause integer overflow."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-extra-004	Explain `Comparator` deeply enough for review.	Comparator defines external custom ordering for objects.	It is a functional interface with the single abstract method compare(T o1, T o2). It allows defining multiple custom sorting strategies without modifying the source class, or sorting third-party classes that do not implement Comparable.		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-extra-005	Explain `compare` deeply enough for review.	compare evaluates two objects o1 and o2, returning an integer indicating their order.	"Returns <0 if o1 < o2, 0 if o1 == o2, >0 if o1 > o2. It must be antisymmetric (signum(compare(x, y)) == -signum(compare(y, x))) and transitive. Violations throw IllegalArgumentException: ""Comparison method violates its general contract"" in TimSort (Java 7+)."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-extra-006	Explain `Natural ordering` deeply enough for review.	Natural ordering is the default sort order defined inside a class by implementing Comparable.	"Standard types have pre-defined natural ordering: numbers sort ascending, Strings lexicographically (case-sensitive, e.g., ""Zebra"" < ""apple""). Trying to sort a list using natural order when elements do not implement Comparable results in a ClassCastException or compile error."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-extra-007	Explain `Custom ordering` deeply enough for review.	Custom ordering is an alternative sort order defined externally using a Comparator.	Used when sorting objects in sequences different from natural ordering (e.g. sorting strings case-insensitively or by length). Custom comparators can be passed to List.sort(comparator) or Collections.sort(list, comparator).		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-extra-008	Explain `Sort List object` deeply enough for review.	Sorting lists can be done via List.sort(comparator) or Collections.sort(list).	"Java 8 introduced List.sort() which is preferred. To sort naturally with List.sort(), pass ""null"" or ""Comparator.naturalOrder()"". Attempting to sort immutable lists (like List.of()) throws UnsupportedOperationException. Arrays.asList() is mutable but fixed-size, so sorting is allowed."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-extra-009	Explain `Sort by multiple criteria` deeply enough for review.	Sorting by multiple criteria chains comparators to resolve equality ties.	"Java 8 provides static and default methods to chain comparisons. E.g. ""Comparator.comparing(Employee::getDept).thenComparingDouble(Employee::getSalary)"". If the first field is equal (returns 0), the second comparator decides the order."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-extra-010	Explain `Comparator.comparing` deeply enough for review.	Comparator.comparing is a static factory method that creates a Comparator from a key extractor function.	"Example: ""Comparator.comparing(User::getName)"". There are primitive-specialized versions like ""comparingInt"", ""comparingLong"", and ""comparingDouble"" that avoid autoboxing performance overhead. Throws NPE if the extracted key is null."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
comparable_comparator-extra-011	Explain `thenComparing` deeply enough for review.	thenComparing is a default method in Comparator to specify a secondary comparator when the primary one returns 0.	"Chains comparators: ""Comparator.comparing(User::getLastName).thenComparing(User::getFirstName)"". If two users have the same last name, the comparison falls back to first name. Overloaded to take custom key extractors."		20-comparable-comparator/theory/01-comparable-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/Comparable.html	java::core::comparable-comparator
