ID	Question	Code	Answer	Explanation	Source	Tags
generics-cq-001	Does this code compile? If not, why?	class Box<T> {\n    static T instance;\n}	No. Compile error: cannot make a static reference to the type parameter T.	Static members belong to the class definition and are shared across all instances. Because `Box<String>` and `Box<Integer>` share the same class metadata, a static field of type `T` is ambiguous.	no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics java::interview
generics-cq-002	What is the outcome of running this code?	List<String> names = new ArrayList<>();\nnames.add("Alice");\nList raw = names;\nraw.add(42);\nString s = names.get(1);	Compiles with unchecked warning. Throws ClassCastException at runtime on names.get(1).	Assigning to the raw type `raw` disables type safety checks, allowing `42` to compile. When `names.get(1)` is executed, the JVM attempts to perform an implicit cast to `String`, which fails for an `Integer`.	no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/rawTypes.html	java::core::generics java::interview
generics-cq-003	Will this class declaration compile? If not, why?	void process(List<String> list) {}\nvoid process(List<Integer> list) {}	No. Compile error: both methods have the same type erasure process(List).	During compilation, generic type arguments are erased. In bytecode, both signatures become `process(List)`, which causes a duplicate method signature collision in the class file.	no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics java::interview
generics-cq-004	Identify which lines compile and which line fails.	List<? extends Number> nums = new ArrayList<Integer>();\nnums.add(1);\nnums.add(null);\nNumber n = nums.get(0);	`nums.add(1)` fails to compile. `nums.add(null)` and `nums.get(0)` compile.	`? extends Number` is an upper-bounded wildcard (producer). The compiler cannot guarantee if the list is a `List<Double>` or `List<Integer>`, so it blocks insertions of typed elements (except `null`). Reads are safe because elements are guaranteed to be at least `Number`.	no18_generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/upperBounded.html	java::core::generics java::interview
generics-cq-005	Identify which lines compile and which line fails.	List<? super Integer> list = new ArrayList<Number>();\nlist.add(10);\nObject o = list.get(0);\nInteger i = list.get(0);	`Integer i = list.get(0)` fails to compile. The other lines compile successfully.	`? super Integer` is a lower-bounded wildcard (consumer). It is safe to add `Integer` elements, but reading elements only guarantees the upper bound `Object`, requiring an explicit cast to assign to `Integer`.	no18_generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/lowerBounded.html	java::core::generics java::interview
generics-cq-006	Does this generic array creation compile? If not, what is the work-around?	class Container<T> {\n    T[] data = new T[10];\n}	No. Compile error: cannot create generic array. Work-around is casting: `(T[]) new Object[10]`.	Arrays are reified and enforce their component type at runtime, but generics are erased to `Object` or their bounds. The compiler blocks generic array instantiation to maintain runtime type safety.	no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics java::interview
generics-cq-007	Does this subtyping assignment compile? If not, why?	List<Integer> ints = new ArrayList<>();\nList<Number> nums = ints;	No. Compile error: List<Integer> cannot be converted to List<Number>.	Java generics are invariant, meaning that although `Integer` is a subtype of `Number`, `List<Integer>` is not a subtype of `List<Number>`. This prevents type safety violations like inserting `Double` values into `ints` via the `nums` reference.	no18_generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/subtyping.html	java::core::generics java::interview
generics-cq-008	Will the check inside this condition compile? If not, how do you fix it?	List<String> list = new ArrayList<>();\nif (list instanceof ArrayList<String>) {}	No. Compile error: illegal generic type in instanceof. Fix by using wildcard: `instanceof ArrayList<?>`.	Because generic type parameters are erased at runtime, the JVM cannot verify if the list is parameterized specifically with `String`. Using `ArrayList<?>` performs a valid wildcard instance check.	no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics java::interview
generics-cq-009	What is the compilation error on this class definition?	class Calculator<T> {\n    public double getValue(T obj) {\n        return obj.doubleValue();\n    }\n}	Compile error: cannot find symbol doubleValue() on type T.	Because the type parameter `T` is unbounded, it erases to `Object` during compilation. The compiler does not know `obj` is a `Number` and cannot call `doubleValue()`. The fix is `<T extends Number>`.	no18_generics/theory/01-generic-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/bounded.html	java::core::generics
generics-cq-010	Does this compilation error occur? If not, what does the code print?	List<Integer> list = new ArrayList<>();\nlist.add(123);\nObject obj = list;\nList rawList = (List) obj;\nSystem.out.println(rawList.get(0).getClass().getSimpleName());	It compiles and prints "Integer".	Type erasure removes generic arguments from classes, but the actual objects stored inside the heap-allocated collection still retain their runtime type (`Integer`), so calling `getClass()` on the retrieved element yields `Integer`.	no18_generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/erasure.html	java::core::generics
generics-cq-011	Will the compiler allow compiling this primitive parameterization? If not, how do you write it?	List<int> list = new ArrayList<>();	No. Compile error: unexpected type found: int, required: reference. Write: `List<Integer> list = new ArrayList<>();`.	Generics erase to `Object` reference types. Since primitives do not inherit from `Object` and have different binary sizes, they cannot reside in reference slots, requiring wrapper classes and autoboxing instead.	no18_generics/theory/03-raw-type-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/restrictions.html	java::core::generics
generics-cq-012	Does this PECS copy implementation compile? If not, why?	public static <T> void copy(List<? extends T> dest, List<? super T> src) {\n    for (T item : src) {\n        dest.add(item);\n    }\n}	No. Compile error: cannot read from src and cannot write to dest.	The PECS wildcards are reversed. `dest` is a consumer and should be `List<? super T>` to allow writes. `src` is a producer and should be `List<? extends T>` to allow reading elements.	no18_generics/theory/02-topic-concepts.md | https://docs.oracle.com/javase/tutorial/java/generics/wildcardGuidelines.html	java::core::generics java::interview
