ID	Question	Code	Answer	Explanation	Source	Tags
design-principles-code-001	Does this design follow the Single Responsibility Principle (SRP)? If not, why?	public class UserManager {\n    public void registerUser(String username) {\n        // registers user\n    }\n    public void sendEmail(String email) {\n        // email formatting and sending logic\n    }\n}	No, because UserManager has multiple reasons to change (user registration logic and email sending APIs).	Combining business logic and notification transport in a single class violates SRP, reducing cohesion and coupling the two features.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-002	How can this switch block be refactored to comply with the Open/Closed Principle (OCP)?	public double calculateArea(Object shape) {\n    if (shape instanceof Circle) {\n        return Math.PI * r * r;\n    } else if (shape instanceof Square) {\n        return s * s;\n    }\n    return 0;\n}	Define a Shape interface with a double getArea() method, and have Circle and Square implement it.	Using a polymorphic method call allows adding new shapes by creating new classes without modifying the calculateArea method.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-003	Explain why this inheritance structure violates the Liskov Substitution Principle (LSP).	public class Bird {\n    public void fly() {\n        System.out.println("Flying");\n    }\n}\npublic class Ostrich extends Bird {\n    @Override\n    public void fly() {\n        throw new UnsupportedOperationException("Ostrich cannot fly");\n    }\n}	Ostrich violates LSP by throwing an UnsupportedOperationException for an inherited fly() method that is valid for Bird.	Clients holding a Bird reference expecting fly() to work will crash at runtime when encountering an Ostrich instance.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-004	What design principle does this class structure violate?	public interface MultiWorker {\n    void code();\n    void cook();\n}\npublic class Developer implements MultiWorker {\n    public void code() { /* coding */ }\n    public void cook() {\n        throw new UnsupportedOperationException();\n    }\n}	Interface Segregation Principle (ISP) and Liskov Substitution Principle (LSP).	Developer is forced to implement cook() which it doesn't need, violating ISP, and throwing the exception violates LSP.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-005	Does this OrderService follow the Dependency Inversion Principle (DIP)? Why or why not?	public class OrderService {\n    private final MySqlDatabase db = new MySqlDatabase();\n    public void saveOrder(String id) {\n        db.insert(id);\n    }\n}	No, because OrderService directly instantiates and depends on a concrete low-level class (MySqlDatabase) rather than an abstraction.	Hardcoding concrete classes limits flexibility, prevents testing with mock implementations, and tightly couples the high-level service to database details.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-006	Refactor this class to use Dependency Injection instead of direct instantiation.	public class Car {\n    private final Engine engine = new Engine();\n    public void drive() {\n        engine.start();\n    }\n}	public class Car {\n    private final Engine engine;\n    public Car(Engine engine) {\n        this.engine = engine;\n    }\n    public void drive() {\n        engine.start();\n    }\n}	Passing the Engine instance through the constructor decouples object instantiation from behavior and allows passing mock Engines.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-007	What defensive programming mechanism should be added to this constructor to prevent NullPointerException?	public class User {\n    private final String name;\n    public User(String name) {\n        this.name = name;\n    }\n}	Use Objects.requireNonNull(name, "Name cannot be null") to fail-fast.	Checking parameter preconditions early avoids storing an invalid null state that might crash the program at a later time.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-008	How should this method be refactored using clean code early-return patterns to avoid nesting?	public void process(User user) {\n    if (user != null) {\n        if (user.isActive()) {\n            System.out.println("Processing...");\n        }\n    }\n}	public void process(User user) {\n    if (user == null || !user.isActive()) {\n        return;\n    }\n    System.out.println("Processing...");\n}	Inverting the conditions and returning early flattens the nested structures, making the logic much easier to read.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-009	What is the output of this main program when implementing LSP-compliant vs LSP-violating classes?	Rectangle r = new Square();\nr.setWidth(4);\nr.setHeight(5);\nSystem.out.println(r.getArea());	Output: 25. Square updates both width and height to 5 on setHeight(5), violating Rectangle's contract of independent resizing.	For a standard Rectangle, setWidth(4) and setHeight(5) should produce an area of 20. Square changes width to 5, resulting in 25 (area = 5 * 5).	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-010	Why does this code block violate the DRY principle, and how would you fix it?	public void saveClient(Client c) {\n    if (c == null) throw new IllegalArgumentException("Null input");\n    db.save(c);\n}\npublic void saveProduct(Product p) {\n    if (p == null) throw new IllegalArgumentException("Null input");\n    db.save(p);\n}	It duplicates the null validation check. It can be fixed by extracting a helper validation utility or using Objects.requireNonNull.	Replicating validation boilerplate across multiple methods increases code maintenance points; centralized validation is preferred.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-011	Does this method follow the KISS principle? How would you simplify it?	public boolean isAdult(int age) {\n    if (age >= 18) {\n        return true;\n    } else {\n        return false;\n    }\n}	No, it is verbose. It should be simplified to: return age >= 18;	Simplicity is key in clean code; returning boolean expressions directly is clearer than wrapping them in if-else statements.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-code-012	Why does this class design violate the Dependency Inversion Principle?	public class UserManager {\n    private Database db;\n    public UserManager() {\n        this.db = DatabaseFactory.getMySQLDatabase();\n    }\n}	Because UserManager queries a concrete MySQLDatabase instance via a factory inside its constructor, coupling compile-time type-binding.	Even with a factory, the class remains tightly coupled to MySQLDatabase behavior. Dependencies should be injected via constructor parameters.	no42_design_principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
