ID	Front	Back	Extra	Code	Source	Tags
build_compile_run-extra-001	What is the main purpose of `javac` and what is its basic command format?	`javac` is the Java compiler that translates human-readable source code (`.java` files) into platform-independent bytecode (`.class` files). Command format: `javac [options] [sourcefiles]`	Example: `javac -d bin src/com/example/App.java` compiles the source file and outputs the compiled class to the `bin/` directory.		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-extra-002	What common syntax/naming mistakes should you avoid when using the `javac` compiler command?	1. Do not pass the `.class` extension (e.g. `javac App.class` is wrong; use `javac App.java`).\n2. Do not omit the `.java` extension entirely (e.g. `javac App` is wrong and yields an annotation processing error).	Compilation error	$ javac App\nerror: Class names, 'App', are only accepted if annotation processing is explicitly requested	38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-extra-003	What is the purpose of the `java` CLI command and how does it execute single-file source code (Java 11+)?	The `java` command launches a JVM, loads a specified class, and executes its `main` method. Since Java 11, running `java App.java` directly compiles and executes the file in-memory without producing a physical `.class` file on disk.	Command examples:\n`java com.example.App` (runs class from classpath)\n`java App.java` (directly compiles and runs in memory)		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-extra-004	What is the structure and purpose of a `jar` (Java Archive) file?	A JAR file is a ZIP-formatted archive that aggregates multiple `.class` files, resource files, and metadata (like a manifest) into a single file for easy distribution.	You can view the contents of a JAR file using:\n`jar -tf app.jar`\nOr extract it using:\n`jar -xf app.jar`\nSince it is a ZIP archive, you can also rename it to `.zip` to extract it.		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-extra-005	What is the CLI command to create a basic JAR archive, and what do the flags `-c`, `-f`, and `-C` stand for?	Command: `jar -cf archive-name.jar -C class-dir .`\nFlags:\n`-c`: Create a new archive\n`-f`: Specify the archive file name\n`-C`: Change to the specified directory to add files, ensuring correct package subdirectories are preserved.	"Example:\n`jar -cvf app.jar -C bin/ .`\nPackages everything inside the `bin/` directory without including the ""bin/"" prefix inside the JAR paths."		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-extra-006	"What makes a JAR file ""executable"" and how do you run it?"	An executable JAR contains a Manifest file (`META-INF/MANIFEST.MF`) containing a `Main-Class` attribute defining the entry-point class with a `main` method. It is executed using: `java -jar app.jar`	Attempting to run a standard library JAR with `java -jar` yields:\n`no main manifest attribute, in library.jar`		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-extra-007	What is the `Classpath` and how do you specify it on different operating systems?	The Classpath tells the Java compiler (`javac`) and runtime (`java`) where to look for user-defined classes and libraries. Specify it using `-cp` or `--class-path` with `:` as the path separator on Linux/macOS and `;` on Windows.	Linux/macOS `java -cp bin:libs/gson.jar com..App`\nWindows	java -cp bin;libs\gson.jar com.example.App	38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-extra-008	What is the purpose of the JAR manifest file and where is it located?	The Manifest file (`MANIFEST.MF`) is a text file containing key-value metadata configuring the JAR. It is located at `META-INF/MANIFEST.MF` inside the archive.	Key attributes:\nNote: The file must end with a trailing blank newline, otherwise attributes may be ignored!	Main-Class: com.example.MainApp\nClass-Path: libs/gson.jar	38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-extra-009	What is Apache Maven and what is its configuration file?	Apache Maven is a declarative project management and build automation tool that organizes builds, dependencies, and lifecycles based on a Project Object Model configured in `pom.xml`.	Core commands:\n`mvn clean compile` (compiles source files)\n`mvn clean test` (runs tests)\n`mvn clean package` (packages JAR)		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-extra-010	What is Gradle and how does its configuration differ from Maven?	Gradle is a flexible build automation tool that uses Groovy or Kotlin DSL (Domain Specific Language) scripts (`build.gradle` or `build.gradle.kts`) instead of XML, allowing programmable and highly customizable build tasks.	Command to build a Gradle project:\n`gradle clean build`\nGradle resolves dependencies transitively and caches them similarly to Maven.		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
