ID	Text	Extra	Code	Source	Tags
annotation-cloze-001	Annotations are declared in Java using the {{c1::@interface}} keyword.	They implicitly extend the java.lang.annotation.Annotation interface.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-002	By default, custom annotations are stored with a retention policy of {{c1::RetentionPolicy.CLASS}}.	This means they are recorded in the .class file but not loaded by the JVM at runtime, making them invisible to reflection checks.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-003	To make an annotation accessible via Java Reflection at runtime, you must annotate it with {{c1::@Retention(RetentionPolicy.RUNTIME)}}.	This is required for runtime configuration frameworks (e.g. Spring, Jackson).		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-004	The {{c1::@Target}} meta-annotation defines which program elements (methods, fields, types, etc.) the custom annotation can be applied to.	If @Target is omitted, the annotation can be applied to any declaration context (but not type use contexts).		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-005	The meta-annotation {{c1::@Inherited}} allows subclasses to inherit class-level annotations from their superclass.	Note that @Inherited does NOT work on interfaces or methods; only superclass annotations are inherited.		17-annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-006	The {{c1::@Override}} annotation instructs the compiler to verify that the method signature matches a method from a superclass or interface.	This prevents signature mismatch bugs. It causes a compiler error if the parent method is private, static, or if the parameter types differ.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-007	Using a deprecated element triggers a compiler warning, but if it is marked with {{c1::forRemoval = true}}, the compiler triggers a terminal deprecation warning.	"Example: @Deprecated(since = ""9"", forRemoval = true). This alerts developers that the API will be deleted in a future version."		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-008	"The {{c1::@SuppressWarnings}} annotation accepts a String array containing warning types (e.g. ""deprecation"", ""unchecked"") to ignore."	It suppresses warnings for the annotated element and all nested declarations.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-009	An interface marked with {{c1::@FunctionalInterface}} must have exactly {{c2::one}} abstract method.	Default methods, static methods, and public methods overriding Object methods do not count against this limit.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-010	To prevent heap pollution warnings on generic varargs methods, developers can use the {{c1::@SafeVarargs}} annotation.	This is only legal on static, final, or private methods. The programmer promises that the method only reads from the varargs array.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-011	To allow multiple instances of the same annotation on a single element, the annotation type must be marked with {{c1::@Repeatable}}.	@Repeatable requires specifying a container annotation type which holds an array of the repeatable annotation.		17-annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-012	The meta-annotation {{c1::@Documented}} ensures the custom annotation is visible in the generated Javadoc.	By default, annotations are omitted from Javadoc. @Documented ensures API clients see the annotations applied to classes or methods.		17-annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-013	Annotation elements are restricted to primitives, String, Class, enums, annotations, or {{c1::one-dimensional arrays}} of these.	Wrapper objects (like Integer) and multi-dimensional arrays (like String[][]) are illegal element types.		17-annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-014	If multiple repeatable annotations are present on an element, calling reflection's getAnnotation() for that type returns {{c1::null}}.	This happens because the compiler wraps them in a container annotation. You must query the container class or use getAnnotationsByType() instead.		17-annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-015	The reflection interface {{c1::AnnotatedElement}} is implemented by Class, Method, and Field, providing methods like isAnnotationPresent().	This allows runtime engines to dynamically inspect annotations and configure behavior accordingly.		17-annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-016	In reflection, calling {{c1::getDeclaredAnnotations()}} returns only annotations directly declared on the element, ignoring inherited ones.	In contrast, getAnnotations() returns all annotations present on the element, including inherited ones.		17-annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-cloze-017	Under the hood, runtime annotations returned by reflection are implemented as JVM-synthesized {{c1::dynamic proxy classes}}.	These classes delegate element accessors to an AnnotationInvocationHandler mapping to constant-pool metadata.		17-annotation/theory/02-documented-concepts.md | https://docs.oracle.com/javase/8/docs/api/java/lang/reflect/Proxy.html	java::core::annotation
annotation-cloze-018	If `@Target` is omitted, the custom annotation can be applied to {{c1::any declaration context}}.	This includes classes, methods, fields, parameters, constructors, local variables, etc., but excludes TYPE_USE contexts.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/specs/jls/se21/html/jls-9.html#jls-9.6.4.1	java::core::annotation
