ID	Question	Code	Answer	Explanation	Source	Tags
reflection-code-001	What does this retrieve?	"Method m = User.class.getDeclaredMethod(""getName"");"	A Method object representing `getName`	Reflection represents methods as metadata objects that can be inspected or invoked.	31-reflection/README.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-002	What should you explain when you see `What is Reflection?` in code or an interview prompt?	// Concept: What is Reflection?\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Reflection lets code inspect and manipulate classes, fields, methods, and constructors at runtime.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/01-what-is-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-003	What should you explain when you see `Class<?>`in code or an interview prompt?	// Concept: Class<?>\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Class<?> is a specific concept in Reflection; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/01-what-is-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-004	What should you explain when you see `Get class information`in code or an interview prompt?	// Concept: Get class information\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Get class information is a specific concept in Reflection; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/01-what-is-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-005	What should you explain when you see `Get field`in code or an interview prompt?	// Concept: Get field\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Get field is a specific concept in Reflection; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/01-what-is-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-006	What should you explain when you see `Get method`in code or an interview prompt?	// Concept: Get method\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Get method is a specific concept in Reflection; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/01-what-is-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-007	What should you explain when you see `Get constructor`in code or an interview prompt?	// Concept: Get constructor\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Get constructor is a specific concept in Reflection; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/01-what-is-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-008	What should you explain when you see `Invoke method using reflection` in code or an interview prompt?	// Concept: Invoke method using reflection\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Reflection lets code inspect and manipulate classes, fields, methods, and constructors at runtime.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/01-what-is-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-009	What should you explain when you see `Create object using reflection` in code or an interview prompt?	// Concept: Create object using reflection\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Reflection lets code inspect and manipulate classes, fields, methods, and constructors at runtime.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/01-what-is-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-010	What should you explain when you see `Access private field/method`in code or an interview prompt?	// Concept: Access private field/method\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Access private field/method is a specific concept in Reflection; learn its Java rule, valid use cases, and failure mode rather than only its name.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/01-what-is-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-011	What should you explain when you see `Annotation + reflection` in code or an interview prompt?	// Concept: Annotation + reflection\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	An annotation attaches metadata to program elements such as classes, methods, or fields.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/01-what-is-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-012	What should you explain when you see `Advantages and disadvantages of reflection` in code or an interview prompt?	// Concept: Advantages and disadvantages of reflection\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Reflection lets code inspect and manipulate classes, fields, methods, and constructors at runtime.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/02-advantages-and-disadvantages-of-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
reflection-code-013	What should you explain when you see `Reflection in frameworks such as Spring` in code or an interview prompt?	// Concept: Reflection in frameworks such as Spring\n// Review task: identify the rule, API, or mistake connected to this concept.\n// Topic: Reflection	Reflection lets code inspect and manipulate classes, fields, methods, and constructors at runtime.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	31-reflection/theory/02-advantages-and-disadvantages-of-reflection-concepts.md | https://docs.oracle.com/javase/tutorial/reflect/	java::core::reflection java::code
