ID	Front	Back	Code	Source	Tags
security-basic-001	What is the Java class used to compute a SHA-256 hash of data?	`java.security.MessageDigest` — obtained via `MessageDigest.getInstance("SHA-256")`.	MessageDigest digest = MessageDigest.getInstance("SHA-256");\nbyte[] hash = digest.digest("input".getBytes(StandardCharsets.UTF_8));	no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/MessageDigest.html	java::core::security
security-basic-002	Why is SHA-256 considered a one-way function?	Its compression function uses nonlinear bit operations (XOR, rotations, modular additions) that are trivially computed forward but mathematically impossible to invert without brute force.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/MessageDigest.html	java::core::security java::interview
security-basic-003	What is the difference between SHA-256 and MD5 in terms of security?	MD5 has known collision vulnerabilities — two different inputs have been proven to produce the same hash. SHA-256 has no known practical collisions. Use SHA-256 (or stronger) for any security purpose.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security java::interview
security-basic-004	Is Base64 encryption? What is it?	No. Base64 is a binary-to-text encoding that represents bytes as printable ASCII characters. It provides zero confidentiality — anyone can decode it trivially.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Base64.html	java::core::security java::interview
security-basic-005	What Java class provides Base64 encoding and decoding?	`java.util.Base64` — introduced in Java 8.	String encoded = Base64.getEncoder().encodeToString(bytes);\nbyte[] decoded = Base64.getDecoder().decode(encoded);	no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Base64.html	java::core::security
security-basic-006	What is the risk of using `java.util.Random` for generating cryptographic keys or IVs?	`Random` is a deterministic Linear Congruential Generator (LCG). An attacker who observes its output can mathematically reconstruct the seed and predict all future values, compromising any key derived from it.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/SecureRandom.html	java::core::security java::interview
security-basic-007	What class should be used instead of `Random` for cryptographic random values?	`java.security.SecureRandom` — backed by the OS entropy source (`/dev/urandom` on Linux, `BCryptGenRandom` on Windows), producing cryptographically unpredictable values.	byte[] iv = new byte[16];\nnew SecureRandom().nextBytes(iv);	no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/security/SecureRandom.html	java::core::security
security-basic-008	What Java class implements AES symmetric encryption?	`javax.crypto.Cipher` — configured with a transformation string like `"AES/CBC/PKCS5Padding"`.	Cipher cipher = Cipher.getInstance("AES/CBC/PKCS5Padding");\ncipher.init(Cipher.ENCRYPT_MODE, secretKey, ivSpec);	no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security
security-basic-009	What is the difference between hashing and encryption?	Hashing is one-way and irreversible — produces a fixed digest. Encryption is reversible using a key — requires the same key to decrypt. Hashing is for integrity and password storage; encryption is for confidentiality.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security java::interview
security-basic-010	Why should passwords be stored as `char[]` instead of `String`?	`String` is immutable and may remain in JVM heap memory until GC runs. A `char[]` can be explicitly zeroed with `Arrays.fill(arr, '\0')` immediately after use, eliminating the password from memory.		no36_security_basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security java::interview
