ID	Text	Extra	Source	Tags
classloader-cloze-001	In ClassLoader, {{c1::Class loading process}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-cloze-002	In ClassLoader, {{c1::Bootstrap ClassLoader}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-cloze-003	In ClassLoader, {{c1::Platform/Extension ClassLoader}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-cloze-004	In ClassLoader, {{c1::Application ClassLoader}} is a concept you should define, apply, and connect to common mistakes.	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-cloze-005	In ClassLoader, {{c1::Parent delegation model}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-cloze-006	In ClassLoader, {{c1::Dynamic class loading}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-cloze-007	In ClassLoader, {{c1::Class.forName}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-cloze-008	In ClassLoader, {{c1::Classpath}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-cloze-009	In ClassLoader, {{c1::Basic JAR loading}} is a concept you should define, apply, and connect to common mistakes.	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-001	{{c1::Class loading process}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md	/home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-002	{{c1::Bootstrap ClassLoader}}: A ClassLoader loads class definitions into the JVM	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md	/home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-003	{{c1::Platform/Extension ClassLoader}}: A ClassLoader loads class definitions into the JVM	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md	/home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-004	{{c1::Application ClassLoader}}: A ClassLoader loads class definitions into the JVM	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md	/home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-005	{{c1::Parent delegation model}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md	/home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-006	{{c1::Dynamic class loading}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md	/home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-007	{{c1::Class.forName}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md	/home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-008	{{c1::Classpath}}: Classpath tells the JVM and compiler where to find classes and JARs	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md	/home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-009	{{c1::Basic JAR loading}}: Tiny example or mental model:	Use this cloze for exact recall, then read the source note for examples. Source: /home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md	/home/fhu_thjen/projects/learning-java/32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-010	{{c1::What should you know about Bootstrap ClassLoader in ClassLoader?}}: A ClassLoader loads class definitions into the JVM	Use this cloze for exact recall, then read the source note for examples. Source: 32-classloader/theory/01-class-loading-process-concepts.md	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-011	{{c1::Why does Bootstrap ClassLoader matter in Java?}}: It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services	Use this cloze for exact recall, then read the source note for examples. Source: 32-classloader/theory/01-class-loading-process-concepts.md	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
classloader-aug-cloze-012	{{c1::What should you know about Platform/Extension ClassLoader in ClassLoader?}}: A ClassLoader loads class definitions into the JVM	Use this cloze for exact recall, then read the source note for examples. Source: 32-classloader/theory/01-class-loading-process-concepts.md	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader
