ID	Text	Extra	Source	Tags
exception_handling-cloze-001	In Exception Handling, {{c1::What is an exception?}} is a concept you should define, apply, and connect to common mistakes.	It matters because exception behavior decides whether failures are handled locally, propagated, or allowed to stop the program. A common confusion is treating every exception the same instead of separating recoverable conditions from programming bugs.	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception_handling-cloze-002	A strong review of {{c1::What is an exception?}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `What is an exception?` change, allow, reject, or clarify?	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception_handling-cloze-003	In Exception Handling, {{c1::Error vs Exception}} is a concept you should define, apply, and connect to common mistakes.	It matters because exception behavior decides whether failures are handled locally, propagated, or allowed to stop the program. A common confusion is treating every exception the same instead of separating recoverable conditions from programming bugs.	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception_handling-cloze-004	A strong review of {{c1::Error vs Exception}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Error vs Exception` change, allow, reject, or clarify?	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception_handling-cloze-005	In Exception Handling, {{c1::Checked exception}} is a concept you should define, apply, and connect to common mistakes.	It matters because exception behavior decides whether failures are handled locally, propagated, or allowed to stop the program. A common confusion is treating every exception the same instead of separating recoverable conditions from programming bugs.	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception_handling-cloze-006	A strong review of {{c1::Checked exception}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Checked exception` change, allow, reject, or clarify?	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception_handling-cloze-007	In Exception Handling, {{c1::Unchecked exception}} is a concept you should define, apply, and connect to common mistakes.	It matters because exception behavior decides whether failures are handled locally, propagated, or allowed to stop the program. A common confusion is treating every exception the same instead of separating recoverable conditions from programming bugs.	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception_handling-cloze-008	A strong review of {{c1::Unchecked exception}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Unchecked exception` change, allow, reject, or clarify?	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception_handling-cloze-009	In Exception Handling, {{c1::Runtime exception}} is a concept you should define, apply, and connect to common mistakes.	It matters because exception behavior decides whether failures are handled locally, propagated, or allowed to stop the program. A common confusion is treating every exception the same instead of separating recoverable conditions from programming bugs.	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception_handling-cloze-010	A strong review of {{c1::Runtime exception}} should include meaning, use case, and one common confusion.	When reading code, ask: what does `Runtime exception` change, allow, reject, or clarify?	12-exception-handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
