ID	Front	Back	Source	Tags
security_basic-basic-001	What should you know about `Basic secure coding`in Basic Security?	Basic secure coding is a specific concept in Basic Security; learn its Java rule, valid use cases, and failure mode rather than only its name.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-002	Why does `Basic secure coding` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-003	What should you know about `Hashing` in Basic Security?	Hashing maps input data to a fixed-size digest and is one-way in normal use.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-004	Why does `Hashing` matter in Java?	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-005	What should you know about `MessageDigest`in Basic Security?	MessageDigest is a specific concept in Basic Security; learn its Java rule, valid use cases, and failure mode rather than only its name.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-006	Why does `MessageDigest` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-007	What should you know about `SHA-256`in Basic Security?	SHA-256 is a specific concept in Basic Security; learn its Java rule, valid use cases, and failure mode rather than only its name.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-008	Why does `SHA-256` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-009	What should you know about `Base64`in Basic Security?	Base64 is a specific concept in Basic Security; learn its Java rule, valid use cases, and failure mode rather than only its name.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-010	Why does `Base64` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-011	What should you know about `Basic encryption/decryption`in Basic Security?	Basic encryption/decryption is a specific concept in Basic Security; learn its Java rule, valid use cases, and failure mode rather than only its name.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-012	Why does `Basic encryption/decryption` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-013	What should you know about `KeyStore`in Basic Security?	KeyStore is a specific concept in Basic Security; learn its Java rule, valid use cases, and failure mode rather than only its name.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-014	Why does `KeyStore` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-015	What should you know about `Basic SSL/TLS`in Basic Security?	Basic SSL/TLS is a specific concept in Basic Security; learn its Java rule, valid use cases, and failure mode rather than only its name.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-016	Why does `Basic SSL/TLS` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-017	What should you know about `Input validation`in Basic Security?	Input validation is a specific concept in Basic Security; learn its Java rule, valid use cases, and failure mode rather than only its name.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-018	Why does `Input validation` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-019	What should you know about `Avoid SQL Injection` in Basic Security?	SQL injection happens when untrusted input changes the meaning of a SQL command.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-020	Why does `Avoid SQL Injection` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	36-security-basic/theory/01-basic-secure-coding-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-021	What should you know about `Avoid insecure deserialization` in Basic Security?	Serialization converts an object graph into bytes so it can be stored or transferred.	36-security-basic/theory/02-avoid-insecure-deserialization-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
security_basic-basic-022	Why does `Avoid insecure deserialization` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.	36-security-basic/theory/02-avoid-insecure-deserialization-concepts.md | https://docs.oracle.com/javase/tutorial/security/	java::core::security-basic
