ID	Text	Extra	Code	Source	Tags
multithreading-cloze-101	JVM threads share the common {{c1::Heap}} and {{c2::Metaspace}} memory regions.	While sharing heap memory allows threads to communicate extremely fast, it introduces data visibility issues and race conditions.		no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
multithreading-cloze-102	Each JVM thread possesses its own private {{c1::Stack}} and {{c2::Program Counter (PC)}} register.	This isolation prevents local variable states and execution paths from being corrupted by other threads.		no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
multithreading-cloze-103	To execute a thread asynchronously, you must invoke the {{c1::start()}} method; calling {{c2::run()}} directly executes it synchronously on the caller's stack.	`start()` requests the OS thread scheduler to allocate resources, whereas `run()` is just a standard method call.		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-cloze-104	A newly created thread is in the {{c1::NEW}} state until its {{c2::start()}} method is called.	In this state, it exists only as a Java Heap object; no system resources are allocated.		no28_multithreading/theory/01-process-vs-thread-concepts.md	java::core::multithreading
multithreading-cloze-105	When a thread is waiting to acquire a monitor lock held by another thread, it is in the {{c1::BLOCKED}} state.	Once the lock is released, the thread can transition back to the `RUNNABLE` state.		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-cloze-106	Calling `thread.join()` causes the calling thread to enter the {{c1::WAITING}} state until the target thread enters the {{c2::TERMINATED}} state.	Under the hood, this coordination is driven by the JVM's native wait-and-notify loop.		no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-cloze-107	Under the hood, `thread.join()` uses a synchronized loop on the condition {{c1::threadB.isAlive()}} inside which {{c2::wait()}} is called.	When Thread B terminates, the JVM natively calls `notifyAll()` to wake up the waiting parent thread.		no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-cloze-108	A static call to `Thread.sleep()` pauses execution but does **not** release {{c1::locks/monitors}} held by the thread.	If locks need to be released during a wait, `Object.wait()` should be used instead.		no28_multithreading/theory/02-runnable-concepts.md	java::core::multithreading
multithreading-cloze-109	By default, the JVM will exit when only {{c1::daemon}} threads remain alive, discarding them immediately.	User threads (non-daemon threads), such as the main thread, keep the JVM running.		no28_multithreading/theory/03-join-concepts.md	java::core::multithreading
multithreading-cloze-110	An operation is {{c1::atomic}} if it executes as a single, indivisible unit of work where no intermediate states are visible to other threads.	Safe concurrent counters use CPU instructions (like Compare-And-Swap) to enforce atomicity without locking overhead.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
multithreading-cloze-111	The {{c1::volatile}} keyword guarantees variable {{c2::visibility}} and {{c3::ordering}}, but does not guarantee {{c4::atomicity}}.	While it ensures threads read the most recent write from main RAM, it cannot protect compound operations from race conditions.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading java::interview
multithreading-cloze-112	In 32-bit JVM architectures, reads/writes of {{c1::long}} and {{c2::double}} are non-atomic unless declared with the {{c3::volatile}} keyword.	Without `volatile`, these 64-bit variables can suffer from word tearing, where writes are split into two 32-bit operations.		no28_multithreading/theory/04-thread-safety-concepts.md	java::core::multithreading
