ID	Front	Back	Extra	Code	Source	Tags
syntax-basic-extra-001	Why must a public class name match the file name?	The Java compiler requires a public top-level class to be declared in a file with the same name.	"Gotcha: `public class HelloWorld` in a file named `Main.java` gives compile error: ""class HelloWorld is public, should be declared in a file named HelloWorld.java"". Fix: rename file to `HelloWorld.java`. Non-public classes have no such restriction."		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax java::interview
syntax-basic-extra-002	Why does `main` need to be static?	The JVM must call `main` without creating an object first.	"Removing `static` compiles fine but causes a runtime error: ""Main method is not static in class HelloWorld"". The JVM cannot instantiate the class before calling entry point, so `static` is mandatory. Writing `public void main(String[] args)` is a common trap."		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax java::interview
syntax-basic-extra-003	What is the difference between `String[] args` and `String... args` in `main`?	Both can represent command-line arguments for `main`; `String... args` is varargs syntax.	Both signatures are JVM-compatible: `public static void main(String[] args)` and `public static void main(String... args)`. Internally varargs becomes an array. Gotcha: `String... args` must be the last parameter, but since `main` has only one parameter, this is not an issue here.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-extra-004	What makes a comment useful?	A useful comment explains why code exists or clarifies a non-obvious decision.	"Rule: comments should answer ""why"", not ""what"". Gotcha — bad comment: `// increment i` above `i++`. Good comment: `// retry up to 3 times to handle transient network failures`. Over-commenting simple code creates noise; under-commenting tricky logic creates confusion."		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-extra-005	Does `import java.util.*` import subpackages?	No. It imports types directly inside `java.util`, not types in subpackages.	`import java.util.*` gives access to `ArrayList`, `HashMap`, etc., but NOT `java.util.concurrent.locks.Lock` (that requires a separate import). Subpackages are entirely separate namespaces. This surprises many beginners who assume `*` is recursive.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-extra-006	Why are naming conventions important?	They make code easier to read and help developers recognize classes, methods, variables, constants, and packages quickly.	Quick rule: classes/interfaces → PascalCase (`OrderService`), methods/variables → camelCase (`calculateTotal`), constants → UPPER_SNAKE_CASE (`MAX_SIZE`), packages → lowercase (`com.example`). Gotcha: using `Calculatetotal` or `calculate_total` is legal Java but breaks the convention everyone relies on for scanning code.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-extra-007	Why can a variable declared inside an `if` block not be used outside it?	The variable's scope is limited to the block where it is declared.	Example — compile error: `if (x > 0) { int result = x * 2; } System.out.println(result); // error: cannot find symbol`. Fix: declare `result` before the `if` block. Gotcha: Java does NOT have variable hoisting like JavaScript; block scope is strictly enforced.		02-basic-syntax/README.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-extra-008	Why is `Main.java` with `public class HelloWorld` invalid?	A public top-level class must be declared in a file with the same name.	"The compiler error is: ""class HelloWorld is public, should be declared in a file named HelloWorld.java"". Consequence: the file will not compile at all. Fix: rename file to `HelloWorld.java` or change class to `public class Main`. Multiple non-public classes can coexist in one file."		02-basic-syntax/theory/01-program-anatomy.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax java::interview
syntax-basic-extra-009	Why is Java case sensitivity important for beginners?	Names that look similar may refer to different identifiers if capitalization differs.	"`String` (a class) vs `string` (compile error — no such type in Java). `System.out.println` vs `system.out.println` (compile error). `main` vs `Main` (JVM won't find the entry point). Forgetting one capital letter can flip between ""compiles"" and ""compile error""."		02-basic-syntax/theory/01-program-anatomy.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
syntax-basic-extra-010	What is the practical difference between statement and block?	A statement is an instruction; a block groups statements and often controls scope.	"`System.out.println(""Hi"");` is a statement — it ends with `;`. `{ int x = 1; System.out.println(x); }` is a block — it groups statements and creates a new scope. Gotcha: a block itself does NOT end with `;`. Writing `};` after a class body is legal (extra semicolon), but writing `;` after an `if` body and then a block is a logic bug: `if (cond); { alwaysRuns(); }`."		02-basic-syntax/theory/01-program-anatomy.md | https://docs.oracle.com/javase/tutorial/getStarted/application/	java::core::syntax
