ID	Text	Extra	Source	Tags
var-cloze-001	A {{c1::local variable}} is declared inside a method, constructor, or block.	Local variables must be assigned before use.	04-variables-constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-002	An {{c1::instance variable}} belongs to an object.	Each object has its own instance field values.	04-variables-constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-003	A {{c1::static variable}} belongs to the class, not an individual object.	Static state is shared at the class level.	04-variables-constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-004	`final` means a variable can be assigned {{c1::only once}}.	After assignment, reassignment is not allowed.	04-variables-constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-005	For reference variables, `final` prevents {{c1::reassignment}}, not necessarily object mutation.	A mutable object can still change internally.	04-variables-constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::interview
var-cloze-006	Java constants are often declared as {{c1::static final}}.	Static for class-level sharing, final for no reassignment.	04-variables-constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-007	Constants usually use {{c1::UPPER_SNAKE_CASE}}.	Example: `MAX_RETRY_COUNT`.	04-variables-constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-008	A {{c1::magic number}} is a literal number used directly without a name explaining its meaning.	Named constants reduce this problem.	04-variables-constants/terms/01-variable-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::term
var-cloze-009	Local variables do {{c1::not}} receive usable automatic default values.	They must be assigned before use.	04-variables-constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-010	Reference fields default to {{c1::null}}.	Numeric fields default to zero-like values, boolean fields to false.	04-variables-constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
var-cloze-011	{{c1::Scope}} is the region of code where a name can be accessed.	Scope is not lifetime.	04-variables-constants/terms/01-variable-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::term
var-cloze-012	{{c1::Lifetime}} is how long a variable or object exists.	Lifetime helps explain local variables, objects, and static state.	04-variables-constants/terms/01-variable-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::term
var-cloze-013	A local variable exists while its {{c1::method or block}} is executing.	After the block/method ends, the local variable is gone.	04-variables-constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables
