ID	Question	Code	Answer	Explanation	Source	Tags
inner_nested_class-code-001	What kind of class is this?	"class Outer {\n    static class Helper { }\n}"	A static nested class	A static nested class is nested in another class but does not require an outer instance.	no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-002	Will this code compile? If not, why?	"class Outer {\n    private int x = 10;\n    static class StaticNested {\n        void print() { System.out.println(x); }\n    }\n}"	Compile error	A static nested class does not have an implicit reference to an outer class instance, so it cannot access instance variables (like x) directly. It would compile if x was static or if it instantiated Outer first.	no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-003	Will this code compile? If not, why?	"class Outer {\n    class Inner {}\n    public static void main(String[] args) {\n        Inner i = new Inner();\n    }\n}"	Compile error	A non-static inner class cannot be instantiated directly from a static context (like main) without an instance of the outer class. The correct syntax is Inner i = new Outer().new Inner();.	no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-004	What is the output of running new Outer().new Inner().print();?	"class Outer {\n    String val = ""Outer"";\n    class Inner {\n        String val = ""Inner"";\n        void print() {\n            System.out.println(this.val + "" "" + Outer.this.val);\n        }\n    }\n}"	"Inner Outer"	"this.val refers to the inner class's field val, while Outer.this.val accesses the shadowed outer class instance field."	no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-005	Will this code compile? If not, why?	"class Outer {\n    void process() {\n        int x = 5;\n        class Local {\n            void print() { System.out.println(x); }\n        }\n        x = 10;\n        new Local().print();\n    }\n}"	Compile error	A local class can only access local variables that are final or effectively final. Since x is reassigned after its initialization (x = 10;), it is no longer effectively final, causing a compilation error.	no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-006	Will this code compile? If not, why?	"class Outer {\n    void run() {\n        Runnable r = new Runnable() {\n            public void run() {\n                System.out.println(this.toString());\n            }\n        };\n        r.run();\n    }\n}"	Compiles	Inside an anonymous inner class, this refers to the instance of the anonymous class itself, which implements Runnable and inherits toString() from Object.	no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-007	Will this code compile? If not, why?	"class Outer {\n    void run() {\n        Runnable r = () -> System.out.println(this.toString());\n        r.run();\n    }\n    public String toString() { return ""OuterInstance""; }\n}"	"Compiles and outputs OuterInstance"	"Lambdas use lexical scope, so this inside the lambda refers to the enclosing Outer instance. Calling this.toString() invokes Outer's toString method."	no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-008	What class files are generated by the compiler for this class?	"class Outer {\n    class Inner {}\n    static class StaticNested {}\n}"	"Outer.class, Outer$Inner.class, and Outer$StaticNested.class"	Nested classes (both static and non-static) are compiled into separate bytecode files using the $ delimiter between the outer and nested class names.	no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-code-009	Will this code compile? If not, why?	"class Outer {\n    void run() {\n        int x = 100;\n        class Local {\n            void print() {\n                x = 200;\n            }\n        }\n    }\n}"	Compile error	Local variables accessed inside a local class must be final or effectively final. The local class cannot modify a method-local variable (x = 200;), which violates this rule and fails to compile.	no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
inner_nested_class-cq-010	What is the correct syntax to instantiate the static nested class StaticNested from outside the Outer class?	"class Outer {\n    static class StaticNested {}\n}\nclass Test {\n    void run() {\n        // How to instantiate StaticNested here?\n    }\n}"	"Outer.StaticNested n = new Outer.StaticNested();"	"Since static nested classes do not require an enclosing outer instance, you instantiate them by referencing the outer class name directly: Outer.StaticNested."	no15_inner_nested_class/theory/01-nested-class-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html	java::core::inner-nested-class java::code
