ID	Text	Extra	Code	Source	Tags
networking-cloze-001	TCP uses {{c1::Socket}} and {{c2::ServerSocket}} for connection-oriented communication, while UDP uses {{c3::DatagramSocket}} and {{c4::DatagramPacket}} for connectionless packet delivery.	TCP guarantees ordered delivery via a handshake; UDP sends packets independently with no session.		no35_networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/javase/tutorial/networking/	java::core::networking
networking-cloze-002	The TCP three-way handshake consists of three messages: {{c1::SYN}}, {{c2::SYN-ACK}}, and {{c3::ACK}}, allowing client and server to synchronize {{c4::sequence numbers}} before data transfer.	Without synchronized sequence numbers, TCP cannot detect missing or duplicate packets.		no35_networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/javase/tutorial/networking/sockets/index.html	java::core::networking java::interview
networking-cloze-003	`ServerSocket.accept()` {{c1::blocks the calling thread}} until a client connects, so it should always run on a {{c2::worker thread or thread pool}}, not the main thread.	Running accept() on the main thread freezes the whole application while waiting.		no35_networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/ServerSocket.html	java::core::networking
networking-cloze-004	Failing to close a socket causes a {{c1::file descriptor (FD) leak}} at the OS level, eventually throwing {{c2::SocketException: Too many open files}} and {{c3::BindException: Address already in use}} on restart.	The OS kernel holds FD entries open until the socket is explicitly closed or the process exits.		no35_networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/Socket.html	java::core::networking java::interview
networking-cloze-005	`new URL(String)` was deprecated in Java {{c1::20}} because it triggers a {{c2::DNS lookup}} inside the constructor, which violates basic API design rules by performing {{c3::blocking network calls}} during object construction.	The recommended alternative is `URI.create(string).toURL()`.		no35_networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/URL.html	java::core::networking
networking-cloze-006	`URI` performs {{c1::strict RFC 2396 syntax-based parsing}} without resolving hostnames, whereas `URL` may perform {{c2::DNS lookups}} in methods like `equals()` and `hashCode()`.	This makes URI safe to use in collections, while URL in a HashMap silently causes network calls.		no35_networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/URI.html	java::core::networking
networking-cloze-007	`HttpURLConnection` default timeouts are {{c1::infinite (0)}}, meaning an unresponsive server will {{c2::block the calling thread forever}} unless `setConnectTimeout()` and `setReadTimeout()` are explicitly set.		HttpURLConnection conn = (HttpURLConnection) url.openConnection();\nconn.setConnectTimeout(5000); // required\nconn.setReadTimeout(5000); // required	no35_networking/theory/02-httpurlconnection-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/HttpURLConnection.html	java::core::networking java::interview
networking-cloze-008	Java 11 `HttpClient` was introduced by JEP {{c1::321}} and supports {{c2::HTTP/1.1}} and {{c3::HTTP/2}} with automatic fallback, plus {{c4::WebSockets}}.	HttpClient is designed as an immutable, thread-safe singleton shared across the application.		no35_networking/theory/02-httpurlconnection-concepts.md | https://openjdk.org/jeps/321	java::core::networking
networking-cloze-009	`HttpClient.sendAsync()` returns a {{c1::CompletableFuture<HttpResponse<T>>}} immediately without blocking. The response is delivered via {{c2::callback}} when the I/O completes on the internal event loop.		client.sendAsync(request, BodyHandlers.ofString())\n    .thenApply(HttpResponse::body)\n    .thenAccept(System.out::println)\n    .join();	no35_networking/theory/02-httpurlconnection-concepts.md | https://openjdk.org/jeps/321	java::core::networking
networking-cloze-010	`HttpURLConnection` is hardcoded to {{c1::HTTP/1.1}} and lacks {{c2::HTTP/2 multiplexing}}, {{c3::async request support}}, and modern {{c4::header compression}}.	These limitations are exactly the motivations for the Java 11 HttpClient.		no35_networking/theory/02-httpurlconnection-concepts.md | https://openjdk.org/jeps/321	java::core::networking java::interview
networking-cloze-011	The Java pattern `try (Socket s = ...; InputStream in = ...) {}` guarantees that resources are closed in {{c1::reverse declaration order}} even if {{c2::multiple exceptions}} are thrown during cleanup.	This prevents FD leaks that would occur if manual finally blocks were skipped due to exception handling.		no35_networking/theory/01-socket-programming-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/net/Socket.html	java::core::networking
networking-cloze-012	In the client-server model, the {{c1::client}} initiates the connection while the {{c2::server}} binds to a port and {{c3::listens}} for incoming requests.	Java mapping: `new Socket(host, port)` → client; `ServerSocket.accept()` → server side.		no35_networking/theory/02-httpurlconnection-concepts.md | https://docs.oracle.com/javase/tutorial/networking/	java::core::networking
