ID	Question	Code	Answer	Explanation	Source	Tags
enum-code-001	What is printed?	enum Level { LOW, HIGH }\nSystem.out.println(Level.HIGH.name());	`HIGH`	`name()` returns the exact enum constant name.	no16_enum/README.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-002	Does the following code compile? If not, why?	class Base {}\nenum Status extends Base { ACTIVE, INACTIVE }	`compile error`	Enums implicitly extend `java.lang.Enum`, and since Java does not support multiple class inheritance, enums cannot extend any other class.	no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-003	Does the following code compile?	class Outer {\n    public static enum Level { LOW, HIGH }\n}	`compiles`	Nested enums are implicitly static. Specifying the static modifier explicitly is valid but redundant.	no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-004	Does this compile? (Classic Java rule)	class MethodTest {\n    public void test() {\n        enum LocalEnum { A, B }\n        System.out.println(LocalEnum.A);\n    }\n}	`compiles`	Prior to Java 16, enums could not be declared locally inside methods. Starting from Java 16, local enums (and records/interfaces) are fully permitted.	no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-005	What is printed?	enum Level { LOW, HIGH }\nLevel a = Level.LOW;\nLevel b = Level.LOW;\nSystem.out.println(a == b);\nSystem.out.println(a.equals(b));	`true\ntrue`	Enum constants are singletons. Therefore, you can safely compare them using reference equality (==), which is null-safe and faster than equals().	no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-006	What is printed?	enum Action {\n    RUN {\n        @Override public void perform() { System.out.print("Run "); }\n    },\n    STOP {\n        @Override public void perform() { System.out.print("Stop"); }\n    };\n    public abstract void perform();\n}\nAction.RUN.perform();\nAction.STOP.perform();	`Run Stop`	Enums can declare abstract methods that must be overridden by each enum constant's specific class body.	no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-007	Does this code compile?	enum Color {\n    RED;\n    Color() {}\n}\nColor c = new Color();	`compile error`	Enums cannot be instantiated via the new keyword. Their instances are created automatically at class-loading time.	no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-008	What is printed?	enum Config {\n    INSTANCE;\n    public int value = 10;\n}\nConfig.INSTANCE.value = 20;\nConfig c = Config.INSTANCE;\nSystem.out.println(c.value);	`20`	Enum constants are mutable if they have non-final public fields. However, this is a dangerous practice as it pollutes global state.	no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-009	What is printed?	enum Size {\n    SMALL {\n        @Override public String toString() { return "S"; }\n    };\n}\nSystem.out.println(Size.SMALL.name() + ":" + Size.SMALL.toString());	`SMALL:S`	`name()` is declared final in `java.lang.Enum` and cannot be overridden, returning "SMALL". `toString()` is overridden to return "S".	no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
enum-code-010	What happens when this code is executed?	enum Phase { SOLID, LIQUID }\nPhase p = null;\nswitch (p) {\n    case SOLID: System.out.println("Solid"); break;\n    default: System.out.println("Default"); break;\n}	`NullPointerException`	Switching on a null enum reference throws a `NullPointerException` at runtime before evaluating any case blocks.	no16_enum/theory/01-what-is-an-enum-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/enum.html	java::core::enum java::code
