ID	Front	Back	Code	Source	Tags
exception-basic-001	What is an exception in Java?	An object of type `Throwable` that represents an abnormal condition disrupting the normal flow of execution.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception-basic-002	What is the root class of all exceptions and errors in Java?	`java.lang.Throwable` — the root class. Its two direct subclasses are `Error` and `Exception`.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-basic-003	What is the difference between `Error` and `Exception`?	`Error` represents JVM-level catastrophes that programs should NOT catch (e.g., `OutOfMemoryError`, `StackOverflowError`). `Exception` represents conditions that programs may catch and recover from.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-basic-004	What is a checked exception?	A subclass of `Exception` that is NOT a `RuntimeException`. The compiler requires callers to either catch it or declare it with `throws`. Examples: `IOException`, `FileNotFoundException`, `SQLException`.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-basic-005	What is an unchecked exception?	A subclass of `RuntimeException` (or `Error`). The compiler does NOT require callers to handle or declare it. Examples: `NullPointerException`, `ArrayIndexOutOfBoundsException`, `ArithmeticException`.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-basic-006	Why is `RuntimeException` unchecked — what is the design rationale?	Runtime exceptions represent programming bugs (null dereference, wrong index, divide by zero). Since they can theoretically occur anywhere, forcing try-catch for every possible RuntimeException would make code unreadably verbose. Programmers should fix bugs, not catch them.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-basic-007	What does the `finally` block guarantee?	The `finally` block ALWAYS executes after the `try` block exits — whether normally, due to an exception, or due to a `return` statement. It is used for guaranteed cleanup.	try { return 42; } finally { System.out.println("runs before return"); }	no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-basic-008	When does `finally` NOT execute?	When `System.exit()` is called, or when the JVM crashes or the thread is killed externally.		no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-basic-009	What is the danger of returning a value or throwing an exception from a `finally` block?	It overrides the `return` or exception from the `try`/`catch` block, silently discarding it. An exception thrown from `finally` replaces the original exception — the original is lost.		no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-basic-010	What does the `throws` keyword in a method signature do?	Declares that the method may throw the listed exception types, delegating handling responsibility to the caller. Required for checked exceptions that are not caught inside the method.	public void readFile() throws IOException { ... }	no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
