ID	Front	Back	Extra	Code	Source	Tags
design-principles-extra-001	What occurs under the hood in the JVM when a class violates the Single Responsibility Principle?	Class loading and compile-time coupling increase.	A class with multiple responsibilities accumulates unrelated fields and methods, forcing the JVM to load more dependencies, bloat memory, and trigger re-verification whenever any responsibility changes.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-002	How does OCP protect Java applications from regression bugs during extension?	By resolving calls dynamically via interfaces.	Under OCP, we add new classes instead of changing existing code. The JVM uses `invokevirtual` or `invokeinterface` to dispatch calls at runtime, keeping the original verified bytecode untouched.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-003	Why does a subclass throwing `UnsupportedOperationException` for inherited methods violate LSP?	It breaks the behavioral expectation of the parent type.	If client code expects the parent class contract to work, swapping in a subclass that throws exceptions dynamically breaks execution flow. Subclasses must uphold all parent method behavior.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-004	How does Interface Segregation (ISP) optimize runtime interface dispatch table (`itable`) lookups in the JVM?	Smaller interfaces keep dispatch tables compact.	Massive interfaces cause large `itable` footprints. Segregating into client-specific interfaces results in smaller tables, reducing the runtime lookup overhead for `invokeinterface` calls in the JVM.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-005	Why is Dependency Inversion (DIP) critical for writing unit tests using mock objects?	It allows swapping concrete classes with mock abstractions.	Because high-level code depends on interfaces, we can inject a mock class implementing the interface during tests. This isolates the unit under test from external databases or networks.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-006	What is the classic LSP violation in the Square-Rectangle geometric hierarchy?	Setting the width on Square alters its height.	Rectangle assumes width and height are independent invariants. In Square, changing one updates both, breaking the Rectangle's behavioral contract when manipulated via a Rectangle reference.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-007	How does composition over inheritance solve the "fragile base class" problem?	It encloses instances rather than extending internal details.	Inheritance couples subclasses to the parent's implementation details. Composition wraps helpers inside the class, exposing only the intended public APIs and avoiding subclass method overrides breaking parent state.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-008	What is defensive programming, and how does it prevent Java runtime failure?	It validates preconditions and inputs early.	Defensive programming uses tools like `Objects.requireNonNull()` to check parameters at method boundaries. This ensures that failures are controlled and throw meaningful exceptions immediately (fail-fast).		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-009	What is clean code's early return pattern, and why is it preferred over nested loops?	It handles exceptional cases first and exits early.	By checking preconditions first and returning or throwing immediately, we avoid deep nesting of `if` blocks. This keeps the code flat, readable, and lowers cognitive complexity.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-010	How does a fat interface couple unrelated clients at compile-time?	Changes to any method trigger recompilation for everyone.	In Java, implementing a fat interface binds a class to all of its signatures. Modifying any method in the interface requires all implementing classes to be re-linked, even if they don't use it.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-011	Why does the Liskov Substitution Principle restrict checked exceptions in subclasses?	Java subclasses cannot declare broader checked exceptions than their parent.	The compiler enforces this because client code calling the parent method has catch blocks suited only for the declared exceptions. Declaring broader ones would break runtime safety.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
design-principles-extra-012	How does constructor dependency injection prevent hidden class dependencies?	It forces dependencies to be declared in the constructor signature.	By avoiding `new` calls inside the class and requiring dependencies as constructor arguments, a client cannot compile without providing the necessary components, making dependencies explicit.		42-design-principles/theory/01-solid-concepts.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::design-principles
