ID	Text	Extra	Code	Source	Tags
jvm_advanced-cloze-001	The ClassLoader Subsystem linked resolution step replaces {{c1::symbolic references}} in the runtime constant pool with {{c2::direct references}} to memory.	This dynamic linking step is optional and can happen either lazily (at runtime use) or eagerly during class verification.		no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced
jvm_advanced-cloze-002	During the linking preparation step, static variables are initialized to their {{c1::default values}}, whereas their explicit programmer values are assigned in the {{c2::initialization}} phase.	For instance, a static integer variable initialized to five gets value zero in Preparation and five in Initialization.		no37_jvm_advanced/theory/01-jvm-architecture-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::jvm-advanced
jvm_advanced-cloze-003	The JIT compiler optimizes hot paths by using {{c1::C1 Client}} compiler for rapid compilation with light profiling, and {{c2::C2 Server}} compiler for aggressive optimizations.	C1 provides fast startup and early execution speed, while C2 maximizes total throughput for long-running production server processes.		no37_jvm_advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/	java::core::jvm-advanced
jvm_advanced-cloze-004	JIT compilation hot-spot profiling relies on {{c1::method invocation counters}} and {{c2::back-edge counters}} to track execution frequencies.	Method counters track calls to methods, while back-edge counters track iterations of loops to identify potential candidate code for JIT compiling.		no37_jvm_advanced/theory/02-execution-engine-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/	java::core::jvm-advanced
jvm_advanced-cloze-005	The Young Generation is partitioned into three main zones: one {{c1::Eden}} space and two {{c2::Survivor}} spaces (S0 and S1).	All new objects are allocated in Eden, and are copied back and forth between S0 and S1 during Minor GC cycles.		no37_jvm_advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/factors-affecting-garbage-collection-performance.html	java::core::jvm-advanced
jvm_advanced-cloze-006	According to the {{c1::weak generational hypothesis}}, most allocated Java objects die young, which justifies separating heap memory into Young and Old generations.	This hypothesis allows garbage collectors to run very fast Minor GCs only on the Young Generation, ignoring the older, larger gen.		no37_jvm_advanced/theory/03-survivor-concepts.md | https://docs.oracle.com/en/java/javase/21/gctuning/factors-affecting-garbage-collection-performance.html	java::core::jvm-advanced
jvm_advanced-cloze-007	Shenandoah GC concurrent compaction uses {{c1::Brooks Pointers}} or load barriers to dynamically redirect application threads reading or writing to objects in transit.	Compare-And-Swap (CAS) operations modify this pointer value to atomicly swap the reference from the old object to the new copied object.		no37_jvm_advanced/theory/04-shenandoah-concepts.md | https://openjdk.org/jeps/189	java::core::jvm-advanced
jvm_advanced-cloze-008	Standard JVM options are stable, while non-standard options begin with the prefix {{c1::`-X`}}, and experimental options begin with the prefix {{c2::`-XX`}}.	Experimental `-XX` flags require diagnostic/experimental flags to be unlocked before they are accepted by the JVM launcher in production.		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
jvm_advanced-cloze-009	The JVM flag {{c1::`-Xms`}} sets the initial Java heap size, while the flag {{c2::`-Xmx`}} sets the maximum Java heap size.	Setting these equal to each other avoids dynamic heap resizing pause overhead in production environments, saving CPU cycles.		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
jvm_advanced-cloze-010	The flag `-XX:NewRatio=3` configures the size ratio of the Old Generation to the Young Generation to be {{c1::3::ratio number}}, meaning Old Gen is 3/4 of the total heap.	The Young Generation takes up the remaining one fourth of the heap space under this configuration in HotSpot.		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
jvm_advanced-cloze-011	A {{c1::thread dump}} is a snapshot of all active thread execution paths and states, while a {{c2::heap dump}} is a binary snapshot of all objects allocated in memory.	Thread dumps diagnose deadlocks and execution halts, whereas heap dumps analyze memory leaks and object retention issues.		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
jvm_advanced-cloze-012	To capture a thread dump on a Linux system programmatically, one can use the {{c1::`jstack`}} CLI utility, whereas {{c2::`jmap`}} is used to capture heap dumps.	The process ID (PID) of the target JVM must be provided as an argument to these command line utilities.		no37_jvm_advanced/theory/05-xx-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::jvm-advanced
