ID	Text	Extra	Code	Source	Tags
modifiers-cloze-001	Subclasses in a different package can access protected fields only via {{c1::inheritance}} and not via a {{c2::parent reference}}.	Accessing them via parent instance reference in a different package triggers a compiler error.		no10_modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-002	Omitting an access modifier results in {{c1::default}} (or {{c1::package-private}}) visibility, which restricts access to the {{c2::same package}} only.	Writing `default` as an access modifier on a class field is a syntax error.		no10_modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-003	Static variables are stored in {{c1::Metaspace}} rather than the {{c2::Heap}}, and only {{c3::one copy}} exists for the entire class.	Metaspace holds class metadata, which is permanent and shared across all instances.		no10_modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/classvars.html	java::core::modifiers
modifiers-cloze-004	If an instance synchronized method is called, it acquires the monitor lock on the {{c1::this}} object; a static synchronized method acquires the lock on the {{c2::Class object}}.	This is why they don't block each other.		no10_modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-005	The {{c1::volatile}} modifier guarantees visibility by bypassing CPU caches and writing/reading variables directly to/from {{c2::main memory}}.	It uses memory barriers to enforce visibility and ordering.		no10_modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-006	To prevent fields from being serialized during Java serialization, they should be marked with the {{c1::transient}} modifier.	Static fields are automatically excluded from serialization since they belong to class structure.		no10_modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-007	Methods implemented in other languages like C or C++ are declared in Java using the {{c1::native}} modifier.	These methods have no Java body and end with a semicolon.		no10_modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-008	Declaring a class {{c1::final}} prevents it from being extended, while declaring a method {{c2::final}} prevents it from being overridden.	A class cannot be both abstract and final.		no10_modifiers/theory/03-static-block-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-009	Blank final variables must be definitely assigned in all {{c1::constructors}} before compilation succeeds.	If left unassigned in even one constructor path, the compiler reports an error.		no10_modifiers/theory/03-static-block-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-cloze-010	A static nested class {{c1::does not}} have access to the outer class's {{c2::instance}} fields or methods.	It behaves exactly like a top-level class nested only for packaging convenience.		no10_modifiers/theory/03-static-block-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/classvars.html	java::core::modifiers
