ID	Front	Back	Code	Source	Tags
memory_management-basic-001	How does the declaration scope of a primitive variable determine whether it resides on the Stack or the Heap in Java?	Local primitives declared inside methods are stored on the Stack (within their method frame). Instance primitives (declared as fields of a class) and static primitives reside on the Heap (as part of the object or Class metadata object).		no13_memory_management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-basic-002	What does it mean that Java is strictly pass-by-value when passing an object reference to a method?	Java copies the bit-pattern of the reference variable (the memory address). The method receives a copy of this pointer, not the original reference itself.		no13_memory_management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-basic-003	When an object reference is passed to a method, what happens if the method reassigns the parameter variable to a new object?	Reassigning the parameter variable only modifies the copied pointer stored in the method's local stack frame. The caller's original reference variable remains unchanged and still points to the original object.		no13_memory_management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-basic-004	Why are circular references (islands of isolation) eligible for Garbage Collection in Java despite referencing each other?	The JVM uses tracing Garbage Collection starting from GC Roots. Since the island of isolation is unreachable from any GC Root, the GC reclaims the entire group, ignoring internal cross-references.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-basic-005	Why is catching VirtualMachineError subclasses like OutOfMemoryError and StackOverflowError in application code considered a dangerous anti-pattern?	These errors indicate the JVM's internal state is compromised and unstable. Attempting to log or recover inside the application often fails or causes secondary errors (like nested OOM) because there is no guaranteed memory left.		no13_memory_management/theory/03-outofmemoryerror-concepts.md	java::core::memory-management java::interview
memory_management-basic-006	What is the primary difference in JVM memory region and cause between an OutOfMemoryError and a StackOverflowError?	OutOfMemoryError occurs in the Heap or Metaspace when dynamic allocations exceed limits and GC cannot free space. StackOverflowError occurs in the thread Stack when method call frames grow too deep and exhaust stack space.		no13_memory_management/theory/03-outofmemoryerror-concepts.md	java::core::memory-management
memory_management-basic-007	What is the GC reclamation rule for objects that are only softly reachable (SoftReference)?	Soft references survive standard Garbage Collection cycles and are only reclaimed by the JVM when heap memory is completely exhausted, typically right before throwing an OutOfMemoryError.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-basic-008	What is the GC reclamation rule for objects that are only weakly reachable (WeakReference)?	Weak references are cleared by the Garbage Collector during the very next collection cycle, regardless of whether the JVM is running low on heap memory.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-basic-009	What is the behavior of calling the .get() method on a PhantomReference?	Calling .get() on a PhantomReference always returns null, preventing access to the referent.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-basic-010	Why is the finalize() method deprecated since Java 9, and what is the modern replacement for resource cleanup?	finalize() has unpredictable execution timing, causes performance bottlenecks, and can result in resurrection security vulnerabilities. The modern replacement is implementing AutoCloseable and using try-with-resources.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-basic-011	What is a memory leak in Java?	A memory leak occurs when an application retains strong references to objects that are no longer needed, preventing the Garbage Collector from reclaiming their memory.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management java::term
memory_management-basic-012	Where do static fields reside in memory in Java 8 and later versions?	Static fields reside on the Java Heap, specifically stored inside the java.lang.Class object representing the class, rather than in Metaspace.		no13_memory_management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-basic-013	What memory region is used by Metaspace, and how does this compare to PermGen in older Java versions?	Metaspace uses native memory (off-heap) and grows dynamically by default, whereas PermGen used a fixed-size region inside the Java Heap.		no13_memory_management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-basic-014	What is the purpose of the JVM flag -Xss?	It configures the memory size allocated for each individual thread's stack (e.g., -Xss512k or -Xss1m).		no13_memory_management/theory/03-outofmemoryerror-concepts.md	java::core::memory-management
memory_management-basic-015	What is the purpose of the JVM flags -Xms and -Xmx?	-Xms sets the initial startup memory size of the Java Heap, and -Xmx sets the maximum allowable memory size of the Java Heap.		no13_memory_management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-basic-016	What are GC Roots in Java Memory Management?	GC Roots are starting points for reachability tracing, including active thread stack frames (local variables and parameters), loaded class static fields, JNI global and local references, and active JVM system class loaders.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management
