ID	Text	Extra	Code	Source	Tags
exception-cloze-001	Java's `Throwable` hierarchy: `Throwable` → {{c1::`Error`}} (JVM catastrophes, should NOT be caught) and `Throwable` → {{c2::`Exception`}} → {{c3::`RuntimeException`}} (unchecked) or {{c4::other Exception subclasses}} (checked).	Error examples: OutOfMemoryError, StackOverflowError. Unchecked: NPE, ArithmeticException. Checked: IOException, SQLException.		no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-cloze-002	Checked exceptions {{c1::must be handled or declared with `throws`}} — enforced by the {{c2::compiler}}. They represent {{c3::external failures}} (I/O, network, DB). Unchecked exceptions represent {{c4::programming bugs}} and require {{c5::no compiler enforcement}}.			no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-cloze-003	The `finally` block {{c1::always executes}} after the `try` block exits — whether normally, by {{c2::exception}}, or by {{c3::`return`}}. It does NOT execute if {{c4::`System.exit()`}} is called.			no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-cloze-004	Returning from `finally` when `try` has a return statement: JVM {{c1::saves the try return value}}, executes `finally`, then {{c2::returns the finally return value}} (overriding the try value). This is an {{c3::anti-pattern}} because it {{c4::silently discards the original return and any propagating exception}}.			no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-cloze-005	`try-with-resources` was introduced in {{c1::Java 7}}. It automatically calls `close()` on resources implementing {{c2::`AutoCloseable`}}. Multiple resources are closed in {{c3::reverse declaration order}} (last declared, {{c4::first closed}}).			no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/AutoCloseable.html	java::core::exception-handling java::interview
exception-cloze-006	The problem `try-with-resources` solves: in manual `finally`, if both `try` body and `close()` throw, the {{c1::`close()` exception REPLACES the original exception}} — the original is {{c2::lost}}. Try-with-resources adds the close exception as a {{c3::suppressed exception}} via `{{c4::e.getSuppressed()}}`.			no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/AutoCloseable.html	java::core::exception-handling java::interview
exception-cloze-007	Exception chaining: wrapping a low-level exception in a high-level one using `new HighEx("msg", {{c1::originalException}})`. The original is stored as the {{c2::cause}}, accessible via `{{c3::e.getCause()}}`. This preserves {{c4::the root cause for debugging}}.			no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-cloze-008	Multiple catch blocks must be ordered {{c1::specific before general}}. Catching a {{c2::parent exception type}} before a {{c3::child type}} causes a {{c4::compile error}} ("exception already been caught") because the child type {{c5::IS-A instance of the parent}} and is permanently unreachable.			no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
exception-cloze-009	Multi-catch syntax: `catch ({{c1::IOException | SQLException}} e)` — catches multiple types in one block. The variable `e` is implicitly {{c2::`final`}} — {{c3::reassigning it inside the catch block}} causes a {{c4::compile error}}.			no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception-cloze-010	Exception propagation: if an exception is {{c1::not caught}} in the current method, it {{c2::propagates up the call stack}} to the caller. This continues until it is {{c3::caught}} or reaches the {{c4::JVM thread root}}, which prints the {{c5::stack trace}} and terminates the thread.			no12_exception_handling/theory/01-what-is-an-exception-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception-cloze-011	Custom checked exception: extend {{c1::`Exception`}} (not RuntimeException). Custom unchecked exception: extend {{c2::`RuntimeException`}}. Always provide a {{c3::constructor that accepts cause}} (`String, Throwable`) to support {{c4::exception chaining}}.			no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling
exception-cloze-012	Exception swallowing anti-pattern: catching an exception in an {{c1::empty catch block}} or discarding it without {{c2::logging, handling, or re-throwing}}. Catching and swallowing is {{c3::worse than not catching}} because it makes the failure {{c4::completely invisible}} — the application continues in a potentially {{c5::corrupted state}}.			no12_exception_handling/theory/02-finally-concepts.md | https://docs.oracle.com/javase/tutorial/essential/exceptions/	java::core::exception-handling java::interview
