ID	Front	Back	Source	Tags
multithreading-basic-001	What should you know about `Process vs Thread` in Multithreading?	A process is an isolated execution environment with its own dedicated memory space (allocated by the OS). A thread is a lightweight execution path that runs inside a process and shares its memory (heap and method area) with other threads of that process.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-028	Why does `Process vs Thread` matter in Java?	Threads share memory to communicate extremely fast without OS-level overhead. However, sharing mutable state makes them vulnerable to race conditions, unlike processes which are strictly isolated.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-002	What should you know about `Create thread using:` in Multithreading?	Threads can be created by subclassing `Thread`, implementing `Runnable`, or implementing `Callable` (which returns a result and can throw checked exceptions).	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-029	Why does `Create thread using:` matter in Java?	Decouples task logic from thread execution. Implementing interfaces preserves the single class inheritance slot.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-003	What should you know about `extends Thread` in Multithreading?	Inheriting from `java.lang.Thread` and overriding `run()`. The thread is executed by calling its `start()` method.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-030	Why does `extends Thread` matter in Java?	It is the simplest way to define thread tasks for small applications, though it limits class design options.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-004	What should you know about `implements Runnable` in Multithreading?	Implementing the `java.lang.Runnable` functional interface containing a single `run()` method returning `void` and throwing no checked exceptions.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-031	Why does `implements Runnable` matter in Java?	Decouples task logic from the execution environment. The same `Runnable` instance can be passed to multiple thread runners or thread pools.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-005	What should you know about `implements Callable` in Multithreading?	Implementing the `java.util.concurrent.Callable<V>` functional interface, which contains a `call()` method that returns a value of type `V` and can throw checked exceptions.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-032	Why does `implements Callable` matter in Java?	Enables threads to return results or propagate checked exceptions back to the parent thread.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-006	What should you know about `ExecutorService` in Multithreading?	A thread pool manager from `java.util.concurrent` that decouples task submission from execution details.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-033	Why does `ExecutorService` matter in Java?	Eliminates the overhead of creating/destroying individual threads manually and prevents system resource exhaustion under load.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-007	What should you know about `Lifecycle of Thread:` in Multithreading?	The lifecycle states defined by the JVM: NEW, RUNNABLE, BLOCKED, WAITING, TIMED_WAITING, and TERMINATED.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-034	Why does `Lifecycle of Thread:` matter in Java?	Understanding these states is crucial for debugging performance issues, locks, deadlocks, and thread leaks.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-008	What should you know about `New` in Multithreading?	The state of a thread immediately after instantiation, before the `start()` method is called.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-035	Why does `New` matter in Java?	Indicates a Java heap object exists but no OS-level thread resources have been allocated yet.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-009	What should you know about `Runnable` in Multithreading?	The thread state representing a thread that is either currently executing in the JVM or ready to execute, waiting for the OS thread scheduler.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-036	Why does `Runnable` matter in Java?	Indicates the thread is active and ready to perform work. High counts without progress point to CPU starvation.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-010	What should you know about `Running` in Multithreading?	The conceptual sub-state of `RUNNABLE` where a thread's instructions are actively executing on a CPU core.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-037	Why does `Running` matter in Java?	Indicates the thread is actively making progress on execution.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-011	What should you know about `Blocked` in Multithreading?	The state where a thread is waiting to acquire an object monitor lock to enter or re-enter a `synchronized` block/method.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-038	Why does `Blocked` matter in Java?	Crucial for identifying lock contention and synchronization bottlenecks.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-012	What should you know about `Waiting` in Multithreading?	The state where a thread is waiting indefinitely for another thread to perform a specific action (e.g. `Object.wait()`, `Thread.join()`).	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-039	Why does `Waiting` matter in Java?	Enables coordination between threads, letting threads yield CPU until notified.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-013	What should you know about `Timed Waiting` in Multithreading?	The state of a thread waiting for a specified period (e.g. `Thread.sleep(long)`, `Object.wait(long)`, `Thread.join(long)`).	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-040	Why does `Timed Waiting` matter in Java?	Allows threads to execute timed delays, backoff strategies, or timeout-guarded lock acquisitions.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-014	What should you know about `Terminated` in Multithreading?	The state of a thread that has completed its execution, either by returning normally from `run()` or by throwing an unhandled exception.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-041	Why does `Terminated` matter in Java?	Indicates the thread is dead and its OS-level resources are freed.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-015	What should you know about `start() vs run()` in Multithreading?	`start()` allocates OS resources and schedules a new thread to run `run()` asynchronously. Calling `run()` directly runs it synchronously in the caller's thread.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-042	Why does `start() vs run()` matter in Java?	Ensures true parallel execution. Using `run()` directly bypasses all concurrency.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-016	What should you know about `sleep` in Multithreading?	A static method `Thread.sleep(long)` that pauses the current executing thread for a specified duration, yielding the CPU.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-043	Why does `sleep` matter in Java?	Adds delays or pacing without releasing thread monitor locks.	28-multithreading/theory/02-runnable-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-017	What should you know about `join` in Multithreading?	An instance method `thread.join()` that blocks the current thread until the target thread terminates.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-044	Why does `join` matter in Java?	Coordinates dependency ordering, ensuring parent threads wait for worker threads to finish processing.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-018	What should you know about `yield` in Multithreading?	A static method `Thread.yield()` that suggests to the OS scheduler that the current thread is willing to yield its current CPU time slice.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-045	Why does `yield` matter in Java?	Can act as a scheduling optimization to prevent CPU hogging in busy-waiting loops.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-019	What should you know about `interrupt` in Multithreading?	A cooperative signal mechanism that sets a thread's interrupt status flag, waking it if it is blocked in sleep/wait/join.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-046	Why does `interrupt` matter in Java?	Standard, safe way to cancel a thread's task or wake it from blocked/waiting states.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-020	What should you know about `Daemon thread` in Multithreading?	A background service thread (like GC) that does not prevent the JVM from exiting when all user threads finish.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-047	Why does `Daemon thread` matter in Java?	Ideal for background helper tasks that should stop immediately when the application shuts down.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-021	What should you know about `User thread` in Multithreading?	A standard, non-daemon thread. The JVM continues executing as long as at least one user thread remains alive.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-048	Why does `User thread` matter in Java?	Ensures foreground tasks, HTTP servers, or critical operations finish running before application exit.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-022	What should you know about `Thread priority` in Multithreading?	A scheduling hint (value 1 to 10) suggesting CPU core allocation bias.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-049	Why does `Thread priority` matter in Java?	Used to give CPU preference to time-critical threads, though execution guarantees are weak.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-023	What should you know about `Race condition` in Multithreading?	A concurrency bug where program correctness depends on the timing/interleaving of execution steps by multiple threads.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-050	Why does `Race condition` matter in Java?	Causes hard-to-reproduce data corruption and bugs.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-024	What should you know about `Critical section` in Multithreading?	A block of code accessing shared mutable resources that must only be executed by one thread at a time.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-051	Why does `Critical section` matter in Java?	Guards shared state against concurrent modification, preventing race conditions.	28-multithreading/theory/03-join-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-025	What should you know about `Thread safety` in Multithreading?	The property of code ensuring it behaves correctly when accessed by multiple threads concurrently without external synchronization.	28-multithreading/theory/04-thread-safety-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-052	Why does `Thread safety` matter in Java?	Ensures program correctness, data integrity, and stability in multi-threaded environments.	28-multithreading/theory/04-thread-safety-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-026	What should you know about `Immutable object` in Multithreading?	An object whose state cannot be changed after creation. It is inherently thread-safe without requiring locks.	28-multithreading/theory/04-thread-safety-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-053	Why does `Immutable object` matter in Java?	Simplifies multi-threaded design by removing the need for locking when sharing state.	28-multithreading/theory/04-thread-safety-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-027	What should you know about `Atomic operation` in Multithreading?	An indivisible operation that appears to execute instantaneously. Other threads never see intermediate states.	28-multithreading/theory/04-thread-safety-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-054	Why does `Atomic operation` matter in Java?	Eliminates race conditions for single actions without locking overhead.	28-multithreading/theory/04-thread-safety-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-055	What is a common mistake with `Process vs Thread`?	Assuming that thread static variables are private to each thread (they are shared) or that separate processes can access each other's memory directly without IPC.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-056	What is a common mistake with `Create thread using:`?	Calling `.run()` instead of `.start()`, which runs the code synchronously in the calling thread instead of spawning a new OS thread.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-057	What is a common mistake with `extends Thread`?	Subclassing `Thread` when the class already needs to inherit from a base service class (causing a compiler error).	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
multithreading-basic-058	What is a common mistake with `implements Runnable`?	Trying to throw checked exceptions directly from the `run()` method without catching them.	28-multithreading/theory/01-process-vs-thread-concepts.md | https://docs.oracle.com/javase/tutorial/essential/concurrency/	java::core::multithreading
