ID	Front	Back	Extra	Code	Source	Tags
annotation-extra-001	Explain `What is an annotation?` deeply enough for review.	Syntactic metadata added to Java source code using @interface. It does not affect execution directly but is processed at compile-time or runtime.	Annotations attach metadata. Example:\n@Target(ElementType.TYPE)\n@Retention(RetentionPolicy.RUNTIME)\npublic @interface Config {\n    String url();\n}\nProcessed at compile-time (via APT) or runtime (via Reflection).		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-extra-002	Explain `Built-in annotations:` deeply enough for review.	Standard annotations provided by the JDK for compilation checks, suppressing warnings, or meta-annotation purposes.	Built-in compiler annotations: @Override, @Deprecated, @SuppressWarnings, @SafeVarargs, @FunctionalInterface.\nBuilt-in meta-annotations: @Target, @Retention, @Documented, @Inherited, @Repeatable.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-extra-003	Explain `@Override` deeply enough for review.	Instructs the compiler to verify that the annotated method overrides/implements a method from a superclass/interface.	Enforces override constraints.\n\nGotcha (Private Methods):\nclass Parent { private void show() {} }\nclass Child extends Parent {\n    @Override // COMPILE ERROR: show() is private in Parent\n    public void show() {}\n}		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-extra-004	Explain `@Deprecated` deeply enough for review.	Marks a program element as obsolete, causing compiler warnings when used. Supports 'since' and 'forRemoval'.	"Marks element obsolete.\n\nExample:\n@Deprecated(since = ""17"", forRemoval = true)\npublic void obsoleteMethod() {}\n\nCalling this method will trigger a compiler warning that it is marked for removal."		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-extra-005	Explain `@SuppressWarnings` deeply enough for review.	Instructs the compiler to suppress specified compiler warnings for the annotated element and its members.	"Suppresses specific compiler warnings.\n\nExample:\n@SuppressWarnings({""unchecked"", ""rawtypes""})\npublic List createList() {\n    return new ArrayList(); // Suppresses rawtype/unchecked warnings\n}"		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-extra-006	Explain `@FunctionalInterface` deeply enough for review.	Asserts that an interface is a functional interface (having exactly one abstract method). If not, compiler throws an error.	Enforces that the interface has exactly one abstract method.\n\nExample:\n@FunctionalInterface\ninterface Calculator {\n    int add(int a, int b);\n    default int subtract(int a, int b) { return a - b; } // Allowed\n    static void log() {} // Allowed\n}		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-extra-007	Explain `@SafeVarargs` deeply enough for review.	Asserts that a generic varargs parameter is handled safely (no heap pollution). Suppresses unchecked generic varargs warnings.	Suppresses heap pollution warnings for generic varargs.\n\nRule: Can only be applied to static, final, or private (Java 9+) methods.\n\nExample:\n@SafeVarargs\npublic static <T> List<T> asList(T... elements) {\n    // Safe because we only read from the array\n    return Arrays.asList(elements);\n}		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-extra-008	Explain `Meta-annotations:` deeply enough for review.	Annotations applied to other annotations to configure their target, retention, doc inclusion, and inheritance.	Meta-annotations configure other annotations. Example:\n@Target(ElementType.ANNOTATION_TYPE)\npublic @interface Meta {}		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-extra-009	Explain `@Target` deeply enough for review.	Specifies which Java elements (classes, methods, fields, etc.) an annotation type can be applied to.	Restricts where annotation is placed. Example:\n@Target({ElementType.FIELD, ElementType.METHOD})\n@interface MyTag {}\n\nIf applied to a class/type: Compile Error.		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
annotation-extra-010	Explain `@Retention` deeply enough for review.	Defines how long an annotation is preserved: SOURCE (discarded), CLASS (in class file, default), or RUNTIME (loaded in JVM).	Preservation policy.\n1. RetentionPolicy.SOURCE: Discarded by compiler.\n2. RetentionPolicy.CLASS: Kept in class file (default).\n3. RetentionPolicy.RUNTIME: Kept in JVM memory, queryable via reflection:\nMyClass.class.isAnnotationPresent(MyRuntimeAnno.class);		17-annotation/theory/01-what-is-an-annotation-concepts.md | https://docs.oracle.com/javase/tutorial/java/annotations/	java::core::annotation
