ID	Front	Back	Code	Source	Tags
build_compile_run-basic-001	What is the main purpose of the `javac` tool?	It compiles human-readable Java source files (`.java`) into bytecode files (`.class`) that the JVM can execute.		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/javac.html	java::core::build-compile-run
build_compile_run-basic-002	What is the purpose of the `java` command-line launcher?	It starts a JVM, loads a specified compiled class, and runs its `public static void main(String[] args)` method.		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::build-compile-run
build_compile_run-basic-003	What file format is a JAR (`.jar`) archive based on?	The standard ZIP compression format.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-004	What is the standard path and filename for a JAR's metadata file?	`META-INF/MANIFEST.MF`		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-005	What is the purpose of the `Main-Class` manifest attribute?	It defines the entry-point class containing the `main` method that the JVM executes during a `java -jar` command.		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/specs/man/java.html	java::core::build-compile-run
build_compile_run-basic-006	What is the purpose of the Classpath in Java?	It specifies the directories and JAR files where the compiler (`javac`) and launcher (`java`) search for class definitions.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-007	What classpath path separator is used on Windows vs. Linux/macOS?	Windows uses a semicolon (`;`); Linux/macOS uses a colon (`:`).		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-008	What is the consequence of omitting the trailing newline in a custom `MANIFEST.MF` file?	The Java manifest parser will ignore the last line/attribute of the file (e.g., `Main-Class`).		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-009	What configuration file does Apache Maven use to define a project and its dependencies?	`pom.xml` (Project Object Model).		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-010	What configuration files does Gradle commonly use for Java builds?	`build.gradle` (Groovy DSL) or `build.gradle.kts` (Kotlin DSL).		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-011	What is a "transitive dependency" in dependency management?	A library that is required by one of your project's direct dependencies, resolved and downloaded automatically by build tools.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-012	What is the standard Maven directory path for Java production source files?	`src/main/java/`		38-build-compile-run/theory/02-standard-project-structure-concepts.md	java::core::build-compile-run
build_compile_run-basic-013	What is the standard Maven directory path for Java production resources?	`src/main/resources/`		38-build-compile-run/theory/02-standard-project-structure-concepts.md	java::core::build-compile-run
build_compile_run-basic-014	What is the standard Maven directory path for JUnit test source files?	`src/test/java/`		38-build-compile-run/theory/02-standard-project-structure-concepts.md	java::core::build-compile-run
build_compile_run-basic-015	What JUnit Jupiter annotation is required to mark a method as a runnable unit test?	`@Test` (from package `org.junit.jupiter.api`).		38-build-compile-run/theory/02-standard-project-structure-concepts.md	java::core::build-compile-run
build_compile_run-basic-016	What is the correct order of parameters in JUnit's `assertEquals` assertion?	`assertEquals(expected, actual)` (expected value first, actual value second).		38-build-compile-run/theory/02-standard-project-structure-concepts.md	java::core::build-compile-run
build_compile_run-basic-017	What is the main cause of a `NoClassDefFoundError` at runtime?	A class was available during compilation, but its compiled bytecode (`.class`) is missing from the classpath during execution.		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/javase/tutorial/essential/environment/paths.html	java::core::build-compile-run
build_compile_run-basic-018	How does a `ClassNotFoundException` differ from a `NoClassDefFoundError`?	`ClassNotFoundException` is a checked exception thrown during dynamic class loading (e.g. `Class.forName()`); `NoClassDefFoundError` is a linkage error thrown when static code references a class that is missing at runtime.		38-build-compile-run/theory/01-javac-concepts.md | https://docs.oracle.com/javase/tutorial/essential/environment/paths.html	java::core::build-compile-run
build_compile_run-basic-019	Why are resource files placed in `src/main/resources/` instead of `src/main/java/`?	Compile tasks only translate code in `java/` and discard non-Java files; resource folders tell the build tool to copy files directly to the classpath output.		38-build-compile-run/theory/02-standard-project-structure-concepts.md	java::core::build-compile-run
build_compile_run-basic-020	What occurs if a resource file is loaded via ClassLoader but is missing from the classpath?	`ClassLoader.getResourceAsStream()` returns `null`, often leading to a runtime `NullPointerException`.		38-build-compile-run/theory/02-standard-project-structure-concepts.md | https://docs.oracle.com/javase/tutorial/essential/environment/paths.html	java::core::build-compile-run
build_compile_run-basic-021	What command syntax runs an executable JAR directly?	`java -jar <archive-name>.jar`		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-022	How do you exclude a conflicting transitive dependency in Maven?	By adding an `<exclusions>` block containing `<exclusion>` for the conflicting dependency inside the corresponding `<dependency>` declaration.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-023	What is the default conflict resolution strategy for dependencies in Maven vs. Gradle?	Maven uses "nearest definition" (shortest path in dependency tree); Gradle defaults to the "newest version".		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
build_compile_run-basic-024	What is "Jar Hell"?	Runtime classloader conflicts or errors (like `NoSuchMethodError`) caused by having multiple versions of the same library or class on the classpath.		38-build-compile-run/theory/01-javac-concepts.md	java::core::build-compile-run
