ID	Question	Code	Answer	Explanation	Source	Tags
io-code-001	What is the benefit of using try-with-resources in this code block?	"try (BufferedReader reader = new BufferedReader(new FileReader(""file.txt""))) {\n    System.out.println(reader.readLine());\n}"	Automatically closes resources	It ensures that the BufferedReader (and underlying FileReader) is automatically closed when the try block exits, even if an exception occurs, avoiding resource leaks.	no26_io/README.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io java::code
io-code-002	What is the output of this code, or does it fail to compile/throw an exception?	"File file = new File(""non_existent_folder/file.txt"");\ntry {\n    boolean created = file.createNewFile();\n    System.out.println(created);\n} catch (IOException e) {\n    System.out.println(""Exception"");\n}"	Exception	createNewFile() cannot create a file if the parent directory ('non_existent_folder') does not exist. It throws an IOException at runtime.	no26_io/theory/01-file-concepts.md	java::core::io java::code
io-code-003	What is the output of this code, or does it fail to compile/throw an exception?	"File dir = new File(""test_dir"");\ndir.mkdir();\nFile file = new File(dir, ""temp.txt"");\nfile.createNewFile();\nSystem.out.println(dir.delete());"	false	File.delete() returns false when called on a directory that is not empty. Here, test_dir contains temp.txt, so deletion fails.	no26_io/theory/01-file-concepts.md	java::core::io java::code
io-code-004	What is the output of this code, or does it fail to compile/throw an exception?	"File file = new File(""test.txt"");\nSystem.out.println(file.exists());"	false	Creating a File object only creates the path representation in memory. It does not touch the filesystem, so exists() returns false unless the file is already present on disk.	no26_io/theory/01-file-concepts.md	java::core::io java::code
io-code-005	What is the output of this code, or does it fail to compile/throw an exception?	"File dir = new File(""a/b/c"");\nSystem.out.println(dir.mkdir() + "" "" + dir.mkdirs());"	false true	mkdir() returns false because parent directories a/ and a/b/ do not exist. mkdirs() returns true because it creates all missing parent directories recursively.	no26_io/theory/01-file-concepts.md	java::core::io java::code
io-code-006	What is the output of this code, or does it fail to compile/throw an exception?	"try (FileInputStream fis = new FileInputStream(""empty.txt"")) {\n    System.out.println(fis.read());\n} catch (IOException e) {\n    System.out.println(""Error"");\n}"	-1	InputStream.read() returns -1 when the end of the stream is reached. Since empty.txt is empty, it immediately returns -1.	no26_io/theory/01-file-concepts.md	java::core::io java::code
io-code-007	What is the output of this code, or does it fail to compile/throw an exception?	"try (FileOutputStream fos = new FileOutputStream(""out.txt"")) {\n    fos.write(65);\n}"	Writes character 'A' to out.txt	FileOutputStream.write(int) writes the lower 8 bits of the integer argument as a byte. 65 is the ASCII/Unicode value for the character 'A'.	no26_io/theory/01-file-concepts.md	java::core::io java::code
io-code-008	What is the output of this code, or does it fail to compile/throw an exception?	"try (FileReader fr = new FileReader(""test.txt"");\n     FileWriter fw = new FileWriter(""test_copy.txt"")) {\n    int data;\n    while ((data = fr.read()) != -1) {\n        fw.write(data);\n    }\n}"	Copies text contents successfully	FileReader and FileWriter are character streams, which copy text characters correctly while performing character encoding translation.	no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io java::code
io-code-009	What is the output of this code, or does it fail to compile/throw an exception?	"try (BufferedWriter bw = new BufferedWriter(new FileWriter(""out.txt""))) {\n    bw.write(""Line 1"");\n}"	"Writes ""Line 1"" to out.txt"	Although BufferedWriter buffers output in memory, wrapping it in a try-with-resources statement ensures it is automatically closed when exiting the block, which flushes the buffer to disk.	no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io java::code
io-code-010	What happens when attempting to compile this class?	class Data implements Serializable {\n    static int x = 10;\n    transient int y = 20;\n    int z = 30;\n}	Compiles successfully	Serializable classes can contain static and transient fields. Static and transient fields will not be saved when serialized.	no26_io/theory/03-serialization-concepts.md	java::core::io java::code
io-code-011	What is the output of this code, or does it fail to compile/throw an exception?	"// After deserialization of Data object (x = 10, y = 20, z = 30)\nSystem.out.println(deserializedData.y + "" "" + deserializedData.z);"	0 30	z is a normal field so it is restored as 30. y is marked transient, so it is not serialized and resets to its default value 0. x is static and is not serialized, though it can still be accessed via class context.	no26_io/theory/03-serialization-concepts.md	java::core::io java::code
io-code-012	What happens when executing this code?	class Address {}\nclass Person implements Serializable {\n    Address address = new Address();\n}	throws NotSerializableException	When serializing an object, Java attempts to serialize its entire object graph. Since Person references Address and Address does not implement Serializable, it throws NotSerializableException at runtime.	no26_io/theory/03-serialization-concepts.md	java::core::io java::code
io-code-013	What happens when executing this code?	class Address {}\nclass Person implements Serializable {\n    transient Address address = new Address();\n}	Serializes successfully	Marking the non-serializable field address as transient tells Java to skip it during serialization, which avoids the NotSerializableException.	no26_io/theory/03-serialization-concepts.md	java::core::io java::code
io-code-014	What happens when executing this code?	Scanner scanner = new Scanner(System.in);\nscanner.close();\nScanner scanner2 = new Scanner(System.in);\nscanner2.nextLine();	throws NoSuchElementException	Closing scanner closes the underlying System.in stream. scanner2 attempts to read from the closed stream, which throws a NoSuchElementException.	no26_io/theory/03-serialization-concepts.md	java::core::io java::code
io-code-015	What happens when executing this code?	"class Parent {\n    Parent(String msg) {}\n}\nclass Child extends Parent implements Serializable {\n    Child() { super(""Hello""); }\n}"	throws InvalidClassException	When deserializing a subclass, Java must call the no-argument constructor of its first non-serializable parent class (Parent). Since Parent does not define a no-argument constructor, deserialization fails at runtime with InvalidClassException.	no26_io/theory/03-serialization-concepts.md	java::core::io java::code
io-code-016	What is the output of this code, or does it fail to compile/throw an exception?	"File file = new File(""test.txt"");\nSystem.out.println(file.getName());"	test.txt	getName() returns the last name in the pathname's name sequence, which is test.txt. This does not require disk access.	no26_io/theory/01-file-concepts.md	java::core::io java::code
io-code-017	What is the output of this code, or does it fail to compile/throw an exception?	"BufferedOutputStream bos = new BufferedOutputStream(new FileOutputStream(""temp.txt""));\nbos.write(65);\n// System crash or exit without close/flush"	The file temp.txt may remain empty (0 bytes) on disk.	Because BufferedOutputStream buffers writes in memory, data is not written to the underlying file descriptor until the buffer is full (8KB) or flush()/close() is called.	no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io java::code
io-code-018	What happens when attempting to compile this class?	class Student implements Serializable {\n    private static final long serialVersionUID = 1;\n}	fails to compile	The field serialVersionUID must be of type long. Specifying integer 1 instead of 1L causes a compilation error (type mismatch).	no26_io/theory/03-serialization-concepts.md	java::core::io java::code
io-code-019	What is the output of this code, or does it fail to compile/throw an exception?	ByteArrayOutputStream baos = new ByteArrayOutputStream();\nbaos.write(65);\nSystem.out.println(baos.toString());	A	ByteArrayOutputStream writes bytes to an in-memory byte array. toString() decodes those bytes using the default charset, yielding the character A.	no26_io/theory/02-bufferedinputstream-concepts.md	java::core::io java::code
io-code-020	What happens if you try to serialize an enum in Java?	enum Status { ACTIVE, INACTIVE }\n// Serializing Status.ACTIVE	Serializes successfully	Java handles enum serialization specially. Only the name of the enum constant is serialized, and deserialization uses Enum.valueOf() to recover the reference. Enum classes are implicitly serializable.	no26_io/theory/03-serialization-concepts.md	java::core::io java::code
io-code-021	What happens when this code is executed?	"File file = new File(""existing.txt""); // exists on disk\nFileOutputStream fos = new FileOutputStream(file);\nfos.close();\nSystem.out.println(file.length());"	0	Instantiating FileOutputStream without the append flag set to true opens the file in write mode, truncating its length to 0 bytes immediately.	no26_io/theory/01-file-concepts.md	java::core::io java::code
