ID	Question	Code	Answer	Explanation	Source	Tags
classloader-code-001	What will be printed when this code is executed?	class TestClass {\n    static int value = 100;\n    static { System.out.print(\"Init \"); }\n}\n// In Main:\nClass<?> c = Class.forName(\"TestClass\");\nSystem.out.print(TestClass.value);	Init 100	Calling Class.forName(\"TestClass\") dynamically loads, links, and initializes TestClass, which executes its static block and prints 'Init '. Then accessing TestClass.value prints '100'.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::classloader java::code
classloader-code-002	What will be printed when this code is executed?	class PrepClass {\n    static final int CONSTANT = 42;\n    static { System.out.print(\"Init \"); }\n}\n// In Main:\nint x = PrepClass.CONSTANT;\nSystem.out.print(x);	42	Accessing a static final variable initialized to a compile-time constant literal does NOT trigger class initialization. The compiler copies the constant value directly into Main's bytecode (constant folding), so 'Init ' is not printed.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::classloader java::code
classloader-code-003	What is printed by the following code?	ClassLoader loader = ClassLoader.getSystemClassLoader();\nSystem.out.println(loader.getParent().getClass().getSimpleName());	PlatformClassLoader	The parent of the System/Application ClassLoader is the Platform ClassLoader (in Java 9+). In Java 8 and earlier, it was the Extension ClassLoader.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader java::code
classloader-code-004	To respect the parent delegation model in a custom ClassLoader, you should override this method:	class MyLoader extends ClassLoader {\n    // Should you override loadClass or findClass?\n}	findClass	Overriding findClass(String name) ensures the parent delegation model remains intact, as the default loadClass implementation calls the parent classloader first, and only calls findClass if the parent cannot find the class. Overriding loadClass directly breaks parent delegation.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader java::code
classloader-code-005	What exception is thrown by the JVM when a class casting operation fails because the class was loaded by two different ClassLoaders?	// loaderA and loaderB are different loaders\nClass<?> classA = loaderA.loadClass(\"com.example.Service\");\nClass<?> classB = loaderB.loadClass(\"com.example.Service\");\nObject obj = classB.getDeclaredConstructor().newInstance();\ncom.example.Service service = (com.example.Service) obj; // Cast to loaderA's type	ClassCastException	Even though the class name and bytes are identical, they belong to different classloader namespaces, making them distinct types in the eyes of the JVM, causing a ClassCastException at runtime.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/javase/specs/jvms/se21/html/jvms-5.html	java::core::classloader java::code java::interview
classloader-code-006	How do you programmatically configure a thread context classloader to load third-party plugins?	ClassLoader myPluginLoader = new URLClassLoader(urls);\n// Set context class loader for the current thread	Thread.currentThread().setContextClassLoader(myPluginLoader);	Setting the Thread Context ClassLoader (TCCL) allows core platform APIs running on this thread to access classes loaded by the custom plugin classloader.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader java::code
classloader-code-007	What does this print?	class Test {\n    static { System.out.print(\"Init \"); }\n}\n// In Main:\nClass.forName(\"Test\", false, Main.class.getClassLoader());\nSystem.out.print(\"Done\");	Done	The second parameter to Class.forName is initialize. Since it is set to false, the class Test is loaded but not initialized (its static blocks do not run). So 'Init ' is not printed.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader java::code
classloader-code-008	What does this print?	ClassLoader loader = String.class.getClassLoader();\nSystem.out.println(loader);	null	Core Java classes (like java.lang.String) are loaded by the Bootstrap ClassLoader, which is represented as null in the Java API.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader java::code
classloader-code-009	What is the difference between ClassNotFoundException and NoClassDefFoundError?	// Scenario A:\nClass.forName(\"NonExistentClass\");\n\n// Scenario B:\n// A class was compiled successfully, but at runtime the class definition cannot be found.	Scenario A throws ClassNotFoundException; Scenario B throws NoClassDefFoundError.	ClassNotFoundException is thrown when an application tries to load a class at runtime using its string name (e.g. Class.forName) but the class cannot be found. NoClassDefFoundError is thrown when the JVM or a ClassLoader tries to load the definition of a class (often during normal execution) and no definition could be found.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader java::code java::interview
classloader-code-010	What exception is thrown if you attempt to instantiate an abstract class or interface using reflection?	interface MyInterface {}\n// ...\nMyInterface.class.getDeclaredConstructor().newInstance();	InstantiationException	InstantiationException is thrown when reflection is used to create an instance of a class, but the specified class object cannot be instantiated because it represents an interface, an abstract class, an array class, a primitive type, or void.	32-classloader/theory/01-class-loading-process-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/lang/ClassLoader.html	java::core::classloader java::code
