ID	Front	Back	Code	Source	Tags
interview_questions-basic-001	What should you know about `How are JVM, JDK, and JRE different?` in Common Java Core Interview Questions?	The JVM executes bytecode and manages runtime services such as memory, JIT, and GC.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-002	Why does `How are JVM, JDK, and JRE different?` matter in Java?	It matters because runtime behavior explains performance, memory errors, startup behavior, and many interview questions. A common confusion is mixing compile-time concepts with JVM runtime services.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-003	What should you know about `Does Java pass references?`in Common Java Core Interview Questions?	Does Java pass references? is a specific concept in Common Java Core Interview Questions; learn its Java rule, valid use cases, and failure mode rather than only its name.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-004	Why does `Does Java pass references?` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-005	What should you know about `What is the difference between == and .equals()?` in Common Java Core Interview Questions?	equals() defines logical equality between objects.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-006	Why does `What is the difference between == and .equals()?` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-007	What should you know about `Why is String immutable?`in Common Java Core Interview Questions?	Why is String immutable? is a specific concept in Common Java Core Interview Questions; learn its Java rule, valid use cases, and failure mode rather than only its name.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-008	Why does `Why is String immutable?` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-009	What should you know about `How are String, StringBuilder, and StringBuffer different?`in Common Java Core Interview Questions?	How are String, StringBuilder, and StringBuffer different? is a specific concept in Common Java Core Interview Questions; learn its Java rule, valid use cases, and failure mode rather than only its name.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-010	Why does `How are String, StringBuilder, and StringBuffer different?` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-011	What should you know about `How does HashMap work?` in Common Java Core Interview Questions?	A Map stores key-value pairs and retrieves values by key.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-012	Why does `How does HashMap work?` matter in Java?	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-013	What should you know about `What improvements did HashMap have in Java 8?` in Common Java Core Interview Questions?	A Map stores key-value pairs and retrieves values by key.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-014	Why does `What improvements did HashMap have in Java 8?` matter in Java?	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-015	What should you know about `How are ArrayList and LinkedList different?` in Common Java Core Interview Questions?	A List is an ordered collection that can contain duplicates and supports positional access.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-016	Why does `How are ArrayList and LinkedList different?` matter in Java?	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.		45-interview-questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-017	What should you know about `How does HashSet remove duplicates?` in Common Java Core Interview Questions?	A Set is a collection that rejects duplicates according to equality rules.		45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-018	Why does `How does HashSet remove duplicates?` matter in Java?	It matters because choosing the wrong data structure changes correctness, performance, and duplicate-handling behavior. A common confusion is memorizing class names without knowing lookup order, equality rules, or iteration behavior.		45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-019	What should you know about `How are final, finally, and finalize different?` in Common Java Core Interview Questions?	Final means the variable, method, class, or parameter is restricted from later change in a specific way.		45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-020	Why does `How are final, finally, and finalize different?` matter in Java?	Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label.		45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions
interview_questions-basic-021	What should you know about `How are checked and unchecked exceptions different?` in Common Java Core Interview Questions?	An exception represents an abnormal condition that a program may catch or propagate.		45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-022	Why does `How are checked and unchecked exceptions different?` matter in Java?	It matters because exception behavior decides whether failures are handled locally, propagated, or allowed to stop the program. A common confusion is treating every exception the same instead of separating recoverable conditions from programming bugs.		45-interview-questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
