ID	Text	Extra	Code	Source	Tags
design_patterns-cloze-001	In a Double-Checked Locking Singleton implementation, the reference variable must be declared {{c1::volatile}} to prevent {{c2::instruction reordering}} by the compiler/CPU during object creation.	Without volatile, the JVM can publish the object's reference address before executing the constructor, exposing a partially initialized object to other threads.		43-design-patterns/theory/01-singleton-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-002	The Bill Pugh Singleton pattern achieves lazy loading by encapsulating the instance inside a {{c1::nested static helper}} class, which is loaded only when getInstance() is invoked.	Since nested static classes are loaded lazily upon active reference, the outer class loading does not trigger instantiation.		43-design-patterns/theory/01-singleton-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-003	The Observer pattern defines a {{c1::one-to-many}} relationship between objects, utilizing an {{c2::interface}} to decouple the subject from concrete observer classes.	This allows any number of observers to subscribe or unsubscribe dynamically at runtime without affecting the subject class.		43-design-patterns/theory/02-observer-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-004	The Factory Method pattern defers object instantiation decisions to subclasses by declaring an {{c1::abstract factory method}} signature inside the creator class.	This promotes creator-to-product polymorphism, as client code depends only on the abstract product type.		43-design-patterns/theory/01-singleton-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-005	The Builder pattern solves the {{c1::telescoping constructor}} anti-pattern, providing a {{c2::fluent API}} that constructs complex objects step-by-step.	Telescoping constructors lead to unreadable constructor chaining and high rates of parameter-ordering mistakes.		43-design-patterns/theory/01-singleton-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-006	The {{c1::Abstract Factory}} pattern is used to create families of related or dependent objects without specifying their concrete classes.	This pattern helps ensure that multiple related objects (such as Mac buttons and Mac scrollbars) are used consistently together.		43-design-patterns/theory/01-singleton-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-007	The Prototype design pattern relies on copying existing objects, which is often implemented in Java by overriding the {{c1::clone()}} method of the {{c2::Cloneable}} interface.	Cloneable is a marker interface. Overriding clone() allows making copies of configured objects instead of creating new instances from scratch.		43-design-patterns/theory/01-singleton-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-008	The {{c1::Adapter}} pattern uses {{c2::composition}} to wrap an incompatible class (adaptee) inside an adapter class that implements the target interface.	Java only supports single class inheritance, so the object adapter variant using composition is preferred over class adapters using inheritance.		43-design-patterns/theory/01-singleton-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-009	A Decorator class implements the same interface as the wrapped object and delegates calls to it, supporting recursive {{c1::decorator chaining}} to combine behaviors at runtime.	This provides a flexible runtime alternative to compile-time subclassing for adding features.		43-design-patterns/theory/01-singleton-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-010	In the Template Method pattern, the main skeleton method is declared {{c1::final}} to prevent subclasses from modifying the execution algorithm sequence.	Subclasses can only override abstract or hook methods called by the final template method.		43-design-patterns/theory/02-observer-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-011	Modifying a Java collection structurally while iterating over it via an external iterator triggers a {{c1::ConcurrentModificationException}}, unless modified via {{c2::iterator.remove()}}.	This protects the iterator's state alignment against side-effects during traversal.		43-design-patterns/theory/02-observer-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
design_patterns-cloze-012	A Repository acts as an in-memory collection of domain objects, working at the aggregate level, whereas a {{c1::DAO}} maps closely to low-level database table operations.	Repositories hide the persistence mechanism, allowing the domain model to remain database-agnostic.		43-design-patterns/theory/02-observer-concepts.md | https://refactoring.guru/design-patterns	java::core::design-patterns
