ID	Front	Back	Code	Source	Tags
modifiers-basic-001	What are the four access modifiers in Java from most restrictive to least restrictive?	1. private: visible only within the declaring class\n2. default (package-private): visible only within the declaring package\n3. protected: visible within the package and to subclasses in other packages\n4. public: visible to all packages		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-002	If a subclass in a different package inherits a protected member, how is it allowed to access that member?	Only through inheritance (via `this` or `super` references). It cannot access it using a reference of the superclass type.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-003	Why does declaring a method `public` inside a default (package-private) class not make it accessible everywhere?	Because the enclosing class itself is package-private and cannot be imported or accessed outside its package.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-004	Why is writing the keyword `default` on a class variable or method inside a standard class a compiler error?	The default access level is specified by omitting the modifier entirely. The `default` keyword is only valid for default methods in interfaces, switch blocks, or annotations.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-005	What is the visibility scope of `private` members in Java, and can nested inner classes access private members of their outer class?	Private members are accessible only within the declaring top-level class. Yes, nested inner classes can fully access private members of their outer class.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-006	What happens if a subclass defines a method with the exact same signature as a `private` method in its superclass?	It does not override it. It is treated as an entirely separate method, and dynamic binding will not dispatch calls to the subclass version.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-007	In which Java memory region are `static` variables allocated, and when does this allocation occur?	They are allocated in Metaspace (part of the class metadata) when the JVM loads the class.		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/classvars.html	java::core::modifiers
modifiers-basic-008	Why does invoking a static method on a reference variable that points to `null` NOT throw a `NullPointerException`?	Because static method calls are resolved at compile time based on the static type of the reference variable, not the runtime object.		10-modifiers/theory/01-access-modifier-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/classvars.html	java::core::modifiers
modifiers-basic-009	What is the main design rule for declaring `abstract` methods in terms of method body syntax?	An abstract method must not have a body (no braces); it must end with a semicolon.		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-010	If a class contains at least one `abstract` method, what is the compiler rule for the class declaration?	The class itself must be declared `abstract`.		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-011	What does `synchronized` do when applied to a non-static (instance) method?	It locks the execution of the method on the calling instance's monitor lock (`this`).		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-012	What does `synchronized` do when applied to a static method?	It locks execution on the `Class` object representing the enclosing class (e.g., `MyClass.class`).		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-013	Why do static synchronized methods and instance synchronized methods NOT block each other?	Because they acquire different locks (the Class object lock vs. the instance 'this' lock).		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-014	What two guarantees does the `volatile` keyword provide for a variable shared between threads?	1. Visibility (threads read/write directly from/to main memory)\n2. Ordering (prevents instruction reordering around the variable)		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-015	Why does marking a variable as `volatile` NOT guarantee thread safety for operations like `count++`?	Because `volatile` does not guarantee atomicity; compound operations still require multiple steps (read, modify, write) which can be interleaved.		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-016	What does the `transient` keyword do during Java object serialization?	It marks a field so that the serialization engine skips writing its value to the output stream.		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-017	What does the `native` modifier indicate when applied to a method declaration?	It indicates that the method is implemented in platform-specific machine code (typically C/C++) rather than in Java.		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-018	What was the purpose of the `strictfp` keyword in Java (pre-Java 17)?	It forced all floating-point calculations to adhere strictly to the IEEE 754 standard, ensuring consistent precision across different CPU architectures.		10-modifiers/theory/02-abstract-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-019	When do `static` blocks run in a Java application?	They run exactly once when the JVM first loads the class into memory, before any instance is created or static method is called.		10-modifiers/theory/03-static-block-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/classvars.html	java::core::modifiers
modifiers-basic-020	What happens if an unhandled checked exception is thrown inside a `static` initialization block?	The class loading fails, and the JVM throws an `ExceptionInInitializerError` at runtime.		10-modifiers/theory/03-static-block-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/classvars.html	java::core::modifiers
modifiers-basic-021	How does a static nested class differ from an inner class regarding its outer class instance reference?	A static nested class does not have an implicit reference to an instance of the outer class, meaning it can be instantiated without an outer object.		10-modifiers/theory/03-static-block-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/classvars.html	java::core::modifiers
modifiers-basic-022	What is the correct syntax order for importing static members of a class?	`import static package.ClassName.memberName;` (or `*`). Writing `static import` is a syntax error.		10-modifiers/theory/03-static-block-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/classvars.html	java::core::modifiers
modifiers-basic-023	Does declaring a class as `final` make all of its fields implicitly final?	No. It only prevents the class from being extended. The fields must still be explicitly declared `final` if you want them to be immutable.		10-modifiers/theory/03-static-block-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-024	What is a blank final instance variable, and where must it be initialized?	It is a final field that is not initialized at its declaration. It must be initialized in every constructor of the class.		10-modifiers/theory/03-static-block-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
modifiers-basic-025	What does marking a method parameter as `final` accomplish?	It prevents the parameter variable from being reassigned to a different value or reference inside the method body.		10-modifiers/theory/03-static-block-concepts.md | https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html	java::core::modifiers
