ID	Text	Extra	Code	Source	Tags
synchronization_concurrency-cloze-001	In Java, the compiler inserts the {{c1::`monitorenter`}} and {{c2::`monitorexit`}} bytecode instructions to implement `synchronized` blocks.	This guarantees that threads acquire and release the object monitor lock, preventing race conditions.		no29_synchronization_concurrency/theory/01-synchronized-method-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-002	Calling `wait()`, `notify()`, or `notifyAll()` outside a synchronized block throws a {{c1::`IllegalMonitorStateException`}} at runtime.	Threads must own the object's monitor lock before manipulating the wait or notification queues.		no29_synchronization_concurrency/theory/01-synchronized-method-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-003	The four conditions necessary for a deadlock to occur are Mutual Exclusion, Hold and Wait, No Preemption, and {{c1::Circular Wait}}.	Breaking any one of these conditions prevents deadlocks. Lock ordering targeting locks in sorted sequence breaks the Circular Wait condition.		no29_synchronization_concurrency/theory/02-deadlock-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-004	Unlike deadlock where threads are blocked and consume no CPU, in {{c1::livelock}}, threads actively change their state and consume CPU but make no forward progress.	Starvation occurs when a thread is permanently denied CPU time or lock acquisition due to lock greediness or priority issues.		no29_synchronization_concurrency/theory/02-deadlock-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-005	Atomic variables utilize CPU-level instructions like {{c1::`CMPXCHG`::Compare-And-Swap}} to execute lock-free operations.	This hardware-level support allows threads to update single memory values without OS thread suspension overhead.		no29_synchronization_concurrency/theory/03-atomicreference-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-006	In lock-free programming, the {{c1::ABA}} problem occurs when a memory location is read, modified to a new value, and then changed back, fooling a CAS operation.	This can be resolved using versioned/stamped reference wrappers like `AtomicStampedReference`.		no29_synchronization_concurrency/theory/03-atomicreference-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-007	A {{c1::`CountDownLatch`}} is a one-shot synchronizer, whereas a {{c2::`CyclicBarrier`}} is reusable and resets automatically after tripping.	CyclicBarrier resets the generation and barrier count once all threads arrive, letting them repeat the synchronization cycle.		no29_synchronization_concurrency/theory/04-cyclicbarrier-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-008	In a `CyclicBarrier`, threads block by invoking {{c1::`await()`}}, which internally decrements the count and blocks on a {{c2::`Condition`}} variable.	The CountDownLatch decrements using `countDown()` without blocking the calling thread.		no29_synchronization_concurrency/theory/04-cyclicbarrier-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-009	Creating a thread manually allocates OS resources and defaults to a stack memory footprint of about {{c1::1MB}} in most JVMs.	Excessive thread creation quickly leads to memory starvation or JVM crashes, highlighting why thread pools are required.		no29_synchronization_concurrency/theory/05-executor-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-010	The default queue used by `Executors.newFixedThreadPool()` is an {{c1::unbounded}} queue, which can grow infinitely and cause an `OutOfMemoryError`.	Production configurations should always specify a bounded queue (like `ArrayBlockingQueue`) and a rejection policy.		no29_synchronization_concurrency/theory/05-executor-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-011	In a ForkJoinPool, the owner thread processes tasks from its deque using {{c1::LIFO}} order, while other stealing threads steal tasks from the tail using {{c2::FIFO}} order.	LIFO execution ensures excellent data/cache locality for the owner thread, while FIFO stealing minimizes core contention.		no29_synchronization_concurrency/theory/06-forkjoinpool-concepts.md	java::core::concurrency java::term
synchronization_concurrency-cloze-012	Thread pools reject tasks using a {{c1::`RejectedExecutionHandler`}}, which can abort execution, run the task on the caller's thread, or silently discard it.	Common policies are `AbortPolicy`, `CallerRunsPolicy`, `DiscardPolicy`, and `DiscardOldestPolicy`.		no29_synchronization_concurrency/theory/05-executor-concepts.md	java::core::concurrency java::term
