ID	Front	Back	Extra	Code	Source	Tags
synchronization_concurrency-basic_extra-001	Why must `wait()`, `notify()`, and `notifyAll()` be called only from within a synchronized context?	To ensure the thread owns the object monitor before manipulating its wait/notification queues.	If called outside a synchronized block or method, the Java runtime throws an IllegalMonitorStateException immediately because the calling thread does not own the monitor lock.		29-synchronization-concurrency/theory/01-synchronized-method-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-002	In Java monitors, what is the difference between the Entry Set and the Wait Set?	The Entry Set holds threads blocked waiting to acquire the lock. The Wait Set holds threads that voluntarily released the lock via `wait()` and are waiting to be notified.	When `notifyAll()` is called, all threads in the Wait Set are moved to the Entry Set to compete for the lock again.		29-synchronization-concurrency/theory/01-synchronized-method-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-003	How does the lock ordering strategy prevent deadlocks when locking multiple resources?	By enforcing a global order on resource acquisition, preventing any cyclic wait conditions from ever forming.	For example, using System identity hash codes or unique IDs to lock resources in sorted order ensures that Thread A and Thread B always lock Resource 1 before Resource 2.		29-synchronization-concurrency/theory/02-deadlock-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-004	How does `ReentrantLock.tryLock()` help avoid deadlock situations?	It attempts to acquire the lock without blocking. If the lock is held, it returns `false` immediately or after a timeout, allowing the thread to release its held locks and retry.	This breaks the Hold and Wait condition because the thread does not block indefinitely holding its current locks.		29-synchronization-concurrency/theory/02-deadlock-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-005	What is the ABA problem in CAS operations, and how does `AtomicStampedReference` solve it?	The ABA problem occurs when a thread reads value A, another thread changes A to B then back to A, and the first thread's CAS succeeds thinking nothing changed.	`AtomicStampedReference` associates an integer stamp (version) with the reference. The CAS only succeeds if both the reference and the stamp match the expected values.		29-synchronization-concurrency/theory/03-atomicreference-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-006	How does `StampedLock` support optimistic reading to increase concurrency?	A thread acquires a stamp for optimistic read without blocking writes. Before using the read data, it validates the stamp; if a write occurred, it retries or acquires a read lock.	Optimistic reads do not modify the lock state or write a memory barrier, meaning there is zero synchronization or cache validation overhead, which provides extremely high read throughput unless validation fails.		29-synchronization-concurrency/theory/03-atomicreference-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-007	Why does `CyclicBarrier` support an optional barrier action?	To perform operations (like aggregating subtask results or updating shared state) when all parties have arrived but before they are released.	The barrier action is executed by the last thread that enters the barrier (the one that trips it).		29-synchronization-concurrency/theory/04-cyclicbarrier-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-008	Why can `Phaser` be used dynamically compared to a `CyclicBarrier`?	It allows the number of registered parties to change dynamically at runtime via methods like `register()` and `arriveAndDeregister()`.	In contrast, a `CyclicBarrier` has a fixed number of parties established at construction time which cannot be modified.		29-synchronization-concurrency/theory/04-cyclicbarrier-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-009	Why does `ThreadPoolExecutor` reject tasks when using a bounded queue?	Because both the task queue and the maximum number of worker threads are fully saturated, and the pool cannot process any more tasks without risking an OOM.	Rejection behavior is determined by the configured RejectedExecutionHandler, such as AbortPolicy which throws a runtime exception, CallerRunsPolicy which executes the task on the submitting thread, or DiscardPolicy.		29-synchronization-concurrency/theory/05-executor-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-010	What is the main danger of calling `Future.get()` inside a loop that iterates over submitted tasks?	It blocks the calling thread until that specific task completes, converting parallel execution into slow, sequential, synchronous processing.	The correct approach is to submit all tasks first, collect their `Future` references, and then call `get()` or use `CompletableFuture` callback chains.		29-synchronization-concurrency/theory/05-executor-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-011	Why is it bad to use a parallel stream for blocking I/O operations?	Parallel streams execute tasks on the shared JVM-wide `ForkJoinPool.commonPool()`. Blocking tasks in this pool starves other parallel operations across the application.	For blocking I/O, you should use a dedicated `ThreadPoolExecutor` with a pool sized appropriately for the expected concurrent blocking operations.		29-synchronization-concurrency/theory/06-forkjoinpool-concepts.md	java::core::concurrency java::term
synchronization_concurrency-basic_extra-012	What is the difference between `RecursiveAction` and `RecursiveTask` in a `ForkJoinPool`?	`RecursiveAction` represents a task that does not return a result (void), while `RecursiveTask` represents a task that returns a computation result.	Both classes extend ForkJoinTask and are processed using the work-stealing algorithm, but RecursiveTask is used when you need a return value, whereas RecursiveAction represents a side-effect-only task.		29-synchronization-concurrency/theory/06-forkjoinpool-concepts.md	java::core::concurrency java::term
