ID	Question	Code	Answer	Explanation	Source	Tags
oop-code-001	Why does this not compile?	class User {\n    User(String name) {}\n}\nUser u = new User();	No no-argument constructor exists.	Declaring any constructor prevents Java from generating the default no-argument constructor. Reference: https://docs.oracle.com/javase/tutorial/java/javaOO/constructors.html	09-oop/theory/01-classes-objects.md | https://docs.oracle.com/javase/tutorial/java/javaOO/constructors.html	java::core::oop java::code
oop-code-002	What is printed?	"class User {\n    String name;\n    User(String name) {\n        this.name = name;\n    }\n}\nSystem.out.println(new User(""Ana"").name);"	`Ana`	`this.name` refers to the field; `name` refers to the parameter. Reference: https://docs.oracle.com/javase/tutorial/java/javaOO/thiskey.html	09-oop/theory/01-classes-objects.md | https://docs.oracle.com/javase/tutorial/java/javaOO/thiskey.html	java::core::oop java::code
oop-code-003	What is the bug?	class User {\n    String name;\n    User(String name) {\n        name = name;\n    }\n}	The field is never assigned.	Both names refer to the parameter, so the assignment does not change the field. Reference: https://docs.oracle.com/javase/tutorial/java/javaOO/thiskey.html	09-oop/theory/01-classes-objects.md | https://docs.oracle.com/javase/tutorial/java/javaOO/thiskey.html	java::core::oop java::code
oop-code-004	What is printed?	"Student a = new Student(""Alice"");\nStudent b = a;\nb.name = ""Bob"";\nSystem.out.println(a.name);"	`Bob`	Both references point to the same object. Reference: https://docs.oracle.com/javase/tutorial/java/javaOO/objectcreation.html	09-oop/theory/01-classes-objects.md | https://docs.oracle.com/javase/tutorial/java/javaOO/objectcreation.html	java::core::oop java::code
oop-code-005	Does this change the caller variable?	"void reset(Student s) {\n    s = new Student(""New"");\n}"	No.	The method reassigns only its local copy of the reference. Reference: https://docs.oracle.com/javase/tutorial/java/javaOO/arguments.html	09-oop/theory/01-classes-objects.md | https://docs.oracle.com/javase/tutorial/java/javaOO/arguments.html	java::core::oop java::code
oop-code-006	Does this change the caller-visible object?	"void rename(Student s) {\n    s.name = ""New"";\n}"	Yes.	The copied reference still points to the same heap object, so field mutation is visible. Reference: https://docs.oracle.com/javase/tutorial/java/javaOO/arguments.html	09-oop/theory/01-classes-objects.md | https://docs.oracle.com/javase/tutorial/java/javaOO/arguments.html	java::core::oop java::code
oop-code-007	What is wrong with this getter?	class Team {\n    private List<String> members = new ArrayList<>();\n    List<String> getMembers() { return members; }\n}	It leaks the mutable internal list.	Callers can mutate internal state without validation. Return a copy or unmodifiable view. Reference: https://docs.oracle.com/javase/tutorial/java/javaOO/index.html	09-oop/theory/02-encapsulation.md | https://docs.oracle.com/javase/tutorial/java/javaOO/index.html	java::core::oop java::code
oop-code-008	What should the setter do?	void setAge(int age) {\n    this.age = age;\n}	Validate age first.	A setter should protect invariants such as age not being negative. Reference: https://docs.oracle.com/javase/tutorial/java/concepts/	09-oop/theory/02-encapsulation.md | https://docs.oracle.com/javase/tutorial/java/concepts/	java::core::oop java::code
oop-code-009	Why does this not compile?	class Parent {\n    Parent(String name) {}\n}\nclass Child extends Parent {\n    Child() {}\n}	Child constructor implicitly calls `super()`, but Parent has no no-arg constructor.	The child must call `super(name)` explicitly as the first statement. Reference: https://docs.oracle.com/javase/tutorial/java/javaOO/constructors.html	09-oop/theory/03-inheritance.md | https://docs.oracle.com/javase/tutorial/java/javaOO/constructors.html	java::core::oop java::code
oop-code-010	What is printed?	"class A { A() { System.out.print(""A""); } }\nclass B extends A { B() { System.out.print(""B""); } }\nnew B();"	`AB`	Superclass constructor runs before subclass constructor body. Reference: https://docs.oracle.com/javase/tutorial/java/IandI/subclasses.html	09-oop/theory/03-inheritance.md | https://docs.oracle.com/javase/tutorial/java/IandI/subclasses.html	java::core::oop java::code
oop-code-011	What is printed?	"class Animal { void speak() { System.out.print(""A""); } }\nclass Dog extends Animal { void speak() { System.out.print(""D""); } }\nAnimal a = new Dog();\na.speak();"	`D`	Overridden instance methods dispatch by actual object type. Reference: https://docs.oracle.com/javase/tutorial/java/IandI/polymorphism.html	09-oop/theory/04-polymorphism.md | https://docs.oracle.com/javase/tutorial/java/IandI/polymorphism.html	java::core::oop java::code
oop-code-012	What is printed?	class Parent { int x = 1; }\nclass Child extends Parent { int x = 2; }\nParent p = new Child();\nSystem.out.println(p.x);	`1`	Fields are resolved by reference type, not runtime object type. Reference: https://docs.oracle.com/javase/tutorial/java/IandI/override.html	09-oop/theory/03-inheritance.md | https://docs.oracle.com/javase/tutorial/java/IandI/override.html	java::core::oop java::code
oop-code-013	What is printed?	"class Parent { static void show() { System.out.print(""P""); } }\nclass Child extends Parent { static void show() { System.out.print(""C""); } }\nParent p = new Child();\np.show();"	`P`	Static methods are hidden and resolved by reference type. Reference: https://docs.oracle.com/javase/tutorial/java/IandI/override.html	09-oop/theory/03-inheritance.md | https://docs.oracle.com/javase/tutorial/java/IandI/override.html	java::core::oop java::code
oop-code-014	Why does this not compile?	"int size() { return 1; }\nString size() { return ""one""; }"	Return type alone cannot overload a method.	The parameter list is identical, so the method signature conflicts. Reference: https://docs.oracle.com/javase/tutorial/java/javaOO/index.html	09-oop/theory/04-polymorphism.md | https://docs.oracle.com/javase/tutorial/java/javaOO/index.html	java::core::oop java::code
oop-code-015	What is printed?	"void show(int x) { System.out.print(""int""); }\nvoid show(double x) { System.out.print(""double""); }\nshow('A');"	`int`	`char` can be promoted to `int` during overload resolution. Reference: https://docs.oracle.com/javase/tutorial/java/javaOO/index.html	09-oop/theory/04-polymorphism.md | https://docs.oracle.com/javase/tutorial/java/javaOO/index.html	java::core::oop java::code
oop-code-016	What happens?	Animal a = new Cat();\nDog d = (Dog) a;	`ClassCastException` at runtime	The heap object is not a Dog. Reference: https://docs.oracle.com/javase/tutorial/java/IandI/polymorphism.html	09-oop/theory/04-polymorphism.md | https://docs.oracle.com/javase/tutorial/java/IandI/polymorphism.html	java::core::oop java::code
oop-code-017	Why is this safe?	if (obj instanceof String s) {\n    System.out.println(s.toLowerCase());\n}	The pattern variable `s` is only available when obj is a String.	Pattern matching combines type check and cast. Reference: https://docs.oracle.com/javase/tutorial/java/IandI/polymorphism.html	09-oop/theory/04-polymorphism.md | https://docs.oracle.com/javase/tutorial/java/IandI/polymorphism.html	java::core::oop java::code
