ID	Text	Extra	Code	Source	Tags
memory_management-cloze-001	Local primitives declared inside a method are stored on the {{c1::Stack}}, while instance primitives declared as class fields are stored on the {{c2::Heap}}.	The location of a primitive depends entirely on its declaration scope. Local variables are scoped to a method call (Stack frame), while instance variables are scoped to the object lifecycle (Heap).		no13_memory_management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-cloze-002	When passing references to a method, Java is strictly {{c1::pass-by-value}} because it copies the {{c2::bit-pattern of the pointer address}}.	Java never passes the actual variable reference. It copies the pointer address, so reassigning the parameter inside the method has no effect on the caller's variable.		no13_memory_management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-cloze-003	An object that has only soft references pointing to it is reclaimed only when {{c1::heap memory is exhausted}}, right before the JVM throws a(n) {{c2::OutOfMemoryError}}.	Soft references survive ordinary GC cycles and are only collected when the heap is low. This makes them suitable for memory-sensitive caches.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-cloze-004	An object that is only weakly reachable is garbage collected during the {{c1::next collection cycle}}, regardless of whether heap space is {{c2::low}}.	Weak references do not prevent their referent from being collected on the very next GC run, which is useful for associating metadata maps.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-cloze-005	Calling the get() method on a PhantomReference always returns {{c1::null}}, and it must be created with a(n) {{c2::ReferenceQueue}}.	Since get() returns null, you cannot obtain a strong reference to the object. The ReferenceQueue notifies the application when the referent has been collected.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-cloze-006	In tracing garbage collection, reachability is calculated starting from {{c1::GC Roots}}, which solves the cyclic reference issue of {{c2::reference counting}}.	Reference counting fails to collect islands of isolation because their reference counters stay above zero. Tracing collectors trace paths from GC Roots to find active objects.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management
memory_management-cloze-007	Catching JVM Errors like OutOfMemoryError and StackOverflowError is dangerous because the {{c1::internal state of the JVM}} is compromised, and trying to recover can throw a {{c2::nested OutOfMemoryError}}.	Errors are subclass of VirtualMachineError and indicate fatal system failures. It is best to let the JVM crash, collect a heap dump, and restart the process.		no13_memory_management/theory/03-outofmemoryerror-concepts.md	java::core::memory-management
memory_management-cloze-008	Metaspace stores {{c1::class metadata}} in {{c2::native memory (off-heap)}}, replacing PermGen which resided on the heap.	By allocating metadata off-heap, Metaspace dynamically scales, avoiding the static limits of PermGen that often led to OutOfMemoryError.		no13_memory_management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-cloze-009	To generate a heap dump file automatically upon an OutOfMemoryError, you should configure the JVM flags {{c1::-XX:+HeapDumpOnOutOfMemoryError}} and {{c2::-XX:HeapDumpPath}}.	This is critical for diagnosing memory leaks in production environments. The resulting .hprof file can be inspected using tools like Eclipse MAT.		no13_memory_management/theory/03-outofmemoryerror-concepts.md	java::core::memory-management
memory_management-cloze-010	Static variables are allocated on the {{c1::Java Heap}} inside the {{c2::java.lang.Class}} object, rather than in Metaspace.	Class definitions and method metadata live in Metaspace, but the static field values themselves reside on the heap inside the Class instance.		no13_memory_management/theory/01-stack-concepts.md	java::core::memory-management
memory_management-cloze-011	For deterministic resource cleanup (like files or sockets), Java provides the interface {{c1::AutoCloseable}}, which should be used inside a {{c2::try-with-resources}} statement.	This replaced finalize() which is deprecated and unreliable because the GC executes finalize() asynchronously at an unpredictable time.		no13_memory_management/theory/02-weak-reference-concepts.md	java::core::memory-management java::term
memory_management-cloze-012	A thread's stack size is configured using the JVM flag {{c1::-Xss}}, while the maximum heap size is configured using {{c2::-Xmx}}.	Stack space holds execution frames, whereas heap space holds dynamically allocated objects. Their sizes are managed by completely separate JVM parameters.		no13_memory_management/theory/03-outofmemoryerror-concepts.md	java::core::memory-management
