ID	Front	Back	Code	Source	Tags
interview_questions-basic-001	What are the three nested layers of the Java runtime environment from outer to inner?	JDK (development tools), JRE (class libraries and JVM launcher), and JVM (bytecode execution virtual machine).		no45_interview_questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-002	Which tool in the JDK compiles Java source files into bytecode?	The `javac` compiler translates `.java` files into execution-ready `.class` files.		no45_interview_questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-003	What role does the JRE play in the Java lifecycle?	It provides the minimum runtime environment, bundling the JVM with standard class libraries to execute compiled Java programs.		no45_interview_questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-004	How does the JVM execute platform-independent bytecode on a local operating system?	It translates intermediate bytecode instructions into CPU-specific native machine instructions using either an interpreter or a JIT compiler.		no45_interview_questions/theory/01-how-are-jvm-jdk-and-jre-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-005	What is the underlying data structure that backs a Java `HashSet` instance?	A private, transient `HashMap` instance, where the set's elements serve as the map's keys.		no45_interview_questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-006	What dummy value is mapped to every key inside a `HashSet`'s backing `HashMap`?	A private static final Object instance named `PRESENT`.		no45_interview_questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-007	Why does `HashSet` naturally enforce unique elements?	It delegates element addition to `HashMap.put()`, and since Map keys must be unique, any duplicate key insertion simply overwrites the value.		no45_interview_questions/theory/02-how-does-hashset-remove-duplicates-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-008	Which functional interface defines natural ordering in Java?	`java.lang.Comparable`, which requires implementing the `compareTo` method within the class itself.		no45_interview_questions/theory/03-how-are-comparable-and-comparator-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-009	Which interface is used to define custom, external sorting rules for a collection?	`java.util.Comparator`, which is implemented as a helper class or lambda expression overriding the `compare` method.		no45_interview_questions/theory/03-how-are-comparable-and-comparator-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-010	How do Comparable and Comparator differ in where their comparison logic is located?	Comparable is implemented directly inside the entity class, whereas Comparator is defined externally to the target objects.		no45_interview_questions/theory/03-how-are-comparable-and-comparator-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-011	What are the differences between Stream `map` and `flatMap` operations in terms of transformation signature?	The `map` operation performs a 1-to-1 transformation `T -> R`, while `flatMap` maps `T -> Stream<R>` and flattens nested streams.		no45_interview_questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-012	What does it mean to flatten a stream structure in a Stream pipeline?	It means merging multiple nested streams or collections into a single, contiguous outer stream of individual elements.		no45_interview_questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-013	What is Java generic type erasure?	The process where the compiler checks generic types at compile-time and then removes them, replacing them with Object or bounds in bytecode.		no45_interview_questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-014	What runtime exception is typically thrown when type erasure is bypassed and an incorrect cast is executed?	`java.lang.ClassCastException` is thrown when the JVM attempts to cast an object to an incompatible type at runtime.		no45_interview_questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-015	What is Heap Pollution in Java generics?	A situation where a variable of a parameterized type refers to an object that is not of that parameterized type, typically caused by using raw types.		no45_interview_questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
interview_questions-basic-016	Why does the JVM not enforce generic type constraints during execution?	The JVM has no knowledge of generic type arguments because type erasure strips them out before compile-time finishes.		no45_interview_questions/theory/04-how-are-map-and-flatmap-different-concepts.md | https://docs.oracle.com/javase/tutorial/	java::core::interview-questions java::interview
